Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,log10[max. dose (M)],R^2 (goodness of fit),log10[EC50 (M)],log10[IC50 (M)],log10[GI50 (M)],HillSlope,E_inf,E_max,AUC
10013-101-3,GSK461364,50029-1,MCF7,-4.4776,0.8031,-6.3506,-4.6631,-6.4936,3.1375,0.3164,0.3789,7.0589
10013-101-3,GSK461364,50057-1,SK-BR-3,-4.4776,0.8909,-7.6476,-7.5380,-7.6994,3.9790,0.3129,0.3129,5.8281
10013-101-3,GSK461364,50058-1,MDA-MB-231,-4.4776,0.8566,-7.8021,-7.7101,-7.7688,3.9985,0.2728,0.2728,5.0535
10013-101-3,GSK461364,50091-1,AU565,-4.4776,0.9163,-7.8996,-7.8424,-7.9567,3.9990,0.1548,0.1548,4.6399
10013-101-3,GSK461364,50105-1,BT-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10013-101-3,GSK461364,50106-1,BT-474,-4.4776,0.7677,-4.9305,-4.9304,-5.0842,3.9990,0.0000,0.0152,7.4055
10013-101-3,GSK461364,50107-1,BT-483,-4.4776,0.8228,-4.9223,-4.9223,-5.7449,2.2735,0.0000,0.0889,7.5231
10013-101-3,GSK461364,50108-1,BT-549,-4.4776,0.9641,-7.4546,-7.3658,-7.4956,1.5300,0.1350,0.1350,5.0110
10013-101-3,GSK461364,50131-1,CAMA-1,-4.4776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0491
10013-101-3,GSK461364,50205-1,HCC1143,-4.4776,0.8745,-6.5206,-6.4846,-7.1518,2.1907,0.1222,0.2496,5.9762
10013-101-3,GSK461364,50206-1,HCC1395,-4.4776,0.9094,-8.1721,-8.0244,-8.5680,2.3616,0.2050,0.2074,4.4694
10013-101-3,GSK461364,50207-1,HCC1419,-4.4776,0.8303,-4.9400,-4.8793,-5.1187,3.9990,0.2136,0.2246,8.3641
10013-101-3,GSK461364,50208-1,HCC1428,-4.4776,0.9592,-4.9400,-4.9399,-5.2690,3.3400,0.0000,0.0203,7.7381
10013-101-3,GSK461364,50210-1,HCC1569,-4.4776,0.7965,-5.0714,-5.0714,-5.7745,0.3696,0.0000,0.3763,6.5207
10013-101-3,GSK461364,50211-1,HCC1806,-4.4776,0.9549,-7.9236,-7.8853,-7.9576,4.0000,0.1486,0.1486,4.4396
10013-101-3,GSK461364,50212-1,HCC1937,-4.4776,0.9499,-6.4746,-6.3569,-7.4841,0.4122,0.0508,0.1980,5.7820
10013-101-3,GSK461364,50213-1,HCC1954,-4.4776,0.9031,-8.6121,-8.5601,-8.6498,3.7270,0.1966,0.1966,3.8376
10013-101-3,GSK461364,50214-1,HCC202,-4.4776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.6220
10013-101-3,GSK461364,50216-1,HCC38,-4.4776,0.9483,-7.5136,-7.4139,-7.5675,3.7870,0.2893,0.2893,5.5548
10013-101-3,GSK461364,50219-1,HCC70,-4.4776,0.8008,-7.0721,-5.1370,-7.5055,2.2167,0.2518,0.3533,6.3285
10013-101-3,GSK461364,50238-1,Hs 578T,-4.4776,0.9074,-7.7706,-7.6340,-7.8504,2.5630,0.2968,0.2968,5.2331
10013-101-3,GSK461364,50324-1,MB 157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10013-101-3,GSK461364,50327-1,MDA-MB-134-VI,-4.4776,0.7987,-4.7865,-4.6231,-4.9107,3.9995,0.0159,0.2089,7.6944
10013-101-3,GSK461364,50328-1,MDA-MB-157,-4.4776,0.9444,-9.0436,-8.9391,-9.0610,2.6360,0.2340,0.2340,3.5893
10013-101-3,GSK461364,50329-1,MDA-MB-175-VII,-4.4776,0.7103,-4.6478,-4.6477,-4.9999,1.7670,0.0000,0.3335,7.1799
10013-101-3,GSK461364,50331-1,MDA-MB-361,-4.4776,0.7700,-8.2296,-5.2691,-8.4707,3.9990,0.4675,0.4675,5.9231
10013-101-3,GSK461364,50333-1,MDA-MB-436,-4.4776,0.8119,-7.8636,-7.3063,-7.8969,2.3230,0.3729,0.3729,6.0263
10013-101-3,GSK461364,50334-1,MDA-MB-453,-4.4776,0.7675,-8.1451,-6.1011,-8.1526,2.7515,0.4819,0.4819,6.1418
10013-101-3,GSK461364,50335-1,MDA-MB-468,-4.4776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8650
10013-101-3,GSK461364,50541-1,T47D,-4.4776,0.7866,-4.9834,-4.9834,-6.1129,1.8790,0.0000,0.1008,7.2108
10013-101-3,GSK461364,50556-1,UACC-812,-4.4776,0.8943,-4.8642,-4.8641,-5.0359,3.7120,0.0000,0.0354,8.8806
10013-101-3,GSK461364,50557-1,UACC-893,-4.4776,0.7393,-8.2951,-8.0674,-8.3748,3.9960,0.4309,0.4309,5.6830
10013-101-3,GSK461364,50574-1,ZR-75-1,-4.4776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9012
10013-101-3,GSK461364,50576-1,184B5,-4.4776,0.7303,-5.5881,-5.5882,-6.3658,0.4307,0.0000,0.2496,6.7499
10013-101-3,GSK461364,50578-1,HCC1187,-4.4776,0.8591,-7.6736,-7.5666,-7.7666,3.9990,0.3118,0.3118,5.6299
10013-101-3,GSK461364,50583-1,MCF 10A,-4.4776,0.9580,-7.4301,-7.3739,-7.4378,3.3140,0.1744,0.1744,5.0596
10013-101-3,GSK461364,50584-1,MCF 10F,-4.4776,0.8285,-6.0156,-6.0160,-7.2051,0.4255,0.0000,0.2392,6.1498
10013-101-3,GSK461364,51081-1,SUM1315MO2,-4.4776,0.9468,-7.5016,-7.3301,-7.6637,2.4270,0.3088,0.3088,5.6429
10013-101-3,GSK461364,51082-1,SUM149PT,-4.4776,0.9733,-8.0241,-7.9672,-8.0354,2.7685,0.1432,0.1432,4.1533
10013-101-3,GSK461364,51083-1,SUM159PT,-4.4776,0.9804,-7.5366,-7.5215,-7.5669,3.9990,0.0630,0.0630,4.5877
10013-101-3,GSK461364,51084-1,SUM185PE,-4.4776,0.8273,-5.1574,-5.1573,-5.8411,1.7260,0.0000,0.0879,7.3788
10013-101-3,GSK461364,51085-1,SUM225CWN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10013-101-3,GSK461364,51086-1,SUM229PE,-4.4776,0.9292,-7.8106,-7.6590,-7.7933,4.0000,0.3759,0.3759,5.7423
10013-101-3,GSK461364,51087-1,SUM52PE,-4.4776,0.9315,-8.2401,-8.0625,-8.2787,2.7230,0.3025,0.3025,4.8266
10013-101-3,GSK461364,51088-1,184A1,-4.4776,0.9640,-4.8844,-4.8844,-5.2355,2.3020,0.0000,0.1037,7.8611
10013-101-3,GSK461364,51089-1,MCF12A,-4.4776,0.7888,-5.5836,-5.5839,-5.8310,0.4970,0.0000,0.2199,6.8984
10013-101-3,GSK461364,51090-1,MX1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10013-101-3,GSK461364,51091-1,T47DKBLUC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10013-101-3,GSK461364,51092-1,600MPE,-4.4776,0.8618,-4.8362,-4.8362,-4.8631,4.0000,0.0000,0.0355,7.9370
10013-101-3,GSK461364,51093-1,HCC2185,-4.4776,0.8017,-7.9856,-4.4776,-8.1186,3.0950,0.5878,0.5878,6.4840
10013-101-3,GSK461364,51094-1,HCC3153,-4.4776,0.9419,-7.7731,-6.0544,-7.7749,3.9995,0.4331,0.4331,6.0629
10013-101-3,GSK461364,51095-1,LY2,-4.4776,0.7525,-5.3501,-5.3501,-5.9259,0.3841,0.0000,0.3161,6.7154
10013-101-3,GSK461364,51096-1,ZR75B,-4.4776,0.8442,-6.5221,-5.0790,-7.0316,2.1862,0.3160,0.4216,6.9822
10021-101-5,Tozasertib,50029-1,MCF7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,50057-1,SK-BR-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,50058-1,MDA-MB-231,-4.0000,0.9221,-4.8628,-4.8630,-4.9264,1.1070,0.0000,0.0998,7.3371
10021-101-5,Tozasertib,50091-1,AU565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,50105-1,BT-20,-4.0000,0.8366,-4.6124,-4.6124,-5.5324,0.4999,0.0000,0.3307,7.0328
10021-101-5,Tozasertib,50106-1,BT-474,-4.0000,0.8143,-4.4178,-4.4177,-5.1819,1.5550,0.0000,0.1831,7.9621
10021-101-5,Tozasertib,50107-1,BT-483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,50108-1,BT-549,-4.0000,0.9135,-5.5800,-5.5799,-5.7199,0.6894,0.0000,0.0753,6.3599
10021-101-5,Tozasertib,50131-1,CAMA-1,-4.0000,0.9263,-4.2342,-4.2342,-4.2323,3.2830,0.0001,0.1456,7.9614
10021-101-5,Tozasertib,50205-1,HCC1143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,50206-1,HCC1395,-4.0000,0.9267,-4.9570,-4.9570,-5.7943,0.9915,0.0000,0.1011,6.6654
10021-101-5,Tozasertib,50207-1,HCC1419,-4.0000,0.8498,-4.1981,-4.1981,-4.8568,0.9298,0.0000,0.3956,7.7843
10021-101-5,Tozasertib,50208-1,HCC1428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,50210-1,HCC1569,-4.0000,0.9023,-5.0220,-5.0220,-5.7245,0.5522,0.0000,0.2143,6.7476
10021-101-5,Tozasertib,50211-1,HCC1806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,50212-1,HCC1937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,50213-1,HCC1954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,50214-1,HCC202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,50216-1,HCC38,-4.0000,0.9362,-6.0550,-6.0552,-6.5583,0.5106,0.0000,0.0819,5.5362
10021-101-5,Tozasertib,50219-1,HCC70,-4.0000,0.7843,-5.2470,-5.2466,NaN,0.3821,0.0000,0.2503,6.3077
