Cell Line HMS LINCS ID,Cell Line Name,Cell Count,FI_EGF,FI_FGF,FI_GMCSF,FI_HGF,FI_IL-5,FI_IL-6,FI_IL-8,FI_IL-10,FI_IL-13,FI_MCP-1,FI_PDGF,FI_TGF-a,FI_VEGF
50084-1,A549,1,389,155,12,-6,-9,7,231,60,444,8511,53,92,215
50084-1,A549,1,394,173,112,28,61,4480,3921,49,271,10188,82,300,637
50084-1,A549,1,254,202,89,70,6,-50,7760,68,226,6425,137,319,346
50084-1,A549,1,240,12,17,-10,2,42,2831,35,206,6916,101,65,121
50084-1,A549,1,641,188,-65,43,19,9,1734,12,53,16971,103,82,392
50084-1,A549,1,939,92,53,24,48,68,13898,13,127,6701,81,129,636
50084-1,A549,1,623,2999,-46,-1,27,-19,19,-52,-65,32,37,6,136
50084-1,A549,1,853,325,-23,-16,-17,134,2608,24,160,9069,32,85,333
50084-1,A549,1,587,282,16,-7,14,154,1125,63,85,5257,52,226,501
50084-1,A549,1,326,99,30,15,18,186,3416,46,279,12293,59,53,255
50084-1,A549,1,378,111,-54,-14,-4,47,575,-36,122,5141,-3,48,188
50084-1,A549,1,397,204,32,29,19,57,1065,9,50,8969,85,126,246
50084-1,A549,1,427,137,-5,29,33,70,1207,35,101,21095,15,75,241
50084-1,A549,1,864,243,-41,1,23,-27,219,-21,75,10604,45,53,274
50084-1,A549,1,445,333,-13,40,5,-48,784,21,17,2766,47,14,165
50084-1,A549,1,506,94,10,6,30,2843,4117,15,209,14605,106,238,750
50084-1,A549,1,410,134,66,7,66,62,1086,18,311,9703,31,67,293
50084-1,A549,1,340,57,2,23,-23,56,1005,23,227,2975,-5,74,241
50084-1,A549,1,297,148,52,61,0,10,323,-12,365,252,37,79,202
50084-1,A549,1,257,174,33,2,-8,35,1341,42,395,2661,85,88,554
50084-1,A549,1,517,303,60,75,13,62,544,63,240,1117,66,106,286
50084-1,A549,1,527,430,-2,17,12,11,704,56,231,5586,279,26,253
50084-1,A549,1,480,547,5,65,21,6,2394,43,259,507,55,75,172
50084-1,A549,1,339,435,-54,9,56,-36,85,-55,-39,6631,9,-7,57
50084-1,A549,1,335,257,-46,53,5,40,2360,61,304,12455,86,79,223
50084-1,A549,1,360,208,-20,25,46,30,887,-30,193,3501,21,133,379
50084-1,A549,1,195,131,2,24,39,-33,129,30,257,8701,17,25,212
50084-1,A549,1,156,88,103,-13,3,5503,4422,13,201,8267,6,207,283
50084-1,A549,1,210,293,-16,8,-9,33,709,19,144,9205,48,113,194
50084-1,A549,1,423,596,32,78,28,32,43,17,502,74,43,37,155
50084-1,A549,1,725,216,2,66,14,-5,1176,31,214,9911,41,102,359
50084-1,A549,1,612,219,19,26,21,0,478,33,160,367,51,59,298
50084-1,A549,1,682,11,61,-7,9,-1,302,11,183,10688,80,46,314
50084-1,A549,1,438,1332,-17,50,0,-8,733,3,42,-3,29,66,314
50084-1,A549,1,901,2087,17,47,52,-11,77,-19,98,111,42,45,185
50084-1,A549,1,550,997,6,20,-41,99,1438,41,120,31,10,82,121
50084-1,A549,1,627,403,-5,27,7,-7,193,16,156,31,49,53,72
50084-1,A549,1,139,288,33,2,-12,38,6208,69,212,3955,22,34,112
50084-1,A549,1,94,179,52,30,27,-7,1073,1,210,2572,0,59,39
50084-1,A549,1,229,1210,-30,-13,-24,6,80,36,141,43,71,-2,47
50084-1,A549,1,98,117,116,45,-6,20,2855,21,253,1390,12,37,106
50084-1,A549,1,-39,3,10,-36,-32,-22,242,39,248,5162,-22,0,74
50084-1,A549,1,99,12,-4,-37,-6,15,492,87,466,1694,2,48,264
50084-1,A549,1,86,106,-7,10,21,22,340,31,433,1570,42,107,234
50084-1,A549,1,161,2080,11,19,-11,30,319,28,296,5268,56,72,146
50084-1,A549,1,98,193,70,25,32,-5,994,29,375,770,54,142,159
50084-1,A549,1,128,191,53,-14,36,540,7260,9,479,2831,101,182,1311
50084-1,A549,1,120,1196,56,73,17,-20,3413,11,460,990,58,87,200
50084-1,A549,1,182,225,2,14,26,24,658,-13,372,3103,48,63,211
50084-1,A549,1,181,249,50,-16,2,105,7692,16,414,9878,41,48,338
50084-1,A549,1,237,809,7,13,40,884,11328,20,287,6334,83,162,320
50084-1,A549,1,116,80,8,34,2,7,1215,-8,370,6418,9,57,131
50084-1,A549,1,127,113,71,47,33,14,507,-1,438,8603,57,52,154
50084-1,A549,1,132,456,42,10,-6,-19,3275,47,264,561,37,117,106
50084-1,A549,1,117,347,0,13,26,53,7116,-28,95,6694,28,10,94
50084-1,A549,1,101,125,39,81,9,14,570,35,503,1067,23,81,109
50084-1,A549,1,243,225,806,13,21,9903,8020,22,253,6527,72,256,136
50084-1,A549,1,141,251,8,42,16,49,1011,-23,239,0,46,77,105
50084-1,A549,1,301,788,-36,39,3,46,1176,25,162,271,36,101,103
50084-1,A549,1,216,1111,59,-21,-5,37,832,0,343,71,29,64,156
50084-1,A549,1,75,109,3,-27,15,19,107,-12,223,17,23,64,18
50084-1,A549,1,286,763,-8,73,15,-7,339,41,149,74,35,67,50
50084-1,A549,1,48,4332,16,-2,12,-4,377,30,252,18,17,53,129
50084-1,A549,1,311,2077,-12,25,66,0,116,42,60,-19,-1,17,78
50084-1,A549,1,380,980,27,11,-7,30,164,28,105,51,25,45,101
50084-1,A549,1,414,2197,28,31,0,411,692,3,110,1195,5,17,78
50084-1,A549,1,679,799,6,43,-11,58,7369,34,85,4224,459,202,248
50084-1,A549,1,855,558,10,10,-16,20,5060,75,122,5035,76,44,102
50084-1,A549,1,550,235,20,-21,31,27,5566,33,222,5191,-34,94,173
50084-1,A549,1,890,456,22,200,-27,476,4758,-21,164,3410,31,8,816
50084-1,A549,1,700,444,12,26,3,504,4073,-39,78,4736,70,104,344
