Cell Line HMS LINCS ID,Cell Line Name,ERK (pg/cell),Akt (pg/cell),ErbB1 (pg/cell),ErbB2 (pg/cell),ErbB3 (pg/cell),ErbB4 (pg/cell),InsR (pg/cell),IGF1R (pg/cell),IGF2R (pg/cell),VEGFR1 (pg/cell),VEGFR2 (pg/cell),VEGFR3 (pg/cell),PDGFRa (pg/cell),PDGFRb (pg/cell),c-Met (pg/cell),c-Kit (pg/cell),EphA2 (pg/cell),Src (pg/cell),TrkA (pg/cell),FGFR1 (pg/cell),FGFR2 (pg/cell),FGFR3 (pg/cell),FGFR4 (pg/cell),EpCAM (pg/cell),pERK RnD (a.u.),pERK CST (a.u.),pAkt (a.u.),pErbB1 (a.u.),pErbB2 (a.u.),pErbB3 (a.u.),pErbB4 (a.u.),pInsR (a.u.),pIGF1R (a.u.),pIGF1R (Y1131) (a.u.),pVEGFR1 (a.u.),pVEGFR2 (a.u.),pVEGFR3 (a.u.),pPDGFRa (a.u.),pPDGFRb (a.u.),pc-Met (a.u.),pc-Kit (a.u.),pEphA2 (a.u.),pSrc (a.u.),pTrkA (a.u.),ER,PR
50576-2,184B5,0.000454,0.014484,0.199552,0.017611,0.002111,0.000015,0.001482,0.024421,0.024712,0.000108,0.001064,0.000193,0.000341,0.000006,0.421684,0.000000,0.022577,0.728929,0.000002,0.131405,0.000002,0.000018,0.000001,0.043860,0.000121,0.000989,0.064621,0.073694,0.004421,0.000052,0.001946,0.075541,0.018317,0.028019,0.000037,0.000013,0.000080,0.001258,0.000134,0.000879,0.001249,0.000023,0.000471,0.000430,0.000013,0.000061
50091-3,AU565,0.000720,0.031863,0.058031,1.187170,0.029048,0.000015,0.005831,0.002778,0.022183,0.000130,0.000001,0.000193,0.000178,0.000006,0.077130,0.000000,0.006655,0.074540,0.000002,0.173121,0.000002,0.000018,0.000001,0.271855,0.000412,0.001843,0.273439,0.783490,1.082973,0.075842,0.018739,0.055730,0.011265,0.008868,0.000037,0.000013,0.001860,0.001745,0.000134,0.003091,0.001249,0.000152,0.000024,0.000116,0.000023,0.000066
50105-2,BT-20,0.000448,0.019443,0.425506,0.032790,0.007417,0.000015,0.000823,0.029500,0.003761,0.000007,0.000001,0.000193,0.000178,0.000006,0.194375,0.000000,0.003806,0.656693,0.000002,0.132703,0.000002,0.000018,0.000001,0.337435,0.000112,0.000428,0.204619,0.194717,0.011525,0.000052,0.003270,0.005037,0.000037,0.009023,0.000037,0.000013,0.000080,0.000009,0.000134,0.006500,0.001249,0.000023,0.000273,0.000116,0.000026,0.000062
50106-2,BT-474,0.001056,0.059340,0.006800,1.057178,0.026343,0.000015,0.002525,0.015606,0.018435,0.000642,0.000001,0.000193,0.000178,0.000006,0.003289,0.000000,0.001834,0.013513,0.000002,0.178006,0.001725,0.000655,0.002142,0.099904,0.000170,0.000673,0.226103,0.124231,0.992579,0.064679,0.025341,0.033362,0.013541,0.001832,0.000037,0.000013,0.003374,0.005482,0.000134,0.000822,0.001249,0.000023,0.000023,0.000652,0.000058,0.000057
50107-2,BT-483,0.001683,0.039293,0.001949,0.201151,0.092377,0.000015,0.007435,0.095137,0.014937,0.000720,0.000001,0.000193,0.000178,0.000006,0.000084,0.000000,0.000026,4.809215,0.000002,0.326895,0.000002,0.000018,0.016574,0.419402,0.000027,0.000627,0.121213,0.003177,0.020875,0.000052,0.004336,0.058032,0.108322,0.075505,0.000037,0.000013,0.000080,0.002872,0.000134,0.000016,0.001249,0.000023,0.002324,0.000116,0.001073,0.000638
50108-2,BT-549,0.001734,0.028424,0.139275,0.011181,0.000070,0.000015,0.000061,0.005810,0.076807,0.000499,0.000001,0.000193,0.000497,0.000150,0.302179,0.000000,0.286646,0.294228,0.000002,0.294733,0.000002,0.000018,0.000001,0.000084,0.000476,0.002044,0.303062,0.016341,0.012222,0.000052,0.014529,0.007478,0.005798,0.001832,0.000037,0.000013,0.000080,0.004543,0.000134,0.000016,0.001249,0.000023,0.000203,0.000116,0.000041,0.000118
50131-2,CAMA-1,0.001036,0.016002,0.023685,0.063188,0.038498,0.002453,0.001774,0.005626,0.012643,0.000121,0.000001,0.000193,0.000178,0.000136,0.000084,0.000000,0.000750,0.057732,0.000002,0.126539,0.000002,0.000018,0.004167,0.073086,0.000027,0.000478,0.270453,0.000507,0.007421,0.000052,0.001415,0.019842,0.000037,0.001832,0.000037,0.000013,0.000080,0.000009,0.000134,0.000016,0.001249,0.000023,0.000025,0.000116,0.001466,0.004511
50578-2,HCC1187,0.001231,0.067625,0.078729,0.041583,0.003479,0.000015,0.011093,0.000584,0.052908,0.000770,0.001859,0.000193,0.000393,0.000289,0.000084,0.018901,0.003747,0.287014,0.000002,0.279688,0.000459,0.000018,0.000001,0.158536,0.000156,0.000638,0.249109,0.010311,0.015487,0.000052,0.001503,0.000016,0.000037,0.001832,0.000037,0.011705,0.000080,0.001174,0.000134,0.000016,0.001249,0.000023,0.000065,0.000116,0.000059,0.000147
50206-2,HCC1395,0.000674,0.040023,0.039355,0.003057,0.000070,0.000015,0.000061,0.001431,0.011892,0.000371,0.000001,0.000193,0.000798,0.000006,0.029478,0.000000,0.015589,0.122642,0.000002,0.172335,0.000002,0.000018,0.000001,0.000084,0.000027,0.001426,0.353474,0.002759,0.002229,0.000052,0.000683,0.007266,0.000037,0.001832,0.000037,0.000013,0.000080,0.000009,0.000134,0.000016,0.001249,0.000023,0.000158,0.000116,0.000006,0.000057
50207-2,HCC1419,0.002537,0.068227,0.000084,3.032945,0.042585,0.000015,0.000061,0.005494,0.038255,0.000007,0.000001,0.000193,0.000178,0.000331,0.000084,0.000000,0.019854,0.013025,0.000002,0.182028,0.000002,0.000288,0.001468,0.337559,0.000627,0.004841,0.566139,0.086873,2.431691,0.157330,0.273441,0.089457,0.056446,0.001832,0.000037,0.001134,0.005877,0.013438,0.000134,0.005253,0.001249,0.001041,0.000012,0.001878,0.000192,0.000120
