Cell Line HMS LINCS ID,Cell Line Name,Unclassified Perturbagen HMS LINCS ID,Unclassified Perturbagen Name,Protein HMS LINCS ID,Protein Name,Image,Protein Ligand Concentration,Conc unit,Time,Time unit,Measured Protein,Measured Protein Value
50576-2,184B5,,,200865,IL-1 alpha,44364,1,ng/ml,10,minute,NF-kB,0.675
50576-2,184B5,,,200865,IL-1 alpha,44440,100,ng/ml,10,minute,NF-kB,0.909
50576-2,184B5,,,200865,IL-1 alpha,44583,1,ng/ml,30,minute,NF-kB,0.679
50576-2,184B5,,,200865,IL-1 alpha,44272,100,ng/ml,30,minute,NF-kB,1.070
50576-2,184B5,,,200865,IL-1 alpha,44340,1,ng/ml,90,minute,NF-kB,0.702
50576-2,184B5,,,200865,IL-1 alpha,44491,100,ng/ml,90,minute,NF-kB,0.660
50576-2,184B5,,,200865,IL-1 alpha,44252,1,ng/ml,10,minute,pErk,660.259
50576-2,184B5,,,200865,IL-1 alpha,44348,100,ng/ml,10,minute,pErk,865.308
50576-2,184B5,,,200865,IL-1 alpha,44372,1,ng/ml,30,minute,pErk,738.890
50576-2,184B5,,,200865,IL-1 alpha,44316,100,ng/ml,30,minute,pErk,851.160
50576-2,184B5,,,200865,IL-1 alpha,44332,1,ng/ml,90,minute,pErk,649.366
50576-2,184B5,,,200865,IL-1 alpha,44344,100,ng/ml,90,minute,pErk,604.676
50576-2,184B5,,,200865,IL-1 alpha,43836,1,ng/ml,10,minute,pSTAT1,92.540
50576-2,184B5,,,200865,IL-1 alpha,44079,100,ng/ml,10,minute,pSTAT1,101.914
50576-2,184B5,,,200865,IL-1 alpha,44115,1,ng/ml,30,minute,pSTAT1,94.210
50576-2,184B5,,,200865,IL-1 alpha,44131,100,ng/ml,30,minute,pSTAT1,99.987
50576-2,184B5,,,200865,IL-1 alpha,44147,1,ng/ml,90,minute,pSTAT1,92.394
50576-2,184B5,,,200865,IL-1 alpha,44015,100,ng/ml,90,minute,pSTAT1,102.093
