Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,Drug Concentration,Conc Unit,Cell Count,Relative Cell Count,Relative Growth,Replicate,Experiment Date
10047-101-1,Pictilisib,50056-1,HME1,0.02000,uM,10951,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.02833,uM,10500,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.03833,uM,10548,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.05500,uM,10508,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.07833,uM,10854,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.11049,uM,11566,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.15625,uM,11644,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.22097,uM,11410,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.31250,uM,11430,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.44194,uM,12102,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.62500,uM,11003,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.88388,uM,11723,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,1.25000,uM,10590,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,1.76777,uM,10196,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,2.50000,uM,9102,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,3.53553,uM,6362,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,5.00000,uM,5079,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,7.07107,uM,4886,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,10.00000,uM,3444,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,14.14214,uM,3510,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,20.00000,uM,2954,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,22.00000,uM,3580,,,1,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.02000,uM,11114,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.02833,uM,11020,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.03833,uM,11237,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.05500,uM,11883,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.07833,uM,11399,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.11049,uM,11265,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.15625,uM,11925,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.22097,uM,12552,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.31250,uM,11683,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.44194,uM,11035,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.62500,uM,11946,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.88388,uM,12394,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,1.25000,uM,11174,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,1.76777,uM,10226,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,2.50000,uM,9353,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,3.53553,uM,8060,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,5.00000,uM,5403,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,7.07107,uM,4952,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,10.00000,uM,4052,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,14.14214,uM,4347,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,20.00000,uM,3572,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,22.00000,uM,3315,,,2,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.02000,uM,10515,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.02833,uM,10541,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.03833,uM,11132,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.05500,uM,10390,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.07833,uM,10807,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.11049,uM,11089,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.15625,uM,11340,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.22097,uM,12990,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.31250,uM,11199,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.44194,uM,10802,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.62500,uM,12175,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.88388,uM,11786,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,1.25000,uM,11076,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,1.76777,uM,10164,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,2.50000,uM,9963,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,3.53553,uM,8226,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,5.00000,uM,7529,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,7.07107,uM,6388,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,10.00000,uM,4665,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,14.14214,uM,4130,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,20.00000,uM,3917,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,22.00000,uM,4129,,,3,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.02000,uM,,1.050,1.075,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.02833,uM,,1.033,1.050,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.03833,uM,,1.061,1.091,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.05500,uM,,1.056,1.084,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.07833,uM,,1.065,1.098,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.11049,uM,,1.093,1.140,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.15625,uM,,1.125,1.188,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.22097,uM,,1.191,1.287,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.31250,uM,,1.106,1.159,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.44194,uM,,1.094,1.142,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.62500,uM,,1.132,1.198,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.88388,uM,,1.157,1.236,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,1.25000,uM,,1.058,1.088,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,1.76780,uM,,0.986,0.978,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,2.50000,uM,,0.916,0.873,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,3.53550,uM,,0.730,0.593,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,5.00000,uM,,0.581,0.368,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,7.07110,uM,,0.523,0.282,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,10.00000,uM,,0.392,0.084,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,14.14210,uM,,0.386,0.076,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,20.00000,uM,,0.336,0.001,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,22.00000,uM,,0.355,0.029,,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,0.02000,uM,6034,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.02833,uM,6304,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.03833,uM,7276,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.05500,uM,7303,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.07833,uM,7078,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.11049,uM,7333,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.15625,uM,8334,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.22097,uM,8078,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.31250,uM,8609,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.44194,uM,6012,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.62500,uM,6370,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.88388,uM,5387,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,1.25000,uM,5125,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,1.76777,uM,4538,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,2.50000,uM,4494,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,3.53553,uM,2373,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,5.00000,uM,2005,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,7.07107,uM,2143,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,10.00000,uM,1479,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,14.14214,uM,1567,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,20.00000,uM,1202,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,22.00000,uM,1343,,,1,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.02000,uM,7263,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.02833,uM,7876,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.03833,uM,7021,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.05500,uM,6626,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.07833,uM,8311,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.11049,uM,8347,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.15625,uM,7471,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.22097,uM,6219,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.31250,uM,7663,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.44194,uM,8025,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.62500,uM,7273,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.88388,uM,5576,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,1.25000,uM,6400,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,1.76777,uM,5975,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,2.50000,uM,5339,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,3.53553,uM,4016,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,5.00000,uM,2219,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,7.07107,uM,2386,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,10.00000,uM,2176,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,14.14214,uM,1673,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,20.00000,uM,1429,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,22.00000,uM,1491,,,2,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.02000,uM,7575,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.02833,uM,6747,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.03833,uM,7915,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.05500,uM,6558,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.07833,uM,7719,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.11049,uM,6660,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.15625,uM,7486,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.22097,uM,6150,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.31250,uM,7780,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.44194,uM,7050,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.62500,uM,7460,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.88388,uM,7866,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,1.25000,uM,6143,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,1.76777,uM,6018,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,2.50000,uM,4503,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,3.53553,uM,3620,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,5.00000,uM,3577,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,7.07107,uM,2580,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,10.00000,uM,2071,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,14.14214,uM,1476,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,20.00000,uM,1728,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,22.00000,uM,1710,,,3,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.02000,uM,,1.015,1.021,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.02833,uM,,1.018,1.025,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.03833,uM,,1.081,1.113,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.05500,uM,,0.998,0.997,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.07833,uM,,1.124,1.173,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.11049,uM,,1.087,1.122,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.15625,uM,,1.134,1.187,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.22097,uM,,0.996,0.995,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.31250,uM,,1.171,1.239,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.44194,uM,,1.026,1.035,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.62500,uM,,1.027,1.037,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.88388,uM,,0.916,0.882,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,1.25000,uM,,0.859,0.803,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,1.76780,uM,,0.804,0.726,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,2.50000,uM,,0.698,0.578,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,3.53550,uM,,0.486,0.283,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,5.00000,uM,,0.379,0.134,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,7.07110,uM,,0.346,0.087,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,10.00000,uM,,0.278,-0.007,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,14.14210,uM,,0.230,-0.075,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,20.00000,uM,,0.212,-0.100,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,22.00000,uM,,0.221,-0.087,,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,0.02000,uM,7418,,,1,2014-04-08
10047-101-1,Pictilisib,50056-1,HME1,0.02833,uM,7350,,,1,2014-04-08
10047-101-1,Pictilisib,50056-1,HME1,0.03833,uM,7985,,,1,2014-04-08
10047-101-1,Pictilisib,50056-1,HME1,0.05500,uM,7895,,,1,2014-04-08
10047-101-1,Pictilisib,50056-1,HME1,0.07833,uM,7909,,,1,2014-04-08
10047-101-1,Pictilisib,50056-1,HME1,0.11049,uM,7648,,,1,2014-04-08
10047-101-1,Pictilisib,50056-1,HME1,0.15625,uM,8931,,,1,2014-04-08
10047-101-1,Pictilisib,50056-1,HME1,0.22097,uM,9056,,,1,2014-04-08
10047-101-1,Pictilisib,50056-1,HME1,0.31250,uM,9109,,,1,2014-04-08
10047-101-1,Pictilisib,50056-1,HME1,0.44194,uM,6245,,,1,2014-04-08
10047-101-1,Pictilisib,50056-1,HME1,0.62500,uM,7312,,,1,2014-04-08
10047-101-1,Pictilisib,50056-1,HME1,0.88388,uM,6193,,,1,2014-04-08
