Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,IC50,GI50,EC50,Hill Slope,E_inf,Experiment Date
10047-101-1,Pictilisib,50056-1,HME1,6.455,4.322,4.128,2.843,0.647,2014-03-19
10047-101-1,Pictilisib,50056-1,HME1,3.718,2.617,2.792,2.028,0.792,2014-04-01
10047-101-1,Pictilisib,50056-1,HME1,2.627,1.920,1.911,2.213,0.760,2014-04-08
10057-102-2,MK2206,50056-1,HME1,15.715,10.409,15.466,1.508,1.000,2014-03-19
10057-102-2,MK2206,50056-1,HME1,8.201,5.356,8.237,1.450,0.980,2014-04-01
10057-102-2,MK2206,50056-1,HME1,5.751,3.782,5.769,1.281,1.000,2014-04-08
10101-101-1,PD0325901,50056-1,HME1,,,0.053,3.263,0.300,2014-03-19
10101-101-1,PD0325901,50056-1,HME1,0.037,0.021,0.017,2.016,0.608,2014-04-01
10101-101-1,PD0325901,50056-1,HME1,0.038,0.024,0.019,3.504,0.552,2014-04-08
10079-101-1,Torin1,50056-1,HME1,,,0.016,2.603,0.213,2014-03-19
10079-101-1,Torin1,50056-1,HME1,,0.016,0.010,2.769,0.458,2014-04-01
10079-101-1,Torin1,50056-1,HME1,,0.016,0.010,2.614,0.476,2014-04-08
10064-101-1,WYE-125132,50056-1,HME1,,,0.100,2.814,0.264,2014-03-19
10064-101-1,WYE-125132,50056-1,HME1,0.161,0.086,0.071,1.761,0.621,2014-04-01
10064-101-1,WYE-125132,50056-1,HME1,0.257,0.092,0.063,2.475,0.516,2014-04-08
10047-101-1,Pictilisib,50058-3,MDA-MB-231,15.122,9.425,15.828,1.124,1.000,2014-03-19
10047-101-1,Pictilisib,50058-3,MDA-MB-231,10.160,4.012,11.000,0.646,1.000,2014-04-01
10047-101-1,Pictilisib,50058-3,MDA-MB-231,8.918,2.892,8.819,0.596,1.000,2014-04-08
10057-102-2,MK2206,50058-3,MDA-MB-231,20.056,18.447,20.026,4.000,1.000,2014-03-19
10057-102-2,MK2206,50058-3,MDA-MB-231,13.251,11.242,13.225,4.000,0.971,2014-04-01
10057-102-2,MK2206,50058-3,MDA-MB-231,14.385,11.918,14.570,4.000,1.000,2014-04-08
10101-101-1,PD0325901,50058-3,MDA-MB-231,0.123,0.034,0.023,0.687,0.665,2014-03-19
10101-101-1,PD0325901,50058-3,MDA-MB-231,0.200,0.048,0.029,0.923,0.589,2014-04-01
10101-101-1,PD0325901,50058-3,MDA-MB-231,0.149,0.035,0.039,0.691,0.709,2014-04-08
10079-101-1,Torin1,50058-3,MDA-MB-231,0.426,0.092,0.048,1.215,0.536,2014-03-19
10079-101-1,Torin1,50058-3,MDA-MB-231,0.122,0.053,0.048,1.175,0.667,2014-04-01
10079-101-1,Torin1,50058-3,MDA-MB-231,0.248,0.044,0.032,1.111,0.550,2014-04-08
10064-101-1,WYE-125132,50058-3,MDA-MB-231,0.496,0.164,0.100,1.386,0.556,2014-03-19
10064-101-1,WYE-125132,50058-3,MDA-MB-231,0.211,0.094,0.075,1.407,0.619,2014-04-01
10064-101-1,WYE-125132,50058-3,MDA-MB-231,0.907,0.115,0.075,1.134,0.529,2014-04-08
