Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,2nd Drug,Drug Concentration,Conc Unit,Time Point,Time Point Unit,Image,Measured Protein (Alexa Fluor 488),Measured Protein Value (488),Measured Protein (Alexa Fluor 568),Measured Protein Value (568),Measured Protein (Alexa Fluor 647),Measured Protein Value (647),Replicate,Plate Name,Plate Well
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0033,uM,24,hr,446049,p27 Kip1,452.40,p-Rb(S807/S811),159.51,p-ERK(T202/Y204),579.26,1,Colo858-signal1,B10
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0000,uM,24,hr,445977,p27 Kip1,479.59,p-Rb(S807/S811),159.95,p-ERK(T202/Y204),654.45,1,Colo858-signal1,B11
10068-101-1,Vemurafenib,50149-1,COLO 858,,5.0000,uM,24,hr,445931,p27 Kip1,1101.80,p-Rb(S807/S811),48.19,p-ERK(T202/Y204),9.79,1,Colo858-signal1,B2
10068-101-1,Vemurafenib,50149-1,COLO 858,,2.0000,uM,24,hr,446418,p27 Kip1,1016.50,p-Rb(S807/S811),42.64,p-ERK(T202/Y204),14.04,1,Colo858-signal1,B3
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.8000,uM,24,hr,446292,p27 Kip1,1063.20,p-Rb(S807/S811),48.29,p-ERK(T202/Y204),17.48,1,Colo858-signal1,B4
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.3200,uM,24,hr,446148,p27 Kip1,964.47,p-Rb(S807/S811),50.08,p-ERK(T202/Y204),25.09,1,Colo858-signal1,B5
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.1280,uM,24,hr,446202,p27 Kip1,849.44,p-Rb(S807/S811),79.57,p-ERK(T202/Y204),75.64,1,Colo858-signal1,B6
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0512,uM,24,hr,446364,p27 Kip1,555.61,p-Rb(S807/S811),125.96,p-ERK(T202/Y204),272.64,1,Colo858-signal1,B7
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0205,uM,24,hr,446076,p27 Kip1,496.15,p-Rb(S807/S811),149.24,p-ERK(T202/Y204),495.70,1,Colo858-signal1,B8
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0082,uM,24,hr,445986,p27 Kip1,458.31,p-Rb(S807/S811),151.87,p-ERK(T202/Y204),580.80,1,Colo858-signal1,B9
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0033,uM,24,hr,446211,p27 Kip1,489.20,p-Rb(S807/S811),160.66,p-ERK(T202/Y204),628.14,2,Colo858-signal1,C10
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0000,uM,24,hr,446130,p27 Kip1,452.92,p-Rb(S807/S811),154.74,p-ERK(T202/Y204),648.89,2,Colo858-signal1,C11
10068-101-1,Vemurafenib,50149-1,COLO 858,,5.0000,uM,24,hr,446454,p27 Kip1,1100.60,p-Rb(S807/S811),49.89,p-ERK(T202/Y204),9.41,2,Colo858-signal1,C2
10068-101-1,Vemurafenib,50149-1,COLO 858,,2.0000,uM,24,hr,446157,p27 Kip1,1027.10,p-Rb(S807/S811),46.02,p-ERK(T202/Y204),14.33,2,Colo858-signal1,C3
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.8000,uM,24,hr,446031,p27 Kip1,1014.60,p-Rb(S807/S811),48.01,p-ERK(T202/Y204),18.67,2,Colo858-signal1,C4
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.3200,uM,24,hr,446013,p27 Kip1,1028.10,p-Rb(S807/S811),48.93,p-ERK(T202/Y204),27.49,2,Colo858-signal1,C5
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.1280,uM,24,hr,446238,p27 Kip1,904.25,p-Rb(S807/S811),65.93,p-ERK(T202/Y204),58.28,2,Colo858-signal1,C6
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0512,uM,24,hr,446094,p27 Kip1,597.47,p-Rb(S807/S811),132.94,p-ERK(T202/Y204),291.40,2,Colo858-signal1,C7
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0205,uM,24,hr,446265,p27 Kip1,483.48,p-Rb(S807/S811),154.86,p-ERK(T202/Y204),515.79,2,Colo858-signal1,C8
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0082,uM,24,hr,446022,p27 Kip1,461.92,p-Rb(S807/S811),163.29,p-ERK(T202/Y204),613.35,2,Colo858-signal1,C9
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0033,uM,24,hr,446247,p27 Kip1,438.30,p-Rb(S807/S811),160.10,p-ERK(T202/Y204),626.02,1,Colo858-signal1,D10
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0000,uM,24,hr,446067,p27 Kip1,454.18,p-Rb(S807/S811),159.65,p-ERK(T202/Y204),628.56,1,Colo858-signal1,D11
10363-101-1,JNK-IN-8,50149-1,COLO 858,,5.0000,uM,24,hr,446139,p27 Kip1,738.89,p-Rb(S807/S811),249.29,p-ERK(T202/Y204),766.04,1,Colo858-signal1,D2
10363-101-1,JNK-IN-8,50149-1,COLO 858,,2.0000,uM,24,hr,446040,p27 Kip1,596.02,p-Rb(S807/S811),233.59,p-ERK(T202/Y204),707.32,1,Colo858-signal1,D3
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.8000,uM,24,hr,446184,p27 Kip1,488.74,p-Rb(S807/S811),190.14,p-ERK(T202/Y204),694.83,1,Colo858-signal1,D4
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.3200,uM,24,hr,446445,p27 Kip1,453.72,p-Rb(S807/S811),173.99,p-ERK(T202/Y204),686.67,1,Colo858-signal1,D5
