Cell Line HMS LINCS ID,Cell Line Name,Time Point,Time Point Unit,Variable,Average VIP Score
50112,C32,1,hr,p-p90RSK(S380),NaN
50112,C32,1,hr,p-p90RSK(T573),-0.08379
50112,C32,1,hr,p-AKT(T308),-0.30089
50112,C32,1,hr,p-AKT(S473),-0.76446
50112,C32,1,hr,p-mTOR(S2448),NaN
50112,C32,1,hr,p-p70S6K(T421/S424),0.32858
50112,C32,1,hr,p-p70S6K(T389),NaN
50112,C32,1,hr,p-S6(S235/236),0.39171
50112,C32,1,hr,p-AMPK(T172),-0.33118
50112,C32,1,hr,p-JNK(T183/Y185),0.25916
50112,C32,1,hr,Total c-Jun,0.32059
50112,C32,1,hr,p-cJun(S63),NaN
50112,C32,1,hr,p-P38(T180/Y182),0.58661
50112,C32,1,hr,p-HSP27(S82),NaN
50112,C32,1,hr,p-NFKB(S536),0.37812
50112,C32,1,hr,Bim,-0.06681
50112,C32,1,hr,cPARP,0.30901
50112,C32,1,hr,p-Histone H3(S10),-0.15771
50112,C32,1,hr,p27 Kip1,0.01892
50112,C32,5,hr,p-p90RSK(S380),NaN
50112,C32,5,hr,p-p90RSK(T573),-0.42106
50112,C32,5,hr,p-AKT(T308),-0.60889
50112,C32,5,hr,p-AKT(S473),-1.02630
50112,C32,5,hr,p-mTOR(S2448),NaN
50112,C32,5,hr,p-p70S6K(T421/S424),0.34501
50112,C32,5,hr,p-p70S6K(T389),NaN
50112,C32,5,hr,p-S6(S235/236),0.80421
50112,C32,5,hr,p-AMPK(T172),-0.49728
50112,C32,5,hr,p-JNK(T183/Y185),-0.33016
50112,C32,5,hr,Total c-Jun,1.07830
50112,C32,5,hr,p-cJun(S63),NaN
50112,C32,5,hr,p-P38(T180/Y182),-0.47396
50112,C32,5,hr,p-HSP27(S82),NaN
50112,C32,5,hr,p-NFKB(S536),0.64144
50112,C32,5,hr,Bim,-0.72875
50112,C32,5,hr,cPARP,0.10205
50112,C32,5,hr,p-Histone H3(S10),-0.33609
50112,C32,5,hr,p27 Kip1,-0.36568
50112,C32,10,hr,p-p90RSK(S380),NaN
50112,C32,10,hr,p-p90RSK(T573),-0.32086
50112,C32,10,hr,p-AKT(T308),-0.73599
50112,C32,10,hr,p-AKT(S473),-1.07790
50112,C32,10,hr,p-mTOR(S2448),NaN
50112,C32,10,hr,p-p70S6K(T421/S424),0.53232
50112,C32,10,hr,p-p70S6K(T389),NaN
50112,C32,10,hr,p-S6(S235/236),1.02210
50112,C32,10,hr,p-AMPK(T172),-0.33165
50112,C32,10,hr,p-JNK(T183/Y185),-0.23631
50112,C32,10,hr,Total c-Jun,1.82290
50112,C32,10,hr,p-cJun(S63),NaN
50112,C32,10,hr,p-P38(T180/Y182),-0.23970
50112,C32,10,hr,p-HSP27(S82),NaN
50112,C32,10,hr,p-NFKB(S536),0.72615
50112,C32,10,hr,Bim,-0.70591
50112,C32,10,hr,cPARP,-0.21440
50112,C32,10,hr,p-Histone H3(S10),-0.29139
50112,C32,10,hr,p27 Kip1,-0.77624
50112,C32,24,hr,p-p90RSK(S380),NaN
50112,C32,24,hr,p-p90RSK(T573),0.37544
50112,C32,24,hr,p-AKT(T308),-1.20800
50112,C32,24,hr,p-AKT(S473),-1.00080
50112,C32,24,hr,p-mTOR(S2448),NaN
50112,C32,24,hr,p-p70S6K(T421/S424),1.39800
50112,C32,24,hr,p-p70S6K(T389),NaN
50112,C32,24,hr,p-S6(S235/236),1.27680
50112,C32,24,hr,p-AMPK(T172),-1.02070
50112,C32,24,hr,p-JNK(T183/Y185),-0.44703
50112,C32,24,hr,Total c-Jun,1.34170
50112,C32,24,hr,p-cJun(S63),NaN
50112,C32,24,hr,p-P38(T180/Y182),-0.76311
50112,C32,24,hr,p-HSP27(S82),NaN
50112,C32,24,hr,p-NFKB(S536),-0.16232
50112,C32,24,hr,Bim,-1.55880
50112,C32,24,hr,cPARP,-1.00290
50112,C32,24,hr,p-Histone H3(S10),1.01160
50112,C32,24,hr,p27 Kip1,-1.79210
50112,C32,48,hr,p-p90RSK(S380),NaN
50112,C32,48,hr,p-p90RSK(T573),-0.68196
50112,C32,48,hr,p-AKT(T308),-2.06760
50112,C32,48,hr,p-AKT(S473),0.87427
50112,C32,48,hr,p-mTOR(S2448),NaN
50112,C32,48,hr,p-p70S6K(T421/S424),1.31930
50112,C32,48,hr,p-p70S6K(T389),NaN
50112,C32,48,hr,p-S6(S235/236),0.94756
50112,C32,48,hr,p-AMPK(T172),-2.43550
50112,C32,48,hr,p-JNK(T183/Y185),-0.47751
50112,C32,48,hr,Total c-Jun,0.65195
50112,C32,48,hr,p-cJun(S63),NaN
50112,C32,48,hr,p-P38(T180/Y182),-1.20070
50112,C32,48,hr,p-HSP27(S82),NaN
50112,C32,48,hr,p-NFKB(S536),0.89789
50112,C32,48,hr,Bim,-2.09120
50112,C32,48,hr,cPARP,-2.72120
50112,C32,48,hr,p-Histone H3(S10),1.88780
50112,C32,48,hr,p27 Kip1,-2.14250
50149,COLO 858,1,hr,p-p90RSK(S380),0.84691
50149,COLO 858,1,hr,p-p90RSK(T573),0.89866
50149,COLO 858,1,hr,p-AKT(T308),0.75851
50149,COLO 858,1,hr,p-AKT(S473),NaN
50149,COLO 858,1,hr,p-mTOR(S2448),0.63295
50149,COLO 858,1,hr,p-p70S6K(T421/S424),0.86383
50149,COLO 858,1,hr,p-p70S6K(T389),NaN
50149,COLO 858,1,hr,p-S6(S235/236),0.33607
50149,COLO 858,1,hr,p-AMPK(T172),0.30590
50149,COLO 858,1,hr,p-JNK(T183/Y185),0.76476
50149,COLO 858,1,hr,Total c-Jun,0.80793
50149,COLO 858,1,hr,p-cJun(S63),0.59998
50149,COLO 858,1,hr,p-P38(T180/Y182),1.20190
50149,COLO 858,1,hr,p-HSP27(S82),0.69943
50149,COLO 858,1,hr,p-NFKB(S536),0.58301
50149,COLO 858,1,hr,Bim,0.65979
50149,COLO 858,1,hr,cPARP,0.39988
50149,COLO 858,1,hr,p-Histone H3(S10),0.19602
50149,COLO 858,1,hr,p27 Kip1,0.17306
50149,COLO 858,5,hr,p-p90RSK(S380),NaN
50149,COLO 858,5,hr,p-p90RSK(T573),NaN
50149,COLO 858,5,hr,p-AKT(T308),-0.90247
50149,COLO 858,5,hr,p-AKT(S473),-1.04090
50149,COLO 858,5,hr,p-mTOR(S2448),-1.01870
50149,COLO 858,5,hr,p-p70S6K(T421/S424),-0.54722
50149,COLO 858,5,hr,p-p70S6K(T389),NaN
50149,COLO 858,5,hr,p-S6(S235/236),0.65771
50149,COLO 858,5,hr,p-AMPK(T172),-0.32007
50149,COLO 858,5,hr,p-JNK(T183/Y185),-0.80949
50149,COLO 858,5,hr,Total c-Jun,-0.22071
50149,COLO 858,5,hr,p-cJun(S63),-0.40755
50149,COLO 858,5,hr,p-P38(T180/Y182),-0.24703
50149,COLO 858,5,hr,p-HSP27(S82),NaN
50149,COLO 858,5,hr,p-NFKB(S536),-0.41318
50149,COLO 858,5,hr,Bim,-0.72585
50149,COLO 858,5,hr,cPARP,-0.68373
50149,COLO 858,5,hr,p-Histone H3(S10),-0.51744
50149,COLO 858,5,hr,p27 Kip1,-0.39120
50149,COLO 858,10,hr,p-p90RSK(S380),1.08130
50149,COLO 858,10,hr,p-p90RSK(T573),0.71089
50149,COLO 858,10,hr,p-AKT(T308),0.47347
50149,COLO 858,10,hr,p-AKT(S473),NaN
50149,COLO 858,10,hr,p-mTOR(S2448),0.50348
50149,COLO 858,10,hr,p-p70S6K(T421/S424),0.84830
50149,COLO 858,10,hr,p-p70S6K(T389),NaN
50149,COLO 858,10,hr,p-S6(S235/236),1.52740
50149,COLO 858,10,hr,p-AMPK(T172),0.64494
50149,COLO 858,10,hr,p-JNK(T183/Y185),0.49441
50149,COLO 858,10,hr,Total c-Jun,NaN
50149,COLO 858,10,hr,p-cJun(S63),NaN
50149,COLO 858,10,hr,p-P38(T180/Y182),0.57024
50149,COLO 858,10,hr,p-HSP27(S82),0.62454
50149,COLO 858,10,hr,p-NFKB(S536),1.98880
50149,COLO 858,10,hr,Bim,-0.23495
50149,COLO 858,10,hr,cPARP,NaN
50149,COLO 858,10,hr,p-Histone H3(S10),NaN
50149,COLO 858,10,hr,p27 Kip1,-0.34840
50149,COLO 858,24,hr,p-p90RSK(S380),-0.38937
50149,COLO 858,24,hr,p-p90RSK(T573),NaN
50149,COLO 858,24,hr,p-AKT(T308),-1.47930
50149,COLO 858,24,hr,p-AKT(S473),-0.93153
50149,COLO 858,24,hr,p-mTOR(S2448),-0.79573
50149,COLO 858,24,hr,p-p70S6K(T421/S424),0.23993
50149,COLO 858,24,hr,p-p70S6K(T389),NaN
50149,COLO 858,24,hr,p-S6(S235/236),1.44110
50149,COLO 858,24,hr,p-AMPK(T172),-0.47678
50149,COLO 858,24,hr,p-JNK(T183/Y185),-1.79430
50149,COLO 858,24,hr,Total c-Jun,-1.43540
50149,COLO 858,24,hr,p-cJun(S63),-1.54870
50149,COLO 858,24,hr,p-P38(T180/Y182),-0.59726
50149,COLO 858,24,hr,p-HSP27(S82),-0.63952
50149,COLO 858,24,hr,p-NFKB(S536),0.80521
50149,COLO 858,24,hr,Bim,-1.90960
50149,COLO 858,24,hr,cPARP,-1.51260
50149,COLO 858,24,hr,p-Histone H3(S10),1.26780
50149,COLO 858,24,hr,p27 Kip1,-2.02720
50149,COLO 858,48,hr,p-p90RSK(S380),NaN
50149,COLO 858,48,hr,p-p90RSK(T573),0.99705
50149,COLO 858,48,hr,p-AKT(T308),NaN
50149,COLO 858,48,hr,p-AKT(S473),NaN
50149,COLO 858,48,hr,p-mTOR(S2448),NaN
50149,COLO 858,48,hr,p-p70S6K(T421/S424),1.95820
50149,COLO 858,48,hr,p-p70S6K(T389),-1.05440
50149,COLO 858,48,hr,p-S6(S235/236),0.87001
50149,COLO 858,48,hr,p-AMPK(T172),NaN
50149,COLO 858,48,hr,p-JNK(T183/Y185),NaN
50149,COLO 858,48,hr,Total c-Jun,-1.40250
50149,COLO 858,48,hr,p-cJun(S63),-1.62390
50149,COLO 858,48,hr,p-P38(T180/Y182),NaN
50149,COLO 858,48,hr,p-HSP27(S82),NaN
50149,COLO 858,48,hr,p-NFKB(S536),0.77663
50149,COLO 858,48,hr,Bim,NaN
50149,COLO 858,48,hr,cPARP,-1.29880
50149,COLO 858,48,hr,p-Histone H3(S10),2.19720
50149,COLO 858,48,hr,p27 Kip1,-1.34510
51100,K2,1,hr,p-p90RSK(S380),0.55581
51100,K2,1,hr,p-p90RSK(T573),0.42261
51100,K2,1,hr,p-AKT(T308),0.55656
51100,K2,1,hr,p-AKT(S473),-0.19537
51100,K2,1,hr,p-mTOR(S2448),0.33846
51100,K2,1,hr,p-p70S6K(T421/S424),0.65733
51100,K2,1,hr,p-p70S6K(T389),0.34604
51100,K2,1,hr,p-S6(S235/236),NaN
51100,K2,1,hr,p-AMPK(T172),0.22097
51100,K2,1,hr,p-JNK(T183/Y185),0.51643
51100,K2,1,hr,Total c-Jun,0.43366
51100,K2,1,hr,p-cJun(S63),0.28540
51100,K2,1,hr,p-P38(T180/Y182),0.54415
51100,K2,1,hr,p-HSP27(S82),0.25698
51100,K2,1,hr,p-NFKB(S536),0.69767
51100,K2,1,hr,Bim,NaN
51100,K2,1,hr,cPARP,0.24549
51100,K2,1,hr,p-Histone H3(S10),NaN
51100,K2,1,hr,p27 Kip1,0.10019
51100,K2,5,hr,p-p90RSK(S380),NaN
51100,K2,5,hr,p-p90RSK(T573),NaN
51100,K2,5,hr,p-AKT(T308),1.01870
51100,K2,5,hr,p-AKT(S473),-0.53378
51100,K2,5,hr,p-mTOR(S2448),NaN
51100,K2,5,hr,p-p70S6K(T421/S424),-0.40054
51100,K2,5,hr,p-p70S6K(T389),0.69697
51100,K2,5,hr,p-S6(S235/236),0.56096
51100,K2,5,hr,p-AMPK(T172),-0.69477
51100,K2,5,hr,p-JNK(T183/Y185),NaN
51100,K2,5,hr,Total c-Jun,0.97545
51100,K2,5,hr,p-cJun(S63),0.60521
51100,K2,5,hr,p-P38(T180/Y182),NaN
