Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,Protein Stimulus HMS LINCS ID,Protein Stimulus Name,Other Stimulus HMS LINCS ID,Other Stimulus Name,Stimulus Concentration,Stimulus Conc Unit,ExpPlate,Measured Protein,Measured Protein MFI (a.u.),Bead Count
,,,,,,,,,,,,0,MIP-1B,76.5,52
,,,,,,,,,,,,0,MIP-1B,76.0,51
,,,,,,,,,,,,0,MIP-1B,73.5,56
60004-1,RA1869,,,,,,,,,,,1,MIP-1B,78.5,74
60003-1,N2759,,,,,,,,,,,1,MIP-1B,69.0,88
60005-1,RA1931,,,,,,,,,,,1,MIP-1B,56.0,76
60001-1,N2586,,,,,,,,,,,1,MIP-1B,57.0,85
60004-1,RA1869,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,1,MIP-1B,63.0,56
60004-1,RA1869,10439-101-2,PH-797804,0.6,uM,,,,,,,1,MIP-1B,63.0,66
60003-1,N2759,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,1,MIP-1B,65.5,78
60003-1,N2759,10439-101-2,PH-797804,0.6,uM,,,,,,,1,MIP-1B,60.0,67
60005-1,RA1931,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,1,MIP-1B,64.5,74
60005-1,RA1931,10439-101-2,PH-797804,0.6,uM,,,,,,,1,MIP-1B,64.0,80
60001-1,N2586,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,1,MIP-1B,69.0,72
60001-1,N2586,10439-101-2,PH-797804,0.6,uM,,,,,,,1,MIP-1B,63.0,59
60004-1,RA1869,,,,,201285,TNF-a,,,100,ng/mL,1,MIP-1B,133.0,65
60003-1,N2759,,,,,201285,TNF-a,,,100,ng/mL,1,MIP-1B,135.0,79
60005-1,RA1931,,,,,201285,TNF-a,,,100,ng/mL,1,MIP-1B,119.5,70
60001-1,N2586,,,,,201285,TNF-a,,,100,ng/mL,1,MIP-1B,104.0,68
60004-1,RA1869,10363-101-2,JNK-IN-8,3.0,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,117.0,51
60004-1,RA1869,10439-101-2,PH-797804,0.6,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,108.0,70
60003-1,N2759,10363-101-2,JNK-IN-8,3.0,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,104.0,69
60003-1,N2759,10439-101-2,PH-797804,0.6,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,144.0,52
60005-1,RA1931,10363-101-2,JNK-IN-8,3.0,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,116.0,68
60005-1,RA1931,10439-101-2,PH-797804,0.6,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,130.0,71
60001-1,N2586,10363-101-2,JNK-IN-8,3.0,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,111.0,64
60001-1,N2586,10439-101-2,PH-797804,0.6,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,131.0,58
60004-1,RA1869,,,,,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,209.0,70
60003-1,N2759,,,,,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,324.0,59
60005-1,RA1931,,,,,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,249.0,71
60001-1,N2586,,,,,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,175.5,76
60004-1,RA1869,10363-101-2,JNK-IN-8,3.0,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,102.0,60
60004-1,RA1869,10439-101-2,PH-797804,0.6,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,89.0,67
60003-1,N2759,10363-101-2,JNK-IN-8,3.0,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,140.0,58
60003-1,N2759,10439-101-2,PH-797804,0.6,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,490.0,68
60005-1,RA1931,10363-101-2,JNK-IN-8,3.0,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,199.0,91
60005-1,RA1931,10439-101-2,PH-797804,0.6,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,568.0,55
60001-1,N2586,10363-101-2,JNK-IN-8,3.0,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,113.5,82
60001-1,N2586,10439-101-2,PH-797804,0.6,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,156.0,77
60004-1,RA1869,,,,,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,68.0,65
60003-1,N2759,,,,,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,1672.0,71
60005-1,RA1931,,,,,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,485.0,71
