Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Relative Growth Rate After Treatment
50105-3,BT-20,10133-101-1,Afatinib,0.04,uM,LJP6,1,G24,72,hr,1097,2735,3769,0.7256,0.6129
50105-3,BT-20,10133-101-1,Afatinib,0.04,uM,LJP6,2,G24,72,hr,1097,2950,3769,0.7826,0.6933
50105-3,BT-20,10133-101-1,Afatinib,0.04,uM,LJP6,3,G24,72,hr,1097,2938,3769,0.7794,0.6888
50105-3,BT-20,10035-101-1,Sigma A6730,0.04,uM,LJP5,1,B24,72,hr,1097,2788,3769,0.7396,0.6327
50105-3,BT-20,10035-101-1,Sigma A6730,0.04,uM,LJP5,2,B24,72,hr,1097,3419,3769,0.9070,0.8688
50105-3,BT-20,10035-101-1,Sigma A6730,0.04,uM,LJP5,3,B24,72,hr,1097,3395,3769,0.9006,0.8598
50105-3,BT-20,10011-101-1,Alvocidib,0.04,uM,LJP6,1,A18,72,hr,1097,1142,3769,0.3030,0.0167
50105-3,BT-20,10011-101-1,Alvocidib,0.04,uM,LJP6,2,A18,72,hr,1097,1104,3769,0.2929,0.0025
50105-3,BT-20,10011-101-1,Alvocidib,0.04,uM,LJP6,3,A18,72,hr,1097,981,3769,0.2602,-0.0435
50105-3,BT-20,10004-101-1,AT-7519,0.04,uM,LJP6,1,K06,72,hr,1097,3009,3769,0.7982,0.7154
50105-3,BT-20,10004-101-1,AT-7519,0.04,uM,LJP6,2,K06,72,hr,1097,3058,3769,0.8112,0.7337
50105-3,BT-20,10004-101-1,AT-7519,0.04,uM,LJP6,3,K06,72,hr,1097,3011,3769,0.7988,0.7162
50105-3,BT-20,10158-101-1,AZD 5438,0.04,uM,LJP6,1,J06,72,hr,1097,2949,3769,0.7823,0.6929
50105-3,BT-20,10158-101-1,AZD 5438,0.04,uM,LJP6,2,J06,72,hr,1097,2989,3769,0.7929,0.7079
