Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Timepoint,Timepoint Unit,Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Relative Cell Count,Mean Relative Growth Rate After Treatment
50105-3,BT-20,10133-101-1,Afatinib,0.04,uM,LJP6,72,hr,1334,3050,3970,0.7683,0.6509
50105-3,BT-20,10035-101-1,Sigma A6730,0.04,uM,LJP5,72,hr,1334,3511,3970,0.8843,0.8257
50105-3,BT-20,10011-101-1,Alvocidib,0.04,uM,LJP6,72,hr,1334,2841,3970,0.7155,0.5715
50105-3,BT-20,10004-101-1,AT-7519,0.04,uM,LJP6,72,hr,1334,3747,3970,0.9438,0.9153
50105-3,BT-20,10158-101-1,AZD 5438,0.04,uM,LJP6,72,hr,1334,3748,3970,0.9440,0.9157
50105-3,BT-20,10059-101-1,AZD-6482,0.04,uM,LJP5,72,hr,1334,4128,3970,1.0396,1.0596
50105-3,BT-20,10006-101-1,AZD7762,0.04,uM,LJP6,72,hr,1334,4096,3970,1.0315,1.0475
50105-3,BT-20,10007-101-1,AZD8055,0.04,uM,LJP6,72,hr,1334,2367,3970,0.5962,0.3917
50105-3,BT-20,10164-101-1,AZD8330,0.04,uM,LJP5,72,hr,1334,3067,3970,0.7725,0.6573
50105-3,BT-20,10067-101-1,Barasertib,0.04,uM,LJP5,72,hr,1334,3344,3970,0.8423,0.7625
50105-3,BT-20,10041-101-1,BI-2536,0.04,uM,LJP6,72,hr,1334,687,3970,0.1731,-0.2456
50105-3,BT-20,10028-102-1,BMS345541,0.04,uM,LJP6,72,hr,1334,4026,3970,1.0140,1.0210
50105-3,BT-20,10132-101-1,SNS-032,0.04,uM,LJP6,72,hr,1334,3780,3970,0.9521,0.9278
50105-3,BT-20,10234-101-1,GDC-0980,0.04,uM,LJP5,72,hr,1334,2403,3970,0.6052,0.4054
50105-3,BT-20,10122-101-1,NVP-AEW541,0.04,uM,LJP5,72,hr,1334,4135,3970,1.0415,1.0625
50105-3,BT-20,10046-101-1,SB590885,0.04,uM,LJP5,72,hr,1334,4237,3970,1.0671,1.1011
50105-3,BT-20,10190-101-1,PIK-93,0.04,uM,LJP5,72,hr,1334,4133,3970,1.0410,1.0617
50105-3,BT-20,10031-101-1,KIN001-043,0.04,uM,LJP6,72,hr,1334,3878,3970,0.9768,0.9650
50105-3,BT-20,10233-101-1,Alpelisib,0.04,uM,LJP5,72,hr,1334,4126,3970,1.0391,1.0590
50105-3,BT-20,10161-101-1,Luminespib,0.04,uM,LJP5,72,hr,1334,980,3970,0.2469,-0.1344
50105-3,BT-20,10045-101-1,A443654,0.04,uM,LJP6,72,hr,1334,3139,3970,0.7907,0.6847
50105-3,BT-20,10063-102-1,OSI-027,0.04,uM,LJP6,72,hr,1334,4032,3970,1.0155,1.0233
50105-3,BT-20,10087-101-1,XMD11-85h,0.04,uM,LJP6,72,hr,1334,3366,3970,0.8478,0.7708
50105-3,BT-20,10017-101-1,HG-6-64-01,0.04,uM,LJP6,72,hr,1334,4333,3970,1.0912,1.1374
50105-3,BT-20,10039-101-1,WH-4-025,0.04,uM,LJP5,72,hr,1334,3860,3970,0.9721,0.9579
50105-3,BT-20,10082-101-1,WZ-4-145,0.04,uM,LJP6,72,hr,1334,3309,3970,0.8334,0.7490
50105-3,BT-20,10091-101-1,XMD16-144,0.04,uM,LJP5,72,hr,1334,3824,3970,0.9632,0.9445
50105-3,BT-20,10177-101-1,Brivanib,0.04,uM,LJP5,72,hr,1334,4008,3970,1.0093,1.0141
50105-3,BT-20,10147-101-1,Buparlisib,0.04,uM,LJP5,72,hr,1334,4150,3970,1.0451,1.0679
50105-3,BT-20,10055-101-1,BX-912,0.04,uM,LJP5,72,hr,1334,3739,3970,0.9417,0.9122
50105-3,BT-20,10120-102-1,Canertinib,0.04,uM,LJP6,72,hr,1334,3494,3970,0.8801,0.8194
50105-3,BT-20,10117-101-1,Celastrol,0.04,uM,LJP6,72,hr,1334,4023,3970,1.0132,1.0199
50105-3,BT-20,10025-101-1,CGP60474,0.04,uM,LJP5,72,hr,1334,3530,3970,0.8891,0.8329
50105-3,BT-20,10025-101-1,CGP60474,0.04,uM,LJP6,72,hr,1334,782,3970,0.1969,-0.2097
50105-3,BT-20,10180-101-1,CHIR-99021,0.04,uM,LJP6,72,hr,1334,3515,3970,0.8853,0.8272
50105-3,BT-20,10010-101-1,CP724714,0.04,uM,LJP5,72,hr,1334,3801,3970,0.9572,0.9356
50105-3,BT-20,10009-101-1,CP466722,0.04,uM,LJP5,72,hr,1334,4240,3970,1.0678,1.1022
50105-3,BT-20,10027-101-1,Crizotinib,0.04,uM,LJP5,72,hr,1334,3325,3970,0.8374,0.7551
50105-3,BT-20,10140-101-1,Momelotinib,0.04,uM,LJP5,72,hr,1334,3991,3970,1.0051,1.0077
50105-3,BT-20,10020-101-1,Dasatinib,0.04,uM,LJP5,72,hr,1334,3455,3970,0.8701,0.8043
50105-3,BT-20,10020-101-1,Dasatinib,0.04,uM,LJP6,72,hr,1334,2913,3970,0.7337,0.5988
50105-3,BT-20,10127-101-1,Dovitinib,0.04,uM,LJP5,72,hr,1334,3395,3970,0.8550,0.7815
50105-3,BT-20,10069-101-1,Enzastaurin,0.04,uM,LJP5,72,hr,1334,3740,3970,0.9419,0.9125
50105-3,BT-20,10097-101-1,Erlotinib,0.04,uM,LJP5,72,hr,1334,3679,3970,0.9267,0.8895
50105-3,BT-20,10157-101-1,Foretinib,0.04,uM,LJP5,72,hr,1334,3950,3970,0.9948,0.9922
50105-3,BT-20,10040-101-1,R406,0.04,uM,LJP6,72,hr,1334,3713,3970,0.9351,0.9023
50105-3,BT-20,10047-101-1,Pictilisib,0.04,uM,LJP6,72,hr,1334,3004,3970,0.7566,0.6334
50105-3,BT-20,10098-101-1,Gefitinib,0.04,uM,LJP6,72,hr,1334,4187,3970,1.0546,1.0822
50105-3,BT-20,10108-101-1,Geldanamycin,0.04,uM,LJP5,72,hr,1334,1781,3970,0.4486,0.1694
50105-3,BT-20,10108-101-1,Geldanamycin,0.04,uM,LJP6,72,hr,1334,2191,3970,0.5519,0.3251
50105-3,BT-20,10172-101-1,GSK1059615,0.04,uM,LJP5,72,hr,1334,4146,3970,1.0441,1.0664
50105-3,BT-20,10172-101-1,GSK1059615,0.04,uM,LJP6,72,hr,1334,3858,3970,0.9717,0.9573
50105-3,BT-20,10134-101-1,GSK1904529A,0.04,uM,LJP6,72,hr,1334,3236,3970,0.8149,0.7212
50105-3,BT-20,10146-101-1,Omipalisib,0.04,uM,LJP6,72,hr,1334,1179,3970,0.2970,-0.0589
50105-3,BT-20,10128-101-1,GSK 690693,0.04,uM,LJP5,72,hr,1334,3452,3970,0.8693,0.8032
50105-3,BT-20,10014-101-1,GW843682X,0.04,uM,LJP6,72,hr,1334,3587,3970,0.9034,0.8545
50105-3,BT-20,10015-101-1,HG-5-113-01,0.04,uM,LJP5,72,hr,1334,3806,3970,0.9585,0.9374
50105-3,BT-20,10016-101-1,HG-5-88-01,0.04,uM,LJP6,72,hr,1334,2936,3970,0.7395,0.6077
50105-3,BT-20,10023-103-1,Imatinib,0.04,uM,LJP6,72,hr,1334,3830,3970,0.9647,0.9468
50105-3,BT-20,10100-101-1,JNK-9L,0.04,uM,LJP6,72,hr,1334,3521,3970,0.8867,0.8293
50105-3,BT-20,10019-101-1,JW-7-24-1,0.04,uM,LJP6,72,hr,1334,3217,3970,0.8101,0.7140
50105-3,BT-20,10051-104-1,Lapatinib,0.04,uM,LJP6,72,hr,1334,3647,3970,0.9184,0.8771
50105-3,BT-20,10115-102-1,LDN-193189,0.04,uM,LJP5,72,hr,1334,4142,3970,1.0431,1.0649
50105-3,BT-20,10182-101-1,Linifanib,0.04,uM,LJP6,72,hr,1334,4189,3970,1.0551,1.0830
50105-3,BT-20,10135-101-1,Linsitinib,0.04,uM,LJP5,72,hr,1334,3462,3970,0.8718,0.8070
50105-3,BT-20,10479-102-1,Mitoxantrone,0.04,uM,LJP5,72,hr,1334,1575,3970,0.3966,0.0912
50105-3,BT-20,10479-102-1,Mitoxantrone,0.04,uM,LJP6,72,hr,1334,2227,3970,0.5608,0.3385
50105-3,BT-20,10057-102-1,MK2206,0.04,uM,LJP6,72,hr,1334,4075,3970,1.0262,1.0395
50105-3,BT-20,10018-101-1,Neratinib,0.04,uM,LJP5,72,hr,1334,3101,3970,0.7811,0.6703
50105-3,BT-20,10099-101-1,Nilotinib,0.04,uM,LJP5,72,hr,1334,4101,3970,1.0329,1.0496
50105-3,BT-20,10151-101-1,Nintedanib,0.04,uM,LJP6,72,hr,1334,4047,3970,1.0193,1.0291
50105-3,BT-20,10061-101-1,NU7441,0.04,uM,LJP5,72,hr,1334,4239,3970,1.0675,1.1017
50105-3,BT-20,10232-101-1,Dactolisib,0.04,uM,LJP5,72,hr,1334,1982,3970,0.4991,0.2456
50105-3,BT-20,10024-101-1,NVP-TAE684,0.04,uM,LJP6,72,hr,1334,4079,3970,1.0272,1.0410
50105-3,BT-20,10071-101-1,Palbociclib,0.04,uM,LJP6,72,hr,1334,3045,3970,0.7668,0.6488
50105-3,BT-20,10101-101-1,PD0325901,0.04,uM,LJP5,72,hr,1334,3887,3970,0.9790,0.9683
50105-3,BT-20,10101-101-1,PD0325901,0.04,uM,LJP6,72,hr,1334,3800,3970,0.9571,0.9354
50105-3,BT-20,10026-101-1,PD173074,0.04,uM,LJP6,72,hr,1334,4140,3970,1.0427,1.0643
50105-3,BT-20,10048-101-1,PD184352,0.04,uM,LJP5,72,hr,1334,4104,3970,1.0336,1.0506
50105-3,BT-20,10159-101-1,Pelitinib,0.04,uM,LJP5,72,hr,1334,3996,3970,1.0063,1.0095
50105-3,BT-20,10116-101-1,PF431396,0.04,uM,LJP5,72,hr,1334,3745,3970,0.9432,0.9144
50105-3,BT-20,10112-101-1,PF477736,0.04,uM,LJP5,72,hr,1334,3517,3970,0.8859,0.8281
50105-3,BT-20,10072-101-1,PF562271,0.04,uM,LJP6,72,hr,1334,3725,3970,0.9381,0.9067
50105-3,BT-20,10125-101-1,PHA-665752,0.04,uM,LJP5,72,hr,1334,4086,3970,1.0290,1.0437
50105-3,BT-20,10073-101-1,PHA-793887,0.04,uM,LJP6,72,hr,1334,2521,3970,0.6349,0.4500
50105-3,BT-20,10126-101-1,PI103,0.04,uM,LJP6,72,hr,1334,3878,3970,0.9768,0.9650
50105-3,BT-20,10049-101-1,PLX-4720,0.04,uM,LJP5,72,hr,1334,4142,3970,1.0432,1.0650
50105-3,BT-20,10075-101-1,QL-X-138,0.04,uM,LJP6,72,hr,1334,3221,3970,0.8113,0.7158
50105-3,BT-20,10077-101-1,QL-XII-47,0.04,uM,LJP6,72,hr,1334,3356,3970,0.8453,0.7670
50105-3,BT-20,10480-101-1,Radicicol,0.04,uM,LJP5,72,hr,1334,3362,3970,0.8468,0.7693
50105-3,BT-20,10480-101-1,Radicicol,0.04,uM,LJP6,72,hr,1334,3774,3970,0.9506,0.9256
50105-3,BT-20,10001-101-1,Seliciclib,0.04,uM,LJP5,72,hr,1334,4094,3970,1.0310,1.0467
50105-3,BT-20,10138-105-1,Ruxolitinib,0.04,uM,LJP5,72,hr,1334,4182,3970,1.0532,1.0801
50105-3,BT-20,10148-101-1,XL147,0.04,uM,LJP5,72,hr,1334,4181,3970,1.0529,1.0797
50105-3,BT-20,10032-101-1,Saracatinib,0.04,uM,LJP6,72,hr,1334,3861,3970,0.9723,0.9583
