Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Mean Relative Cell Count,Standard Error of the Mean for Relative Cell Count,Mean Relative Growth Rate,Standard Error of the Mean for Relative Growth Rate
50105-3,BT-20,10133-101-1,Afatinib,0.04,uM,LJP6,0.7512,0.0142,0.6398,0.0186
50105-3,BT-20,10035-101-1,Sigma A6730,0.04,uM,LJP5,0.8751,0.0132,0.8193,0.0171
50105-3,BT-20,10011-101-1,Alvocidib,0.04,uM,LJP6,0.5031,0.1242,0.2867,0.1674
50105-3,BT-20,10004-101-1,AT-7519,0.04,uM,LJP6,0.8919,0.0448,0.8452,0.0619
50105-3,BT-20,10158-101-1,AZD 5438,0.04,uM,LJP6,0.8869,0.0442,0.8381,0.0610
50105-3,BT-20,10059-101-1,AZD-6482,0.04,uM,LJP5,0.9926,0.0235,0.9906,0.0345
50105-3,BT-20,10006-101-1,AZD7762,0.04,uM,LJP6,1.0250,0.0270,1.0367,0.0386
50105-3,BT-20,10007-101-1,AZD8055,0.04,uM,LJP6,0.4810,0.0634,0.2515,0.0781
50105-3,BT-20,10164-101-1,AZD8330,0.04,uM,LJP5,0.7578,0.0103,0.6493,0.0123
50105-3,BT-20,10067-101-1,Barasertib,0.04,uM,LJP5,0.8566,0.0523,0.7924,0.0743
50105-3,BT-20,10041-101-1,BI-2536,0.04,uM,LJP6,0.2255,0.0285,-0.1238,0.0619
50105-3,BT-20,10028-102-1,BMS345541,0.04,uM,LJP6,0.9856,0.0169,0.9800,0.0242
50105-3,BT-20,10132-101-1,SNS-032,0.04,uM,LJP6,0.8870,0.0330,0.8381,0.0457
50105-3,BT-20,10234-101-1,GDC-0980,0.04,uM,LJP5,0.5150,0.0723,0.3003,0.0934
50105-3,BT-20,10122-101-1,NVP-AEW541,0.04,uM,LJP5,1.0378,0.0110,1.0549,0.0161
50105-3,BT-20,10046-101-1,SB590885,0.04,uM,LJP5,1.0277,0.0268,1.0410,0.0396
50105-3,BT-20,10190-101-1,PIK-93,0.04,uM,LJP5,1.0379,0.0023,1.0550,0.0042
50105-3,BT-20,10031-101-1,KIN001-043,0.04,uM,LJP6,0.9563,0.0137,0.9374,0.0187
50105-3,BT-20,10233-101-1,Alpelisib,0.04,uM,LJP5,1.0539,0.0114,1.0775,0.0152
