Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value
50029-3,MCF7,10001-101-1,Seliciclib,0.04,uM,LJP5,1,J06,72,hr,1235,4760,4119,1.1556,1.1736
50029-3,MCF7,10001-101-1,Seliciclib,0.04,uM,LJP5,2,J06,72,hr,1235,4880,4356,1.1202,1.1289
50029-3,MCF7,10001-101-1,Seliciclib,0.04,uM,LJP5,3,J06,72,hr,1235,4855,4326,1.1222,1.1316
50029-3,MCF7,10001-101-1,Seliciclib,0.12,uM,LJP5,1,J05,72,hr,1235,4144,4119,1.0060,1.0069
50029-3,MCF7,10001-101-1,Seliciclib,0.12,uM,LJP5,2,J05,72,hr,1235,4195,4356,0.9630,0.9589
50029-3,MCF7,10001-101-1,Seliciclib,0.12,uM,LJP5,3,J05,72,hr,1235,5017,4326,1.1596,1.1707
50029-3,MCF7,10001-101-1,Seliciclib,0.37,uM,LJP5,1,J04,72,hr,1235,3699,4119,0.8980,0.8799
50029-3,MCF7,10001-101-1,Seliciclib,0.37,uM,LJP5,2,J04,72,hr,1235,3684,4356,0.8457,0.8239
50029-3,MCF7,10001-101-1,Seliciclib,0.37,uM,LJP5,3,J04,72,hr,1235,3984,4326,0.9209,0.9109
50029-3,MCF7,10001-101-1,Seliciclib,1.11,uM,LJP5,1,J03,72,hr,1235,3327,4119,0.8077,0.7686
50029-3,MCF7,10001-101-1,Seliciclib,1.11,uM,LJP5,2,J03,72,hr,1235,3514,4356,0.8067,0.7771
50029-3,MCF7,10001-101-1,Seliciclib,1.11,uM,LJP5,3,J03,72,hr,1235,3740,4326,0.8645,0.8452
50029-3,MCF7,10001-101-1,Seliciclib,3.33,uM,LJP5,1,J02,72,hr,1235,2738,4119,0.6647,0.5810
50029-3,MCF7,10001-101-1,Seliciclib,3.33,uM,LJP5,2,J02,72,hr,1235,3270,4356,0.7506,0.7081
50029-3,MCF7,10001-101-1,Seliciclib,3.33,uM,LJP5,3,J02,72,hr,1235,3295,4326,0.7616,0.7204
50029-3,MCF7,10001-101-1,Seliciclib,10,uM,LJP5,1,J01,72,hr,1235,734,4119,0.1782,-0.2589
50029-3,MCF7,10001-101-1,Seliciclib,10,uM,LJP5,2,J01,72,hr,1235,687,4356,0.1577,-0.2759
50029-3,MCF7,10001-101-1,Seliciclib,10,uM,LJP5,3,J01,72,hr,1235,697,4326,0.1611,-0.2713
50029-3,MCF7,10004-101-1,AT-7519,0.04,uM,LJP6,1,K06,72,hr,1235,3316,3974,0.8344,0.7963
50029-3,MCF7,10004-101-1,AT-7519,0.04,uM,LJP6,2,K06,72,hr,1235,3573,4070,0.8778,0.8541
50029-3,MCF7,10004-101-1,AT-7519,0.04,uM,LJP6,3,K06,72,hr,1235,3793,4126,0.9192,0.9055
50029-3,MCF7,10004-101-1,AT-7519,0.12,uM,LJP6,1,K05,72,hr,1235,1412,3974,0.3553,0.0825
50029-3,MCF7,10004-101-1,AT-7519,0.12,uM,LJP6,2,K05,72,hr,1235,1407,4070,0.3457,0.0786
50029-3,MCF7,10004-101-1,AT-7519,0.12,uM,LJP6,3,K05,72,hr,1235,1370,4126,0.3320,0.0612
50029-3,MCF7,10004-101-1,AT-7519,0.37,uM,LJP6,1,K04,72,hr,1235,890,3974,0.2240,-0.1768
50029-3,MCF7,10004-101-1,AT-7519,0.37,uM,LJP6,2,K04,72,hr,1235,809,4070,0.1988,-0.2182
50029-3,MCF7,10004-101-1,AT-7519,0.37,uM,LJP6,3,K04,72,hr,1235,804,4126,0.1948,-0.2188
50029-3,MCF7,10004-101-1,AT-7519,1.11,uM,LJP6,1,K03,72,hr,1235,848,3974,0.2134,-0.2001
50029-3,MCF7,10004-101-1,AT-7519,1.11,uM,LJP6,2,K03,72,hr,1235,910,4070,0.2236,-0.1628
50029-3,MCF7,10004-101-1,AT-7519,1.11,uM,LJP6,3,K03,72,hr,1235,826,4126,0.2002,-0.2066
50029-3,MCF7,10004-101-1,AT-7519,3.33,uM,LJP6,1,K02,72,hr,1235,881,3974,0.2217,-0.1817
50029-3,MCF7,10004-101-1,AT-7519,3.33,uM,LJP6,2,K02,72,hr,1235,908,4070,0.2231,-0.1639
50029-3,MCF7,10004-101-1,AT-7519,3.33,uM,LJP6,3,K02,72,hr,1235,891,4126,0.2159,-0.1712
50029-3,MCF7,10004-101-1,AT-7519,10,uM,LJP6,1,K01,72,hr,1235,625,3974,0.1573,-0.3325
50029-3,MCF7,10004-101-1,AT-7519,10,uM,LJP6,2,K01,72,hr,1235,796,4070,0.1956,-0.2255
50029-3,MCF7,10004-101-1,AT-7519,10,uM,LJP6,3,K01,72,hr,1235,785,4126,0.1902,-0.2294
50029-3,MCF7,10006-101-1,AZD7762,0.04,uM,LJP6,1,L06,72,hr,1235,1960,3974,0.4932,0.3150
50029-3,MCF7,10006-101-1,AZD7762,0.04,uM,LJP6,2,L06,72,hr,1235,1919,4070,0.4715,0.2918
50029-3,MCF7,10006-101-1,AZD7762,0.04,uM,LJP6,3,L06,72,hr,1235,1833,4126,0.4442,0.2546
50029-3,MCF7,10006-101-1,AZD7762,0.12,uM,LJP6,1,L05,72,hr,1235,1766,3974,0.4444,0.2361
50029-3,MCF7,10006-101-1,AZD7762,0.12,uM,LJP6,2,L05,72,hr,1235,1688,4070,0.4147,0.1990
50029-3,MCF7,10006-101-1,AZD7762,0.12,uM,LJP6,3,L05,72,hr,1235,1665,4126,0.4035,0.1871
50029-3,MCF7,10006-101-1,AZD7762,0.37,uM,LJP6,1,L04,72,hr,1235,1658,3974,0.4172,0.1907
50029-3,MCF7,10006-101-1,AZD7762,0.37,uM,LJP6,2,L04,72,hr,1235,1507,4070,0.3702,0.1225
50029-3,MCF7,10006-101-1,AZD7762,0.37,uM,LJP6,3,L04,72,hr,1235,1467,4126,0.3555,0.1038
50029-3,MCF7,10006-101-1,AZD7762,1.11,uM,LJP6,1,L03,72,hr,1235,1294,3974,0.3256,0.0279
50029-3,MCF7,10006-101-1,AZD7762,1.11,uM,LJP6,2,L03,72,hr,1235,1272,4070,0.3125,0.0171
50029-3,MCF7,10006-101-1,AZD7762,1.11,uM,LJP6,3,L03,72,hr,1235,1365,4126,0.3308,0.0590
50029-3,MCF7,10006-101-1,AZD7762,3.33,uM,LJP6,1,L02,72,hr,1235,1118,3974,0.2813,-0.0575
50029-3,MCF7,10006-101-1,AZD7762,3.33,uM,LJP6,2,L02,72,hr,1235,993,4070,0.2440,-0.1192
50029-3,MCF7,10006-101-1,AZD7762,3.33,uM,LJP6,3,L02,72,hr,1235,1060,4126,0.2569,-0.0842
50029-3,MCF7,10006-101-1,AZD7762,10,uM,LJP6,1,L01,72,hr,1235,728,3974,0.1832,-0.2693
50029-3,MCF7,10006-101-1,AZD7762,10,uM,LJP6,2,L01,72,hr,1235,796,4070,0.1956,-0.2255
50029-3,MCF7,10006-101-1,AZD7762,10,uM,LJP6,3,L01,72,hr,1235,773,4126,0.1873,-0.2362
50029-3,MCF7,10007-101-1,AZD8055,0.04,uM,LJP6,1,A12,72,hr,1235,1330,3974,0.3347,0.0448
50029-3,MCF7,10007-101-1,AZD8055,0.04,uM,LJP6,2,A12,72,hr,1235,1464,4070,0.3597,0.1037
50029-3,MCF7,10007-101-1,AZD8055,0.04,uM,LJP6,3,A12,72,hr,1235,1129,4126,0.2736,-0.0504
50029-3,MCF7,10007-101-1,AZD8055,0.12,uM,LJP6,1,A11,72,hr,1235,1329,3974,0.3344,0.0443
50029-3,MCF7,10007-101-1,AZD8055,0.12,uM,LJP6,2,A11,72,hr,1235,1279,4070,0.3142,0.0204
50029-3,MCF7,10007-101-1,AZD8055,0.12,uM,LJP6,3,A11,72,hr,1235,1350,4126,0.3272,0.0523
50029-3,MCF7,10007-101-1,AZD8055,0.37,uM,LJP6,1,A10,72,hr,1235,1396,3974,0.3513,0.0752
50029-3,MCF7,10007-101-1,AZD8055,0.37,uM,LJP6,2,A10,72,hr,1235,1236,4070,0.3037,0.0003
50029-3,MCF7,10007-101-1,AZD8055,0.37,uM,LJP6,3,A10,72,hr,1235,1235,4126,0.2993,-0.0002
50029-3,MCF7,10007-101-1,AZD8055,1.11,uM,LJP6,1,A09,72,hr,1235,1397,3974,0.3515,0.0757
50029-3,MCF7,10007-101-1,AZD8055,1.11,uM,LJP6,2,A09,72,hr,1235,1227,4070,0.3015,-0.0040
50029-3,MCF7,10007-101-1,AZD8055,1.11,uM,LJP6,3,A09,72,hr,1235,1251,4126,0.3032,0.0072
50029-3,MCF7,10007-101-1,AZD8055,3.33,uM,LJP6,1,A08,72,hr,1235,1388,3974,0.3493,0.0715
50029-3,MCF7,10007-101-1,AZD8055,3.33,uM,LJP6,2,A08,72,hr,1235,1154,4070,0.2835,-0.0388
50029-3,MCF7,10007-101-1,AZD8055,3.33,uM,LJP6,3,A08,72,hr,1235,1184,4126,0.2869,-0.0241
50029-3,MCF7,10007-101-1,AZD8055,10,uM,LJP6,1,A07,72,hr,1235,1197,3974,0.3012,-0.0186
50029-3,MCF7,10007-101-1,AZD8055,10,uM,LJP6,2,A07,72,hr,1235,1120,4070,0.2752,-0.0554
50029-3,MCF7,10007-101-1,AZD8055,10,uM,LJP6,3,A07,72,hr,1235,1032,4126,0.2501,-0.0982
50029-3,MCF7,10008-101-1,Sorafenib,0.04,uM,LJP6,1,B12,72,hr,1235,4045,3974,1.0178,1.0211
50029-3,MCF7,10008-101-1,Sorafenib,0.04,uM,LJP6,2,B12,72,hr,1235,3919,4070,0.9628,0.9564
50029-3,MCF7,10008-101-1,Sorafenib,0.04,uM,LJP6,3,B12,72,hr,1235,3858,4126,0.9350,0.9242
50029-3,MCF7,10008-101-1,Sorafenib,0.12,uM,LJP6,1,B11,72,hr,1235,3391,3974,0.8533,0.8203
50029-3,MCF7,10008-101-1,Sorafenib,0.12,uM,LJP6,2,B11,72,hr,1235,3779,4070,0.9284,0.9155
50029-3,MCF7,10008-101-1,Sorafenib,0.12,uM,LJP6,3,B11,72,hr,1235,3513,4126,0.8514,0.8233
50029-3,MCF7,10008-101-1,Sorafenib,0.37,uM,LJP6,1,B10,72,hr,1235,3940,3974,0.9914,0.9898
50029-3,MCF7,10008-101-1,Sorafenib,0.37,uM,LJP6,2,B10,72,hr,1235,4099,4070,1.0070,1.0082
50029-3,MCF7,10008-101-1,Sorafenib,0.37,uM,LJP6,3,B10,72,hr,1235,3685,4126,0.8930,0.8741
50029-3,MCF7,10008-101-1,Sorafenib,1.11,uM,LJP6,1,B09,72,hr,1235,3864,3974,0.9723,0.9669
50029-3,MCF7,10008-101-1,Sorafenib,1.11,uM,LJP6,2,B09,72,hr,1235,3416,4070,0.8392,0.8063
50029-3,MCF7,10008-101-1,Sorafenib,1.11,uM,LJP6,3,B09,72,hr,1235,3760,4126,0.9112,0.8959
50029-3,MCF7,10008-101-1,Sorafenib,3.33,uM,LJP6,1,B08,72,hr,1235,3658,3974,0.9205,0.9040
50029-3,MCF7,10008-101-1,Sorafenib,3.33,uM,LJP6,2,B08,72,hr,1235,3388,4070,0.8324,0.7977
50029-3,MCF7,10008-101-1,Sorafenib,3.33,uM,LJP6,3,B08,72,hr,1235,3293,4126,0.7980,0.7568
50029-3,MCF7,10008-101-1,Sorafenib,10,uM,LJP6,1,B07,72,hr,1235,1776,3974,0.4469,0.2403
50029-3,MCF7,10008-101-1,Sorafenib,10,uM,LJP6,2,B07,72,hr,1235,1624,4070,0.3990,0.1723
50029-3,MCF7,10008-101-1,Sorafenib,10,uM,LJP6,3,B07,72,hr,1235,1537,4126,0.3725,0.1338
50029-3,MCF7,10009-101-1,CP466722,0.04,uM,LJP5,1,I12,72,hr,1235,4735,4119,1.1495,1.1670
50029-3,MCF7,10009-101-1,CP466722,0.04,uM,LJP5,2,I12,72,hr,1235,4694,4356,1.0775,1.0838
50029-3,MCF7,10009-101-1,CP466722,0.04,uM,LJP5,3,I12,72,hr,1235,5124,4326,1.1843,1.1962
50029-3,MCF7,10009-101-1,CP466722,0.12,uM,LJP5,1,I11,72,hr,1235,4392,4119,1.0662,1.0752
50029-3,MCF7,10009-101-1,CP466722,0.12,uM,LJP5,2,I11,72,hr,1235,4834,4356,1.1097,1.1178
50029-3,MCF7,10009-101-1,CP466722,0.12,uM,LJP5,3,I11,72,hr,1235,4387,4326,1.0140,1.0154
50029-3,MCF7,10009-101-1,CP466722,0.37,uM,LJP5,1,I10,72,hr,1235,4429,4119,1.0752,1.0852
