Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Timepoint,Timepoint Unit,Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Relative Cell Count,Mean Normalized Growth Rate Inhibition Value
50029-3,MCF7,10001-101-1,Seliciclib,0.04,uM,LJP5,72,hr,1389,5996,5905,1.0155,1.0149
50029-3,MCF7,10001-101-1,Seliciclib,0.12,uM,LJP5,72,hr,1389,5970,5905,1.0109,1.0104
50029-3,MCF7,10001-101-1,Seliciclib,0.37,uM,LJP5,72,hr,1389,5718,5905,0.9670,0.9662
50029-3,MCF7,10001-101-1,Seliciclib,1.11,uM,LJP5,72,hr,1389,5276,5905,0.8927,0.8934
50029-3,MCF7,10001-101-1,Seliciclib,3.33,uM,LJP5,72,hr,1389,4844,5905,0.8197,0.8176
50029-3,MCF7,10001-101-1,Seliciclib,10,uM,LJP5,72,hr,1389,1278,5905,0.2160,-0.0411
50029-3,MCF7,10004-101-1,AT-7519,0.04,uM,LJP6,72,hr,1389,5420,5445,0.9987,0.9994
50029-3,MCF7,10004-101-1,AT-7519,0.12,uM,LJP6,72,hr,1389,2530,5445,0.4655,0.3558
50029-3,MCF7,10004-101-1,AT-7519,0.37,uM,LJP6,72,hr,1389,755,5445,0.1389,-0.2665
50029-3,MCF7,10004-101-1,AT-7519,1.11,uM,LJP6,72,hr,1389,553,5445,0.1017,-0.3754
50029-3,MCF7,10004-101-1,AT-7519,3.33,uM,LJP6,72,hr,1389,479,5445,0.0885,-0.4181
50029-3,MCF7,10004-101-1,AT-7519,10,uM,LJP6,72,hr,1389,344,5445,0.0635,-0.5080
50029-3,MCF7,10006-101-1,AZD7762,0.04,uM,LJP6,72,hr,1389,1987,5445,0.3659,0.2000
50029-3,MCF7,10006-101-1,AZD7762,0.12,uM,LJP6,72,hr,1389,1691,5445,0.3110,0.1047
50029-3,MCF7,10006-101-1,AZD7762,0.37,uM,LJP6,72,hr,1389,1519,5445,0.2789,0.0452
50029-3,MCF7,10006-101-1,AZD7762,1.11,uM,LJP6,72,hr,1389,1327,5445,0.2444,-0.0227
50029-3,MCF7,10006-101-1,AZD7762,3.33,uM,LJP6,72,hr,1389,1098,5445,0.2015,-0.1148
50029-3,MCF7,10006-101-1,AZD7762,10,uM,LJP6,72,hr,1389,771,5445,0.1412,-0.2608
50029-3,MCF7,10007-101-1,AZD8055,0.04,uM,LJP6,72,hr,1389,1577,5445,0.2898,0.0624
50029-3,MCF7,10007-101-1,AZD8055,0.12,uM,LJP6,72,hr,1389,1399,5445,0.2563,-0.0001
50029-3,MCF7,10007-101-1,AZD8055,0.37,uM,LJP6,72,hr,1389,1451,5445,0.2657,0.0181
50029-3,MCF7,10007-101-1,AZD8055,1.11,uM,LJP6,72,hr,1389,1511,5445,0.2763,0.0381
50029-3,MCF7,10007-101-1,AZD8055,3.33,uM,LJP6,72,hr,1389,1413,5445,0.2590,0.0062
50029-3,MCF7,10007-101-1,AZD8055,10,uM,LJP6,72,hr,1389,1120,5445,0.2052,-0.1075
50029-3,MCF7,10008-101-1,Sorafenib,0.04,uM,LJP6,72,hr,1389,5186,5445,0.9513,0.9475
50029-3,MCF7,10008-101-1,Sorafenib,0.12,uM,LJP6,72,hr,1389,4987,5445,0.9147,0.9096
50029-3,MCF7,10008-101-1,Sorafenib,0.37,uM,LJP6,72,hr,1389,4946,5445,0.9088,0.9046
50029-3,MCF7,10008-101-1,Sorafenib,1.11,uM,LJP6,72,hr,1389,4660,5445,0.8537,0.8430
50029-3,MCF7,10008-101-1,Sorafenib,3.33,uM,LJP6,72,hr,1389,4391,5445,0.8027,0.7828
50029-3,MCF7,10008-101-1,Sorafenib,10,uM,LJP6,72,hr,1389,1891,5445,0.3485,0.1704
50029-3,MCF7,10009-101-1,CP466722,0.04,uM,LJP5,72,hr,1389,6297,5905,1.0662,1.0623
50029-3,MCF7,10009-101-1,CP466722,0.12,uM,LJP5,72,hr,1389,6357,5905,1.0767,1.0722
50029-3,MCF7,10009-101-1,CP466722,0.37,uM,LJP5,72,hr,1389,5956,5905,1.0082,1.0075
50029-3,MCF7,10009-101-1,CP466722,1.11,uM,LJP5,72,hr,1389,5956,5905,1.0090,1.0087
50029-3,MCF7,10009-101-1,CP466722,3.33,uM,LJP5,72,hr,1389,5916,5905,1.0023,1.0024
50029-3,MCF7,10009-101-1,CP466722,10,uM,LJP5,72,hr,1389,5776,5905,0.9766,0.9750
50029-3,MCF7,10010-101-1,CP724714,0.04,uM,LJP5,72,hr,1389,5239,5905,0.8877,0.8892
50029-3,MCF7,10010-101-1,CP724714,0.12,uM,LJP5,72,hr,1389,4654,5905,0.7877,0.7836
50029-3,MCF7,10010-101-1,CP724714,0.37,uM,LJP5,72,hr,1389,4622,5905,0.7829,0.7787
50029-3,MCF7,10010-101-1,CP724714,1.11,uM,LJP5,72,hr,1389,4672,5905,0.7922,0.7888
50029-3,MCF7,10010-101-1,CP724714,3.33,uM,LJP5,72,hr,1389,5059,5905,0.8573,0.8579
50029-3,MCF7,10010-101-1,CP724714,10,uM,LJP5,72,hr,1389,3532,5905,0.5978,0.5625
50029-3,MCF7,10011-101-1,Alvocidib,0.04,uM,LJP6,72,hr,1389,1631,5445,0.2990,0.0802
50029-3,MCF7,10011-101-1,Alvocidib,0.12,uM,LJP6,72,hr,1389,565,5445,0.1037,-0.3695
50029-3,MCF7,10011-101-1,Alvocidib,0.37,uM,LJP6,72,hr,1389,489,5445,0.0896,-0.4128
50029-3,MCF7,10011-101-1,Alvocidib,1.11,uM,LJP6,72,hr,1389,486,5445,0.0890,-0.4155
50029-3,MCF7,10011-101-1,Alvocidib,3.33,uM,LJP6,72,hr,1389,468,5445,0.0859,-0.4251
50029-3,MCF7,10011-101-1,Alvocidib,10,uM,LJP6,72,hr,1389,509,5445,0.0933,-0.4010
50029-3,MCF7,10014-101-1,GW843682X,0.04,uM,LJP6,72,hr,1389,4561,5445,0.8379,0.8267
50029-3,MCF7,10014-101-1,GW843682X,0.12,uM,LJP6,72,hr,1389,3078,5445,0.5636,0.4888
50029-3,MCF7,10014-101-1,GW843682X,0.37,uM,LJP6,72,hr,1389,1883,5445,0.3463,0.1666
50029-3,MCF7,10014-101-1,GW843682X,1.11,uM,LJP6,72,hr,1389,1547,5445,0.2835,0.0527
50029-3,MCF7,10014-101-1,GW843682X,3.33,uM,LJP6,72,hr,1389,1488,5445,0.2731,0.0338
50029-3,MCF7,10014-101-1,GW843682X,10,uM,LJP6,72,hr,1389,1588,5445,0.2911,0.0675
50029-3,MCF7,10015-101-1,HG-5-113-01,0.04,uM,LJP5,72,hr,1389,5118,5905,0.8669,0.8678
50029-3,MCF7,10015-101-1,HG-5-113-01,0.12,uM,LJP5,72,hr,1389,4556,5905,0.7718,0.7667
50029-3,MCF7,10015-101-1,HG-5-113-01,0.37,uM,LJP5,72,hr,1389,3820,5905,0.6458,0.6201
50029-3,MCF7,10015-101-1,HG-5-113-01,1.11,uM,LJP5,72,hr,1389,2373,5905,0.4013,0.2906
50029-3,MCF7,10015-101-1,HG-5-113-01,3.33,uM,LJP5,72,hr,1389,1646,5905,0.2786,0.0840
50029-3,MCF7,10015-101-1,HG-5-113-01,10,uM,LJP5,72,hr,1389,990,5905,0.1674,-0.1512
50029-3,MCF7,10016-101-1,HG-5-88-01,0.04,uM,LJP6,72,hr,1389,3675,5445,0.6770,0.6408
50029-3,MCF7,10016-101-1,HG-5-88-01,0.12,uM,LJP6,72,hr,1389,3585,5445,0.6584,0.6171
50029-3,MCF7,10016-101-1,HG-5-88-01,0.37,uM,LJP6,72,hr,1389,3381,5445,0.6226,0.5710
50029-3,MCF7,10016-101-1,HG-5-88-01,1.11,uM,LJP6,72,hr,1389,2672,5445,0.4902,0.3914
50029-3,MCF7,10016-101-1,HG-5-88-01,3.33,uM,LJP6,72,hr,1389,1909,5445,0.3509,0.1747
50029-3,MCF7,10016-101-1,HG-5-88-01,10,uM,LJP6,72,hr,1389,1247,5445,0.2291,-0.0551
50029-3,MCF7,10017-101-1,HG-6-64-01,0.04,uM,LJP6,72,hr,1389,6450,5445,1.1889,1.1853
50029-3,MCF7,10017-101-1,HG-6-64-01,0.12,uM,LJP6,72,hr,1389,5981,5445,1.1007,1.1010
50029-3,MCF7,10017-101-1,HG-6-64-01,0.37,uM,LJP6,72,hr,1389,5714,5445,1.0532,1.0545
50029-3,MCF7,10017-101-1,HG-6-64-01,1.11,uM,LJP6,72,hr,1389,5483,5445,1.0109,1.0120
50029-3,MCF7,10017-101-1,HG-6-64-01,3.33,uM,LJP6,72,hr,1389,3449,5445,0.6335,0.5851
50029-3,MCF7,10017-101-1,HG-6-64-01,10,uM,LJP6,72,hr,1389,896,5445,0.1651,-0.1996
50029-3,MCF7,10018-101-1,Neratinib,0.04,uM,LJP5,72,hr,1389,3737,5905,0.6332,0.6068
50029-3,MCF7,10018-101-1,Neratinib,0.12,uM,LJP5,72,hr,1389,3990,5905,0.6742,0.6524
50029-3,MCF7,10018-101-1,Neratinib,0.37,uM,LJP5,72,hr,1389,3852,5905,0.6518,0.6287
50029-3,MCF7,10018-101-1,Neratinib,1.11,uM,LJP5,72,hr,1389,3862,5905,0.6527,0.6278
50029-3,MCF7,10018-101-1,Neratinib,3.33,uM,LJP5,72,hr,1389,3216,5905,0.5449,0.4953
50029-3,MCF7,10018-101-1,Neratinib,10,uM,LJP5,72,hr,1389,2041,5905,0.3462,0.2026
50029-3,MCF7,10019-101-1,JW-7-24-1,0.04,uM,LJP6,72,hr,1389,3786,5445,0.6951,0.6611
50029-3,MCF7,10019-101-1,JW-7-24-1,0.12,uM,LJP6,72,hr,1389,3595,5445,0.6587,0.6149
50029-3,MCF7,10019-101-1,JW-7-24-1,0.37,uM,LJP6,72,hr,1389,3060,5445,0.5620,0.4891
50029-3,MCF7,10019-101-1,JW-7-24-1,1.11,uM,LJP6,72,hr,1389,2439,5445,0.4480,0.3289
50029-3,MCF7,10019-101-1,JW-7-24-1,3.33,uM,LJP6,72,hr,1389,2028,5445,0.3715,0.2075
50029-3,MCF7,10019-101-1,JW-7-24-1,10,uM,LJP6,72,hr,1389,1059,5445,0.1942,-0.1308
50029-3,MCF7,10020-101-1,Dasatinib,0.04,uM,LJP5,72,hr,1389,3839,5905,0.6494,0.6252
50029-3,MCF7,10020-101-1,Dasatinib,0.04,uM,LJP6,72,hr,1389,1513,5445,0.2774,0.0419
50029-3,MCF7,10020-101-1,Dasatinib,0.12,uM,LJP5,72,hr,1389,1822,5905,0.3085,0.1385
50029-3,MCF7,10020-101-1,Dasatinib,0.12,uM,LJP6,72,hr,1389,1097,5445,0.2016,-0.1137
50029-3,MCF7,10020-101-1,Dasatinib,0.37,uM,LJP5,72,hr,1389,1080,5905,0.1832,-0.1136
50029-3,MCF7,10020-101-1,Dasatinib,0.37,uM,LJP6,72,hr,1389,1028,5445,0.1886,-0.1434
50029-3,MCF7,10020-101-1,Dasatinib,1.11,uM,LJP5,72,hr,1389,937,5905,0.1588,-0.1718
50029-3,MCF7,10020-101-1,Dasatinib,1.11,uM,LJP6,72,hr,1389,1026,5445,0.1885,-0.1433
50029-3,MCF7,10020-101-1,Dasatinib,3.33,uM,LJP5,72,hr,1389,1011,5905,0.1713,-0.1411
50029-3,MCF7,10020-101-1,Dasatinib,3.33,uM,LJP6,72,hr,1389,1046,5445,0.1919,-0.1358
50029-3,MCF7,10020-101-1,Dasatinib,10,uM,LJP5,72,hr,1389,1168,5905,0.1977,-0.0803
50029-3,MCF7,10020-101-1,Dasatinib,10,uM,LJP6,72,hr,1389,832,5445,0.1527,-0.2302
50029-3,MCF7,10021-101-1,Tozasertib,0.04,uM,LJP5,72,hr,1389,1560,5905,0.2644,0.0573
50029-3,MCF7,10021-101-1,Tozasertib,0.12,uM,LJP5,72,hr,1389,1514,5905,0.2565,0.0422
50029-3,MCF7,10021-101-1,Tozasertib,0.37,uM,LJP5,72,hr,1389,1457,5905,0.2472,0.0234
50029-3,MCF7,10021-101-1,Tozasertib,1.11,uM,LJP5,72,hr,1389,1626,5905,0.2752,0.0774
50029-3,MCF7,10021-101-1,Tozasertib,3.33,uM,LJP5,72,hr,1389,1530,5905,0.2591,0.0471
50029-3,MCF7,10021-101-1,Tozasertib,10,uM,LJP5,72,hr,1389,1536,5905,0.2600,0.0487
50029-3,MCF7,10023-103-1,Imatinib,0.04,uM,LJP6,72,hr,1389,5983,5445,1.1007,1.1009
50029-3,MCF7,10023-103-1,Imatinib,0.12,uM,LJP6,72,hr,1389,6237,5445,1.1474,1.1453
50029-3,MCF7,10023-103-1,Imatinib,0.37,uM,LJP6,72,hr,1389,5801,5445,1.0656,1.0653
50029-3,MCF7,10023-103-1,Imatinib,1.11,uM,LJP6,72,hr,1389,5907,5445,1.0867,1.0872
50029-3,MCF7,10023-103-1,Imatinib,3.33,uM,LJP6,72,hr,1389,5850,5445,1.0778,1.0789
50029-3,MCF7,10023-103-1,Imatinib,10,uM,LJP6,72,hr,1389,4976,5445,0.9157,0.9133
50029-3,MCF7,10024-101-1,NVP-TAE684,0.04,uM,LJP6,72,hr,1389,4311,5445,0.7910,0.7744
50029-3,MCF7,10024-101-1,NVP-TAE684,0.12,uM,LJP6,72,hr,1389,2262,5445,0.4158,0.2801
50029-3,MCF7,10024-101-1,NVP-TAE684,0.37,uM,LJP6,72,hr,1389,1715,5445,0.3148,0.1114
50029-3,MCF7,10024-101-1,NVP-TAE684,1.11,uM,LJP6,72,hr,1389,1198,5445,0.2205,-0.0725
50029-3,MCF7,10024-101-1,NVP-TAE684,3.33,uM,LJP6,72,hr,1389,1013,5445,0.1866,-0.1481
50029-3,MCF7,10024-101-1,NVP-TAE684,10,uM,LJP6,72,hr,1389,966,5445,0.1776,-0.1687
