Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,Replicate,Seeding Density,Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Relative Cell Count,Mean Normalized Growth Rate Inhibition Value
50238-3,Hs 578T,10146-101-3,Omipalisib,0.0016596,uM,1,156.25,76.08,199.67,200.08,0.9673,0.9080
50238-3,Hs 578T,10146-101-3,Omipalisib,0.0033113,uM,1,156.25,76.08,171.00,200.08,0.8844,0.8464
50238-3,Hs 578T,10146-101-3,Omipalisib,0.01,uM,1,156.25,76.08,148.00,200.08,0.7850,0.6669
50238-3,Hs 578T,10146-101-3,Omipalisib,0.031623,uM,1,156.25,76.08,120.00,200.08,0.5864,0.2615
50238-3,Hs 578T,10146-101-3,Omipalisib,0.1,uM,1,156.25,76.08,83.67,200.08,0.4063,-0.0609
50238-3,Hs 578T,10146-101-3,Omipalisib,0.31623,uM,1,156.25,76.08,61.67,200.08,0.3398,-0.1746
50238-3,Hs 578T,10146-101-3,Omipalisib,1,uM,1,156.25,76.08,49.00,200.08,0.2527,-0.3447
50238-3,Hs 578T,10146-101-3,Omipalisib,3.1623,uM,1,156.25,76.08,43.33,200.08,0.2282,-0.3972
50238-3,Hs 578T,10146-101-3,Omipalisib,10,uM,1,156.25,76.08,41.00,200.08,0.2008,-0.4409
50238-3,Hs 578T,10264-999-2,Methotrexate,0.0016596,uM,1,156.25,76.08,202.33,200.08,0.9903,0.9245
50238-3,Hs 578T,10264-999-2,Methotrexate,0.0033113,uM,1,156.25,76.08,190.00,200.08,0.9718,0.9834
50238-3,Hs 578T,10264-999-2,Methotrexate,0.01,uM,1,156.25,76.08,186.33,200.08,0.9560,0.9630
50238-3,Hs 578T,10264-999-2,Methotrexate,0.031623,uM,1,156.25,76.08,198.67,200.08,0.9669,0.9092
50238-3,Hs 578T,10264-999-2,Methotrexate,0.1,uM,1,156.25,76.08,164.33,200.08,0.7777,0.5515
50238-3,Hs 578T,10264-999-2,Methotrexate,0.31623,uM,1,156.25,76.08,110.33,200.08,0.5431,0.1855
50238-3,Hs 578T,10264-999-2,Methotrexate,1,uM,1,156.25,76.08,99.33,200.08,0.4921,0.0978
50238-3,Hs 578T,10264-999-2,Methotrexate,3.1623,uM,1,156.25,76.08,119.67,200.08,0.5482,0.1534
50238-3,Hs 578T,10264-999-2,Methotrexate,10,uM,1,156.25,76.08,105.33,200.08,0.5419,0.2061
50238-3,Hs 578T,10102-999-6,Taxol,0.00016596,uM,1,156.25,76.08,242.33,200.08,1.2159,1.3160
50238-3,Hs 578T,10102-999-6,Taxol,0.00033113,uM,1,156.25,76.08,180.00,200.08,0.9577,1.0030
50238-3,Hs 578T,10102-999-6,Taxol,0.001,uM,1,156.25,76.08,117.00,200.08,0.6401,0.4406
50238-3,Hs 578T,10102-999-6,Taxol,0.0031623,uM,1,156.25,76.08,97.33,200.08,0.4748,0.0640
50238-3,Hs 578T,10102-999-6,Taxol,0.01,uM,1,156.25,76.08,68.00,200.08,0.3426,-0.1673
50238-3,Hs 578T,10102-999-6,Taxol,0.031623,uM,1,156.25,76.08,65.67,200.08,0.3105,-0.2334
50238-3,Hs 578T,10102-999-6,Taxol,0.1,uM,1,156.25,76.08,57.00,200.08,0.2904,-0.2718
50238-3,Hs 578T,10102-999-6,Taxol,0.31623,uM,1,156.25,76.08,64.67,200.08,0.3023,-0.2560
50238-3,Hs 578T,10102-999-6,Taxol,1,uM,1,156.25,76.08,72.67,200.08,0.3842,-0.0904
50238-3,Hs 578T,10250-999-4,Etoposide,0.0033113,uM,1,156.25,76.08,264.67,202.42,1.3079,1.4219
50238-3,Hs 578T,10250-999-4,Etoposide,0.01,uM,1,156.25,76.08,239.33,202.42,1.1795,1.2429
50238-3,Hs 578T,10250-999-4,Etoposide,0.031623,uM,1,156.25,76.08,202.00,202.42,1.0086,1.0231
50238-3,Hs 578T,10250-999-4,Etoposide,0.1,uM,1,156.25,76.08,202.67,202.42,0.9995,0.9719
50238-3,Hs 578T,10250-999-4,Etoposide,0.31623,uM,1,156.25,76.08,156.00,202.42,0.7683,0.6529
50238-3,Hs 578T,10250-999-4,Etoposide,1,uM,1,156.25,76.08,75.33,202.42,0.3736,-0.0075
50238-3,Hs 578T,10250-999-4,Etoposide,3.1623,uM,1,156.25,76.08,72.33,202.42,0.3595,-0.0354
50238-3,Hs 578T,10250-999-4,Etoposide,10,uM,1,156.25,76.08,52.67,202.42,0.2601,-0.2331
50238-3,Hs 578T,10250-999-4,Etoposide,19.9526,uM,1,156.25,76.08,56.33,202.42,0.2782,-0.1957
50238-3,Hs 578T,10099-101-1,Nilotinib,0.0033113,uM,1,156.25,76.08,267.00,202.42,1.3202,1.4236
50238-3,Hs 578T,10099-101-1,Nilotinib,0.01,uM,1,156.25,76.08,212.67,202.42,1.0536,1.0786
50238-3,Hs 578T,10099-101-1,Nilotinib,0.031623,uM,1,156.25,76.08,243.67,202.42,1.1987,1.2663
50238-3,Hs 578T,10099-101-1,Nilotinib,0.1,uM,1,156.25,76.08,136.00,202.42,0.6746,0.5119
50238-3,Hs 578T,10099-101-1,Nilotinib,0.31623,uM,1,156.25,76.08,233.33,202.42,1.1627,1.2377
50238-3,Hs 578T,10099-101-1,Nilotinib,1,uM,1,156.25,76.08,239.33,202.42,1.1830,1.2554
50238-3,Hs 578T,10099-101-1,Nilotinib,3.1623,uM,1,156.25,76.08,218.67,202.42,1.0849,1.1249
50238-3,Hs 578T,10099-101-1,Nilotinib,10,uM,1,156.25,76.08,704.00,202.42,3.5055,3.9501
50238-3,Hs 578T,10099-101-1,Nilotinib,19.9526,uM,1,156.25,76.08,2567.00,202.42,12.8374,11.7293
50238-3,Hs 578T,10049-101-1,PLX-4720,0.0033113,uM,1,156.25,76.08,154.00,202.42,0.7535,0.6214
50238-3,Hs 578T,10049-101-1,PLX-4720,0.01,uM,1,156.25,76.08,198.67,202.42,0.9839,0.9762
50238-3,Hs 578T,10049-101-1,PLX-4720,0.031623,uM,1,156.25,76.08,226.67,202.42,1.1395,1.2111
50238-3,Hs 578T,10049-101-1,PLX-4720,0.1,uM,1,156.25,76.08,207.33,202.42,1.0406,1.0624
50238-3,Hs 578T,10049-101-1,PLX-4720,0.31623,uM,1,156.25,76.08,211.67,202.42,1.0499,1.0759
50238-3,Hs 578T,10049-101-1,PLX-4720,1,uM,1,156.25,76.08,242.33,202.42,1.1945,1.2637
50238-3,Hs 578T,10049-101-1,PLX-4720,3.1623,uM,1,156.25,76.08,213.00,202.42,1.0497,1.0659
50238-3,Hs 578T,10049-101-1,PLX-4720,10,uM,1,156.25,76.08,191.67,202.42,0.9391,0.8950
50238-3,Hs 578T,10049-101-1,PLX-4720,19.9526,uM,1,156.25,76.08,122.33,202.42,0.6062,0.3963
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.0016596,uM,1,156.25,76.08,239.33,202.42,1.1713,1.2117
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.0033113,uM,1,156.25,76.08,297.67,202.42,1.4759,1.6455
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.01,uM,1,156.25,76.08,228.00,202.42,1.1243,1.1628
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.031623,uM,1,156.25,76.08,222.33,202.42,1.0893,1.1072
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.1,uM,1,156.25,76.08,220.33,202.42,1.0868,1.1123
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.31623,uM,1,156.25,76.08,194.00,202.42,0.9672,0.9609
50238-3,Hs 578T,10024-101-1,NVP-TAE684,1,uM,1,156.25,76.08,110.00,202.42,0.5413,0.2890
50238-3,Hs 578T,10024-101-1,NVP-TAE684,3.1623,uM,1,156.25,76.08,48.00,202.42,0.2401,-0.2836
50238-3,Hs 578T,10024-101-1,NVP-TAE684,10,uM,1,156.25,76.08,35.33,202.42,0.1729,-0.4292
50238-3,Hs 578T,10071-101-1,Palbociclib,0.0033113,uM,1,156.25,76.08,182.33,200.08,0.9697,1.0944
50238-3,Hs 578T,10071-101-1,Palbociclib,0.01,uM,1,156.25,76.08,198.00,200.08,0.9315,0.7917
50238-3,Hs 578T,10071-101-1,Palbociclib,0.031623,uM,1,156.25,76.08,176.67,200.08,0.8336,0.6475
50238-3,Hs 578T,10071-101-1,Palbociclib,0.1,uM,1,156.25,76.08,171.00,200.08,0.8047,0.5885
50238-3,Hs 578T,10071-101-1,Palbociclib,0.31623,uM,1,156.25,76.08,130.67,200.08,0.5848,0.1957
50238-3,Hs 578T,10071-101-1,Palbociclib,1,uM,1,156.25,76.08,94.67,200.08,0.4673,0.0531
50238-3,Hs 578T,10071-101-1,Palbociclib,3.1623,uM,1,156.25,76.08,93.33,200.08,0.4446,0.0088
50238-3,Hs 578T,10071-101-1,Palbociclib,10,uM,1,156.25,76.08,80.67,200.08,0.3969,-0.0732
50238-3,Hs 578T,10071-101-1,Palbociclib,19.9526,uM,1,156.25,76.08,152.00,200.08,0.9284,1.1765
50238-3,Hs 578T,10146-101-3,Omipalisib,0.0016596,uM,1,312.50,222.17,512.33,550.00,0.9375,0.9105
50238-3,Hs 578T,10146-101-3,Omipalisib,0.0033113,uM,1,312.50,222.17,462.33,550.00,0.8358,0.7244
50238-3,Hs 578T,10146-101-3,Omipalisib,0.01,uM,1,312.50,222.17,416.00,550.00,0.7619,0.6176
50238-3,Hs 578T,10146-101-3,Omipalisib,0.031623,uM,1,312.50,222.17,288.00,550.00,0.5178,0.1885
50238-3,Hs 578T,10146-101-3,Omipalisib,0.1,uM,1,312.50,222.17,176.33,550.00,0.3208,-0.1748
50238-3,Hs 578T,10146-101-3,Omipalisib,0.31623,uM,1,312.50,222.17,169.00,550.00,0.3056,-0.2054
50238-3,Hs 578T,10146-101-3,Omipalisib,1,uM,1,312.50,222.17,148.33,550.00,0.2715,-0.2761
50238-3,Hs 578T,10146-101-3,Omipalisib,3.1623,uM,1,312.50,222.17,133.00,550.00,0.2426,-0.3348
50238-3,Hs 578T,10146-101-3,Omipalisib,10,uM,1,312.50,222.17,93.00,550.00,0.1685,-0.4967
50238-3,Hs 578T,10264-999-2,Methotrexate,0.0016596,uM,1,312.50,222.17,644.33,550.00,1.1635,1.2389
50238-3,Hs 578T,10264-999-2,Methotrexate,0.0033113,uM,1,312.50,222.17,636.67,550.00,1.1545,1.2343
50238-3,Hs 578T,10264-999-2,Methotrexate,0.01,uM,1,312.50,222.17,541.33,550.00,0.9683,0.9211
50238-3,Hs 578T,10264-999-2,Methotrexate,0.031623,uM,1,312.50,222.17,544.33,550.00,0.9903,0.9825
50238-3,Hs 578T,10264-999-2,Methotrexate,0.1,uM,1,312.50,222.17,362.67,550.00,0.6707,0.4709
50238-3,Hs 578T,10264-999-2,Methotrexate,0.31623,uM,1,312.50,222.17,341.00,550.00,0.6187,0.3711
50238-3,Hs 578T,10264-999-2,Methotrexate,1,uM,1,312.50,222.17,278.67,550.00,0.5099,0.1846
50238-3,Hs 578T,10264-999-2,Methotrexate,3.1623,uM,1,312.50,222.17,271.00,550.00,0.4817,0.1160
50238-3,Hs 578T,10264-999-2,Methotrexate,10,uM,1,312.50,222.17,306.33,550.00,0.5533,0.2552
50238-3,Hs 578T,10102-999-6,Taxol,0.00016596,uM,1,312.50,222.17,523.00,550.00,0.9672,0.9741
