Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol 1 Concentration,Small Mol 1 Conc Unit,Small Molecule 2 HMS LINCS ID,Small Molecule 2 Name,Small Mol 2 Concentration,Small Mol 2 Conc Unit,Biological Replicate,Technical Replicate,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Normalized Growth Rate Inhibition Value
50105-3,BT-20,,,0,uM,,,0,uM,1,1,2751,2192,4757,-0.2499
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,1,2751,1009,4757,-0.7190
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10018-101-1,Neratinib,0.1235,uM,1,1,2751,3207,4757,0.2141
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,1,2751,1937,4757,-0.3585
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,1,2751,1669,4757,-0.4687
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10051-104-1,Lapatinib,3.3333,uM,1,1,2751,1523,4757,-0.5268
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10051-104-1,Lapatinib,5.7735,uM,1,1,2751,1403,4757,-0.5735
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10056-101-1,Selumetinib,0.1235,uM,1,1,2751,2648,4757,-0.0472
50105-3,BT-20,,,0,uM,,,0,uM,1,1,2751,3779,4757,0.4944
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,,,0,uM,1,1,2751,2525,4757,-0.1029
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10056-101-1,Selumetinib,0.1235,uM,1,1,2751,1067,4757,-0.6984
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,1,2751,571,4757,-0.8633
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,1,2751,1237,4757,-0.6363
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10056-101-1,Selumetinib,10,uM,1,1,2751,1442,4757,-0.5584
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10142-101-1,Trametinib,0.1235,uM,1,1,2751,1771,4757,-0.4273
50105-3,BT-20,,,0,uM,,,0,uM,1,1,2751,4027,4757,0.6195
