Cell HMS LINCS ID,Cell Name,Clinical Subtype,Transcriptional Subtype,Small Molecule HMS LINCS ID,Small Molecule Name,Antibody HMS LINCS ID,Antibody Name,Perturbagen Target,Perturbagen Class,Biological Replicate ID,Conc Unit,GR50,GEC50,GRmax,GRinf,GR Hill Coefficient,GR_AOC,GR r2,Nominal Division Rate
51088-1,184A1,NM,Basal,10275-101-1,(Z)-4-Hydroxytamoxifen,,,ESR1,,9047.132,uM,inf,inf,0.4055,0.4055,0.0000,0.2074,0.3073,0.6985
51088-1,184A1,NM,Basal,10236-101-1,17-AAG,,,HSP90,HSP90,9047.037,uM,0.00930,0.01282,-0.9826,-0.6989,2.7212,1.1760,0.9539,0.5262
51088-1,184A1,NM,Basal,10237-101-1,5-DFUR,,,TYMS,TYMS,12509.143,uM,228.63720,1000.00000,-0.2404,-0.6424,0.5600,0.2642,0.9697,1.3392
51088-1,184A1,NM,Basal,10238-101-1,5-FU,,,TYMS,TYMS,9047.017,uM,48.1950,95.9710,-0.8459,-0.8556,1.4480,0.8094,0.9747,0.8440
51088-1,184A1,NM,Basal,10133-101-2,Afatinib,,,EGFR/HER2,ErbB,12509.165,uM,0.02251,0.33740,-0.9088,-1.0000,0.4058,0.8284,0.9307,1.5022
51088-1,184A1,NM,Basal,10239-101-1,AG1024,,,IGF1R,RTK,5894.066,uM,0.20895,0.19857,0.0442,0.1124,5.0000,0.3444,0.9895,1.5027
51088-1,184A1,NM,Basal,10239-101-1,AG1024,,,IGF1R,RTK,5895.066,uM,0.19048,0.25224,-0.2007,-0.1853,1.1224,0.4351,0.9959,1.1612
51088-1,184A1,NM,Basal,10240-101-1,AS-252424,,,PI3K,PI3K,12509.165,uM,4.22040,9.57840,-0.0901,-0.4857,0.8281,0.1987,0.9843,1.5022
51088-1,184A1,NM,Basal,10343-101-1,Baicalein,,,Lipoxygenase,Metabolism,5895.073,uM,inf,35.38250,0.5990,0.5817,2.0246,0.0235,0.9408,1.4431
51088-1,184A1,NM,Basal,10241-101-1,Bortezomib,,,Proteasome,Proteasome,5895.074,uM,0.02162,0.11251,-0.8342,-0.8244,0.5906,1.0107,0.9534,1.1218
51088-1,184A1,NM,Basal,10241-101-1,Bortezomib,,,Proteasome,Proteasome,5895.074,uM,0.02162,0.11251,-0.8342,-0.8244,0.5906,1.0107,0.9534,1.1218
51088-1,184A1,NM,Basal,10241-101-1,Bortezomib,,,Proteasome,Proteasome,5894.074,uM,0.03715,0.13270,-0.6899,-0.6765,0.6722,0.9059,0.9559,1.4541
51088-1,184A1,NM,Basal,10241-101-1,Bortezomib,,,Proteasome,Proteasome,5894.074,uM,0.03715,0.13270,-0.6899,-0.6765,0.6722,0.9059,0.9559,1.4541
51088-1,184A1,NM,Basal,10189-101-2,Bosutinib,,,Src,nRTK,12509.17,uM,0.45547,0.47009,-0.0739,-0.0269,1.6575,0.3664,0.9494,1.3955
51088-1,184A1,NM,Basal,10242-101-1,Carboplatin,,,DNA cross-linker,DNA cross-linker,9047.011,uM,9.5630,14.41690,-0.9873,-0.8900,2.4907,0.7356,0.9439,0.6293
51088-1,184A1,NM,Basal,10242-101-1,Carboplatin,,,DNA cross-linker,DNA cross-linker,10002.021,uM,13.72870,19.0030,-0.8276,-0.7818,2.8956,0.6151,0.9925,0.7195
51088-1,184A1,NM,Basal,,,80078-1,Cetuximab,EGFR,ErbB,7787.018,uM,inf,inf,0.4652,0.4652,0.0000,0.3838,-0.0013,0.3791
51088-1,184A1,NM,Basal,,,80078-1,Cetuximab,EGFR,ErbB,9047.026,uM,0.00360,0.01403,-0.2605,-0.4617,0.4805,0.4918,0.8777,0.5972
51088-1,184A1,NM,Basal,10243-999-1,CGC-11047,,,Polyamine analogue,,10002.034,uM,242.78660,399.08510,-0.9907,-1.0000,2.2105,0.6269,0.7996,0.6736
51088-1,184A1,NM,Basal,10243-999-1,CGC-11047,,,Polyamine analogue,,9047.026,uM,5.67110,70.62780,-0.9997,-1.0000,0.4356,0.7516,0.8174,0.5972
51088-1,184A1,NM,Basal,10243-999-1,CGC-11047,,,Polyamine analogue,,7787.018,uM,839.83530,1000.00000,-0.8398,-0.6967,5.0000,0.2577,0.8874,0.3791
51088-1,184A1,NM,Basal,10245-101-1,Cisplatin,,,DNA cross-linker,DNA cross-linker,9047.017,uM,2.85670,3.92150,-0.9940,-0.8307,3.0896,0.5793,0.9882,0.8440
51088-1,184A1,NM,Basal,10245-101-1,Cisplatin,,,DNA cross-linker,DNA cross-linker,10002.021,uM,2.61470,4.77760,-0.9719,-0.9559,1.7730,0.6305,0.9959,0.7195
51088-1,184A1,NM,Basal,10246-101-1,CPT-11,,,TOP1,TOP,9047.121,uM,3.33380,6.76440,-0.6694,-0.7837,1.3326,0.4789,0.9103,0.7949
51088-1,184A1,NM,Basal,10246-101-1,CPT-11,,,TOP1,TOP,10002.034,uM,3.43020,4.22870,-0.9255,-0.9233,4.9992,0.4247,0.9962,0.6736
51088-1,184A1,NM,Basal,10232-101-2,Dactolisib,,,PI3K,PI3K,12509.155,uM,0.06399,0.05482,0.0859,0.0731,1.0226,0.4688,0.9812,1.3444
51088-1,184A1,NM,Basal,10506-110-1,Dichloroacetate,,,PDK,PDK,12684.176,uM,inf,inf,0.9148,0.9148,0.0000,0.0449,0.1851,1.3650
51088-1,184A1,NM,Basal,10507-999-1,Disulfiram,,,Proteasome,Proteasome,12684.174,uM,14.63270,13.50790,0.1987,0.0386,1.0041,0.1179,0.9898,1.4645
51088-1,184A1,NM,Basal,10247-101-1,Docetaxel,,,TUBB,TUBB,9047.002,uM,0.00721,0.00164,0.3271,0.2689,0.5211,0.4844,0.7111,0.5243
51088-1,184A1,NM,Basal,10247-101-1,Docetaxel,,,TUBB,TUBB,10002.002,uM,inf,0.00813,0.5141,0.5151,1.4431,0.2780,0.7979,0.9502
51088-1,184A1,NM,Basal,10247-101-1,Docetaxel,,,TUBB,TUBB,12684.002,uM,inf,0.00450,0.5376,0.5289,1.1663,0.2796,0.9570,1.5245
51088-1,184A1,NM,Basal,10248-101-1,Doxorubicin,,,TOP2,TOP,9047.121,uM,0.13985,0.26689,-0.9987,-0.9310,1.6271,0.9214,0.9807,0.7949
51088-1,184A1,NM,Basal,10248-101-1,Doxorubicin,,,TOP2,TOP,10002.034,uM,0.10668,0.20741,-1.0000,-0.9682,1.6201,0.9516,0.9936,0.6736
51088-1,184A1,NM,Basal,10249-999-1,Epirubicin,,,TOP2,TOP,9047.017,uM,0.20465,0.50611,-0.9999,-0.9734,1.1936,0.8841,0.9887,0.8440
51088-1,184A1,NM,Basal,10097-102-3,Erlotinib,,,EGFR,ErbB,5895.091,uM,0.20794,0.22424,-0.1773,-0.1482,3.4384,0.4858,0.9969,1.1729
51088-1,184A1,NM,Basal,10250-101-1,Etoposide,,,TOP2,TOP,5894.074,uM,9.28560,35.69030,-0.7680,-1.0000,0.8160,0.4044,0.9826,1.4541
51088-1,184A1,NM,Basal,10250-101-1,Etoposide,,,TOP2,TOP,5895.074,uM,10.48650,42.19930,-0.7395,-1.0000,0.7891,0.3710,0.9859,1.1218
51088-1,184A1,NM,Basal,10235-101-2,Everolimus,,,MTOR,MTOR,12509.164,uM,0.02317,2.80470,-0.9610,-1.0000,0.2291,0.6861,0.6516,1.1949
51088-1,184A1,NM,Basal,10251-112-1,Fascaplysin,,,CDK4,CDK,5895.085,uM,0.34845,0.59708,-0.9460,-0.9541,1.9822,0.6207,0.9980,1.4396
51088-1,184A1,NM,Basal,10251-112-1,Fascaplysin,,,CDK4,CDK,5894.084,uM,0.44564,0.69098,-0.9438,-0.9392,2.4104,0.5734,0.9993,1.5903
51088-1,184A1,NM,Basal,10110-101-3,FR180204,,,ERK1/2,MAPK,12509.166,uM,30.45440,25.56580,0.2919,0.2912,4.9895,0.0565,0.9495,1.2847
51088-1,184A1,NM,Basal,10508-101-1,FTase Inhibitor I,,,Ftase,MAPK,12509.167,uM,inf,inf,0.9988,0.9988,0.0000,-0.0033,-0.0009,1.4256
