Cell HMS LINCS ID,Cell Name,Small Molecule 1 HMS LINCS ID,Small Molecule 1 Name,Small Molecule 2 HMS LINCS ID,Small Molecule 2 Name,Small Mol 1 Concentration,Small Mol 2 Concentration,Small Mol Conc Unit,Time Point,Time Point Unit,Replicate,Primary Antibody (488) HMS LINCS ID,Primary Antibody (488) Name,Secondary Antibody (488) HMS LINCS ID,Secondary Antibody (488) Name,Protein Detected (488) HMS LINCS ID,Protein Detected (488) Name,Mean Fluorescence Intensity (488),Primary Antibody (568) HMS LINCS ID,Primary Antibody (568) Name,Secondary Antibody (568) HMS LINCS ID,Secondary Antibody (568) Name,Protein Detected (568) HMS LINCS ID,Protein Detected (568) Name,Mean Fluorescence Intensity (568),Primary Antibody (647) HMS LINCS ID,Primary Antibody (647) Name,Secondary Antibody (647) HMS LINCS ID,Secondary Antibody (647) Name,Protein 1 Detected (647) HMS LINCS ID,Protein 1 Detected (647) Name,Protein 2 Detected (647) HMS LINCS ID,Protein 2 Detected (647) Name,Protein 3 Detected (647) HMS LINCS ID,Protein 3 Detected (647) Name,Protein 4 Detected (647) HMS LINCS ID,Protein 4 Detected (647) Name,Mean Fluorescence Intensity (647),Plate Name,Plate Well
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.000,3.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,3758.41,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),526.54,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),3486.92,A375-P2,B10
50060-2,A-375,10068-101-1,Vemurafenib,10071-102-7,Palbociclib,0.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,2022.10,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),291.05,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),2517.16,A375-P2,B11
50060-2,A-375,10068-101-1,Vemurafenib,,,0.000,,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,5646.83,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),718.49,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),2912.02,A375-P2,B2
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,0.000,0.200,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,780.46,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),230.50,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),174.96,A375-P2,B3
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,4556.81,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),662.59,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),2988.72,A375-P2,B4
50060-2,A-375,10068-101-1,Vemurafenib,10199-101-2,PF 573228,0.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,5464.92,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),700.61,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),3335.96,A375-P2,B5
50060-2,A-375,10068-101-1,Vemurafenib,10072-101-2,PF562271,0.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,4647.25,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),677.06,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),3406.35,A375-P2,B6
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,3981.72,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),633.73,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),3115.47,A375-P2,B7
50060-2,A-375,10068-101-1,Vemurafenib,10047-101-4,Pictilisib,0.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,4770.04,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),700.07,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),2837.93,A375-P2,B8
50060-2,A-375,10068-101-1,Vemurafenib,10007-101-4,AZD8055,0.000,0.200,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,3833.48,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),516.41,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),1616.94,A375-P2,B9
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.316,3.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,815.91,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),214.75,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),387.38,A375-P2,C10
