Cell HMS LINCS ID,Cell Name,Small Molecule 1 HMS LINCS ID,Small Molecule 1 Name,Small Molecule 2 HMS LINCS ID,Small Molecule 2 Name,Small Mol 1 Concentration,Small Mol 2 Concentration,Small Mol Conc Unit,Time Point,Time Point Unit,Replicate,Number of Cells,Primary Antibody (488) HMS LINCS ID,Primary Antibody (488) Name,Secondary Antibody (488) HMS LINCS ID,Secondary Antibody (488) Name,Protein Detected (488) HMS LINCS ID,Protein Detected (488) Name,Mean Fluorescence Intensity (488),Primary Antibody (647) HMS LINCS ID,Primary Antibody (647) Name,Secondary Antibody (647) HMS LINCS ID,Secondary Antibody (647) Name,Protein Detected (647) HMS LINCS ID,Protein Detected (647) Name,Mean Fluorescence Intensity (647),Plate Name,Plate Well
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1834,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,165.77,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,166.59,A375-A2-rep1,A10
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1506,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,150.95,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,162.28,A375-A2-rep1,A11
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,2214,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,229.79,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,205.29,A375-A2-rep1,A2
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,2008,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,185.44,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,205.73,A375-A2-rep1,A3
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,2171,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,208.08,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,204.03,A375-A2-rep1,A4
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,2252,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,227.51,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,199.22,A375-A2-rep1,A5
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,2263,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,182.94,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,198.78,A375-A2-rep1,A6
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1815,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,186.41,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,186.71,A375-A2-rep1,A7
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1857,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,185.14,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,189.83,A375-A2-rep1,A8
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1672,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,150.21,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,175.60,A375-A2-rep1,A9
50060-2,A-375,10068-101-1,Vemurafenib,10144-101-2,Olaparib,1.0000,2.6667,uM,48,hr,1,1874,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,164.99,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,198.38,A375-A2-rep1,B2
50060-2,A-375,10068-101-1,Vemurafenib,10303-101-1,Iniparib,1.0000,2.6667,uM,48,hr,1,2408,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,180.32,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,193.86,A375-A2-rep1,B3
50060-2,A-375,10068-101-1,Vemurafenib,10309-101-1,CTB,1.0000,2.6667,uM,48,hr,1,2224,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,159.14,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,160.82,A375-A2-rep1,B4
50060-2,A-375,10068-101-1,Vemurafenib,10315-101-1,Rocilinostat,1.0000,2.6667,uM,48,hr,1,2722,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,279.18,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,95.39,A375-A2-rep1,B5
50060-2,A-375,10068-101-1,Vemurafenib,10321-110-1,GSK-J1,1.0000,2.6667,uM,48,hr,1,2495,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,184.65,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,225.50,A375-A2-rep1,B6
50060-2,A-375,10068-101-1,Vemurafenib,10327-101-1,PFI-1,1.0000,2.6667,uM,48,hr,1,2255,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,142.05,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,162.18,A375-A2-rep1,B7
50060-2,A-375,10068-101-1,Vemurafenib,10333-101-1,UNC669,1.0000,2.6667,uM,48,hr,1,2298,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,153.06,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,186.36,A375-A2-rep1,B8
50060-2,A-375,10068-101-1,Vemurafenib,10145-102-1,Veliparib,1.0000,2.6667,uM,48,hr,1,2081,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,171.06,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,200.69,A375-A2-rep1,C2
50060-2,A-375,10068-101-1,Vemurafenib,10304-105-1,Rucaparib,1.0000,2.6667,uM,48,hr,1,2038,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,140.07,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,172.41,A375-A2-rep1,C3
50060-2,A-375,10068-101-1,Vemurafenib,10310-101-1,Belinostat,1.0000,2.6667,uM,48,hr,1,279,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,395.49,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,21.95,A375-A2-rep1,C4
50060-2,A-375,10068-101-1,Vemurafenib,10316-101-1,Selisistat,1.0000,2.6667,uM,48,hr,1,2960,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,191.58,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,184.54,A375-A2-rep1,C5
50060-2,A-375,10068-101-1,Vemurafenib,10322-110-1,GSK-J2,1.0000,2.6667,uM,48,hr,1,2997,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,181.28,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,199.06,A375-A2-rep1,C6
50060-2,A-375,10068-101-1,Vemurafenib,10328-101-1,(+)-JQ1,1.0000,2.6667,uM,48,hr,1,1957,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,124.74,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,79.92,A375-A2-rep1,C7
50060-2,A-375,10068-101-1,Vemurafenib,10334-101-1,UNC1215,1.0000,2.6667,uM,48,hr,1,2539,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,153.45,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,217.23,A375-A2-rep1,C8
50060-2,A-375,10068-101-1,Vemurafenib,10282-101-2,Vorinostat,1.0000,2.6667,uM,48,hr,1,1890,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,229.09,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,60.09,A375-A2-rep1,D2
50060-2,A-375,10068-101-1,Vemurafenib,10305-101-1,JW55,1.0000,2.6667,uM,48,hr,1,2571,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,135.73,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,138.78,A375-A2-rep1,D3
50060-2,A-375,10068-101-1,Vemurafenib,10311-101-1,Entinostat,1.0000,2.6667,uM,48,hr,1,2292,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,451.09,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,264.91,A375-A2-rep1,D4
50060-2,A-375,10068-101-1,Vemurafenib,10317-101-1,AGK2,1.0000,2.6667,uM,48,hr,1,678,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,394.51,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,132.96,A375-A2-rep1,D5
50060-2,A-375,10068-101-1,Vemurafenib,10323-102-1,GSK-J4,1.0000,2.6667,uM,48,hr,1,1533,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,141.60,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,96.94,A375-A2-rep1,D6
50060-2,A-375,10068-101-1,Vemurafenib,10329-101-1,(-)-JQ1,1.0000,2.6667,uM,48,hr,1,3035,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,159.74,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,239.66,A375-A2-rep1,D7
50060-2,A-375,10068-101-1,Vemurafenib,10335-101-1,IOX2,1.0000,2.6667,uM,48,hr,1,2950,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,154.83,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,183.99,A375-A2-rep1,D8
50060-2,A-375,10068-101-1,Vemurafenib,10300-101-1,Azacitidine,1.0000,2.6667,uM,48,hr,1,1210,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,261.75,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,53.65,A375-A2-rep1,E2
50060-2,A-375,10068-101-1,Vemurafenib,10306-101-1,C646,1.0000,2.6667,uM,48,hr,1,2172,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,156.52,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,184.53,A375-A2-rep1,E3
50060-2,A-375,10068-101-1,Vemurafenib,10312-101-1,Mocetinostat,1.0000,2.6667,uM,48,hr,1,304,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,299.57,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,87.98,A375-A2-rep1,E4
50060-2,A-375,10068-101-1,Vemurafenib,10318-101-1,Resveratrol,1.0000,2.6667,uM,48,hr,1,2505,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,181.88,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,186.11,A375-A2-rep1,E5
50060-2,A-375,10068-101-1,Vemurafenib,10324-101-1,Daminozide,1.0000,2.6667,uM,48,hr,1,2676,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,168.16,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,205.28,A375-A2-rep1,E6
50060-2,A-375,10068-101-1,Vemurafenib,10330-101-1,I-BET,1.0000,2.6667,uM,48,hr,1,2375,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,130.55,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,81.67,A375-A2-rep1,E7
50060-2,A-375,10068-101-1,Vemurafenib,10336-101-1,Epigallocatechin gallate,1.0000,2.6667,uM,48,hr,1,2367,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,176.81,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,170.27,A375-A2-rep1,E8
50060-2,A-375,10068-101-1,Vemurafenib,10301-101-1,Decitabine,1.0000,2.6667,uM,48,hr,1,1969,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,193.22,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,150.60,A375-A2-rep1,F2
50060-2,A-375,10068-101-1,Vemurafenib,10307-101-1,Garcinol,1.0000,2.6667,uM,48,hr,1,1325,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,146.88,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,175.82,A375-A2-rep1,F3
50060-2,A-375,10068-101-1,Vemurafenib,10313-101-1,Pracinostat,1.0000,2.6667,uM,48,hr,1,137,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,388.80,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,39.73,A375-A2-rep1,F4
50060-2,A-375,10068-101-1,Vemurafenib,10319-101-1,BIX-01294,1.0000,2.6667,uM,48,hr,1,825,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,295.68,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,33.17,A375-A2-rep1,F5
50060-2,A-375,10068-101-1,Vemurafenib,10325-101-1,Methylstat,1.0000,2.6667,uM,48,hr,1,1079,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,150.72,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,55.48,A375-A2-rep1,F6
50060-2,A-375,10068-101-1,Vemurafenib,10331-101-1,I-BET151,1.0000,2.6667,uM,48,hr,1,1612,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,124.73,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,68.89,A375-A2-rep1,F7
50060-2,A-375,10068-101-1,Vemurafenib,10339-101-1,CX-5461,1.0000,2.6667,uM,48,hr,1,1229,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,146.16,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,147.71,A375-A2-rep1,F8
50060-2,A-375,10068-101-1,Vemurafenib,10302-101-1,RG-108,1.0000,2.6667,uM,48,hr,1,1476,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,171.86,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,162.39,A375-A2-rep1,G2
