Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Normalized Growth Rate Inhibition Value,Biological Replicate
50583-4,MCF 10A,10233-101-4,Alpelisib,0.0033333,491,7434,7872,0.9711,2
50583-4,MCF 10A,10233-101-4,Alpelisib,0.01,491,7886,7872,1.0004,2
50583-4,MCF 10A,10233-101-4,Alpelisib,0.031667,491,7452,7872,0.9725,2
50583-4,MCF 10A,10233-101-4,Alpelisib,0.1,491,6972,7872,0.9399,2
50583-4,MCF 10A,10233-101-4,Alpelisib,0.31623,491,6293,7872,0.8914,2
50583-4,MCF 10A,10233-101-4,Alpelisib,0.56234,491,5493,7872,0.8259,2
50583-4,MCF 10A,10233-101-4,Alpelisib,1,491,5093,7872,0.7924,2
50583-4,MCF 10A,10233-101-4,Alpelisib,1.7783,491,3887,7872,0.6767,2
50583-4,MCF 10A,10233-101-4,Alpelisib,3.1623,491,3620,7872,0.6459,2
50583-4,MCF 10A,10233-101-4,Alpelisib,5.6234,491,2244,7872,0.4586,2
50583-4,MCF 10A,10233-101-4,Alpelisib,10,491,1472,7872,0.3135,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0010833,491,7299,7872,0.9612,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0033333,491,7010,7872,0.9425,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.01,491,6425,7872,0.9012,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.018333,491,5701,7872,0.8450,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.031667,491,6101,7872,0.8763,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.056667,491,4521,7872,0.7406,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.1,491,2357,7872,0.4797,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.17783,491,852,7872,0.1466,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.31623,491,569,7872,0.0367,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.56234,491,431,7872,-0.0322,2
50583-4,MCF 10A,10020-101-5,Dasatinib,1,491,469,7872,-0.0115,2
50583-4,MCF 10A,10020-101-5,Dasatinib,1.7783,491,293,7872,-0.1215,2
50583-4,MCF 10A,10020-101-5,Dasatinib,3.1623,491,237,7872,-0.1686,2
50583-4,MCF 10A,10020-101-5,Dasatinib,10,491,219,7872,-0.1824,2
50583-4,MCF 10A,10250-101-3,Etoposide,0.0010833,491,7891,7872,1.0008,2
50583-4,MCF 10A,10250-101-3,Etoposide,0.0033333,491,7678,7872,0.9877,2
50583-4,MCF 10A,10250-101-3,Etoposide,0.01,491,7313,7872,0.9627,2
50583-4,MCF 10A,10250-101-3,Etoposide,0.018333,491,7308,7872,0.9627,2
50583-4,MCF 10A,10250-101-3,Etoposide,0.031667,491,6319,7872,0.8925,2
50583-4,MCF 10A,10250-101-3,Etoposide,0.056667,491,5326,7872,0.8138,2
50583-4,MCF 10A,10250-101-3,Etoposide,0.1,491,4535,7872,0.7426,2
50583-4,MCF 10A,10250-101-3,Etoposide,0.17783,491,3404,7872,0.6214,2
50583-4,MCF 10A,10250-101-3,Etoposide,0.31623,491,2246,7872,0.4610,2
50583-4,MCF 10A,10250-101-3,Etoposide,0.56234,491,1243,7872,0.2581,2
50583-4,MCF 10A,10250-101-3,Etoposide,1,491,699,7872,0.0922,2
50583-4,MCF 10A,10250-101-3,Etoposide,1.7783,491,594,7872,0.0478,2
50583-4,MCF 10A,10250-101-3,Etoposide,3.1623,491,592,7872,0.0476,2
50583-4,MCF 10A,10250-101-3,Etoposide,10,491,525,7872,0.0102,2
50583-4,MCF 10A,10018-101-5,Neratinib,0.00043333,491,7978,7872,1.0068,2
50583-4,MCF 10A,10018-101-5,Neratinib,0.0013333,491,8001,7872,1.0082,2
