Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Time Point (hr),Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Relative Cell Count,Mean Normalized Growth Rate Inhibition Value
51124-1,MCF 10A-H2B-mCherry,,,0,2.90,770.96,881,886,0.9946,1.0689
51124-1,MCF 10A-H2B-mCherry,,,0,5.10,770.96,985,984,1.0008,1.0426
51124-1,MCF 10A-H2B-mCherry,,,0,7.30,770.96,1070,1067,1.0026,1.0274
51124-1,MCF 10A-H2B-mCherry,,,0,9.60,770.96,1173,1178,0.9964,0.9968
51124-1,MCF 10A-H2B-mCherry,,,0,11.90,770.96,1316,1319,0.9981,0.9988
51124-1,MCF 10A-H2B-mCherry,,,0,14.10,770.96,1475,1478,0.9979,0.9960
51124-1,MCF 10A-H2B-mCherry,,,0,16.40,770.96,1624,1625,0.9997,0.9995
51124-1,MCF 10A-H2B-mCherry,,,0,18.60,770.96,1783,1786,0.9981,0.9963
51124-1,MCF 10A-H2B-mCherry,,,0,20.80,770.96,1959,1959,0.9998,0.9988
51124-1,MCF 10A-H2B-mCherry,,,0,23.00,770.96,2189,2193,0.9983,0.9963
51124-1,MCF 10A-H2B-mCherry,,,0,25.30,770.96,2461,2456,1.0022,1.0011
51124-1,MCF 10A-H2B-mCherry,,,0,27.50,770.96,2751,2754,0.9990,0.9974
51124-1,MCF 10A-H2B-mCherry,,,0,29.70,770.96,3028,3022,1.0019,1.0005
51124-1,MCF 10A-H2B-mCherry,,,0,31.90,770.96,3305,3294,1.0032,1.0019
51124-1,MCF 10A-H2B-mCherry,,,0,34.10,770.96,3615,3605,1.0028,1.0013
51124-1,MCF 10A-H2B-mCherry,,,0,36.40,770.96,3993,3985,1.0021,1.0004
51124-1,MCF 10A-H2B-mCherry,,,0,38.60,770.96,4441,4421,1.0045,1.0022
51124-1,MCF 10A-H2B-mCherry,,,0,40.80,770.96,4884,4874,1.0021,1.0004
51124-1,MCF 10A-H2B-mCherry,,,0,43.00,770.96,5295,5280,1.0030,1.0010
51124-1,MCF 10A-H2B-mCherry,,,0,45.30,770.96,5701,5677,1.0042,1.0019
51124-1,MCF 10A-H2B-mCherry,,,0,47.50,770.96,6104,6082,1.0036,1.0015
51124-1,MCF 10A-H2B-mCherry,,,0,49.70,770.96,6535,6511,1.0038,1.0016
51124-1,MCF 10A-H2B-mCherry,,,0,51.90,770.96,6983,6944,1.0056,1.0026
51124-1,MCF 10A-H2B-mCherry,,,0,54.10,770.96,7444,7405,1.0052,1.0022
51124-1,MCF 10A-H2B-mCherry,,,0,56.40,770.96,7862,7845,1.0022,1.0003
51124-1,MCF 10A-H2B-mCherry,,,0,58.60,770.96,8307,8264,1.0053,1.0020
51124-1,MCF 10A-H2B-mCherry,,,0,60.80,770.96,8729,8711,1.0022,1.0002
51124-1,MCF 10A-H2B-mCherry,,,0,63.00,770.96,9148,9152,0.9996,0.9986
51124-1,MCF 10A-H2B-mCherry,,,0,65.30,770.96,9554,9591,0.9962,0.9966
51124-1,MCF 10A-H2B-mCherry,,,0,67.50,770.96,9890,9939,0.9951,0.9958
51124-1,MCF 10A-H2B-mCherry,,,0,69.70,770.96,10225,10312,0.9915,0.9937
51124-1,MCF 10A-H2B-mCherry,,,0,71.90,770.96,10514,10631,0.9890,0.9921
51124-1,MCF 10A-H2B-mCherry,,,0,74.10,770.96,10750,10921,0.9843,0.9893
51124-1,MCF 10A-H2B-mCherry,,,0,76.40,770.96,10987,11184,0.9823,0.9877
51124-1,MCF 10A-H2B-mCherry,,,0,78.60,770.96,11204,11443,0.9791,0.9856
51124-1,MCF 10A-H2B-mCherry,,,0,80.80,770.96,11432,11725,0.9750,0.9826
51124-1,MCF 10A-H2B-mCherry,,,0,83.10,770.96,11654,12002,0.9710,0.9798
51124-1,MCF 10A-H2B-mCherry,,,0,85.30,770.96,11895,12277,0.9689,0.9781
51124-1,MCF 10A-H2B-mCherry,,,0,87.50,770.96,12125,12567,0.9648,0.9748
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,2.90,770.96,889,886,1.0038,1.2896
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,5.10,770.96,1015,984,1.0306,1.2396
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,7.30,770.96,1072,1067,1.0042,1.0622
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,9.60,770.96,1183,1178,1.0038,1.0228
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,11.90,770.96,1303,1319,0.9879,0.9713
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,14.10,770.96,1439,1478,0.9735,0.9440
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,16.40,770.96,1595,1625,0.9820,0.9652
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,18.60,770.96,1770,1786,0.9908,0.9824
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,20.80,770.96,1935,1959,0.9870,0.9775
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,23.00,770.96,2141,2193,0.9762,0.9660
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,25.30,770.96,2429,2456,0.9888,0.9836
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,27.50,770.96,2721,2754,0.9877,0.9833
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,29.70,770.96,2989,3022,0.9889,0.9855
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,31.90,770.96,3287,3294,0.9977,0.9946
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,34.10,770.96,3581,3605,0.9929,0.9908
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,36.40,770.96,3961,3985,0.9936,0.9921
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,38.60,770.96,4372,4421,0.9885,0.9879
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,40.80,770.96,4784,4874,0.9814,0.9832
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,43.00,770.96,5225,5280,0.9893,0.9896
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,45.30,770.96,5609,5677,0.9879,0.9894
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,47.50,770.96,6005,6082,0.9872,0.9894
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,49.70,770.96,6422,6511,0.9862,0.9889
