Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Time Point (hr),GR50,GEC50,GRmax,GRinf,GR Hill Coefficient,GR_AOC
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,12,Inf,Inf,0.6300,0.6300,0.0000,0.3905
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,24,Inf,Inf,0.6568,0.6568,0.0000,0.2481
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,36,Inf,Inf,0.6884,0.6884,0.0000,0.1933
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,48,Inf,Inf,0.7129,0.7129,0.0000,0.1620
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,60,Inf,Inf,0.7342,0.7342,0.0000,0.1444
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,72,Inf,Inf,0.7448,0.7448,0.0000,0.1385
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,84,Inf,Inf,0.7193,0.7193,0.0000,0.1230
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,12,Inf,Inf,0.3669,0.3669,0.0000,0.4736
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,24,Inf,Inf,0.3464,0.3464,0.0000,0.3987
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,36,1.8278,999.8676,0.3368,-0.9426,0.1681,0.3611
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,48,1.2987,299.0185,0.3294,-1.0000,0.2020,0.3592
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,60,1.0757,102.3859,0.1735,-1.0000,0.2412,0.3555
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,72,0.8672,64.7283,0.0603,-1.0000,0.2547,0.3653
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,84,0.5642,58.6317,-0.0543,-1.0000,0.2366,0.3960
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,12,Inf,Inf,0.3340,0.3340,0.0000,0.4725
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,24,2.0061,129.7291,0.2052,-1.0000,0.2635,0.3116
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,36,1.5954,57.0859,0.1922,-1.0000,0.3071,0.3079
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,48,1.1834,37.3253,0.1896,-1.0000,0.3183,0.3192
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,60,0.847,16.3367,0.1412,-0.8621,0.3387,0.3416
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,72,0.5612,1.2244,0.1419,-0.2015,0.4341,0.3610
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,84,0.3533,0.6359,0.1344,-0.1515,0.4501,0.4060
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,12,Inf,Inf,0.2348,0.2348,0.0000,0.4770
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,24,0.0809,0.0088,0.2144,0.3494,0.5423,0.4143
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,36,0.1462,0.1855,0.2073,-0.0474,0.3804,0.3953
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,48,0.1895,4.5797,0.0307,-1.0000,0.3449,0.3845
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,60,0.2207,3.2708,-0.0756,-1.0000,0.4075,0.3689
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,72,0.246,2.6692,-0.1124,-1.0000,0.4607,0.3588
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,84,0.2629,2.4045,-0.1966,-1.0000,0.4964,0.3709
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,12,Inf,Inf,0.5376,0.5376,0.0000,0.4133
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,24,Inf,Inf,0.4526,0.4526,0.0000,0.3423
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,36,8.2546,999.9626,0.4151,-0.4519,0.1342,0.3252
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,48,3.3346,999.9941,0.3630,-0.7979,0.1673,0.3254
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,60,2.6707,808.9177,0.3136,-1.0000,0.1923,0.3179
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,72,2.3133,319.7903,0.2433,-1.0000,0.2229,0.3116
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,84,2.3696,134.4749,0.1665,-1.0000,0.2720,0.2965
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,12,0.0017,2.6985,0.1492,-1.0000,0.1490,0.5622
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,24,0.002,0.0084,-0.2083,-0.5081,0.4902,0.6573
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,36,0.0017,0.0028,-0.3238,-0.3277,0.9300,0.7159
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,48,0.0013,0.0019,-0.3312,-0.2815,1.1758,0.7519
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,60,0.0011,0.0014,-0.3195,-0.2487,1.3756,0.7703
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,72,0.001,0.0013,-0.3180,-0.2585,1.4036,0.7880
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,84,0.0009,0.0012,-0.3444,-0.2890,1.3812,0.8153
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,12,Inf,Inf,0.5665,0.5665,0.0000,0.4216
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,24,Inf,Inf,0.6669,0.6669,0.0000,0.3246
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,36,Inf,0.0001,0.5993,0.6033,0.5390,0.3548
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,48,Inf,0.0005,0.5447,0.5288,0.5177,0.3751
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,60,0.2951,0.0015,0.5078,0.4730,0.5502,0.3764
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,72,0.0717,0.0063,0.3482,0.3285,0.4390,0.3784
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,84,0.1232,0.0231,0.3664,0.2222,0.3508,0.3587
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,12,Inf,Inf,0.2827,0.2827,0.0000,0.5365
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,24,0.4754,1.7724,-0.0276,-0.4821,0.5130,0.4423
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,36,0.554,0.9298,-0.0652,-0.2551,0.7961,0.4258
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,48,0.6114,0.9444,-0.0821,-0.2429,0.9107,0.4110
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,60,0.7223,1.0618,-0.0810,-0.2268,0.9711,0.3866
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,72,0.8282,1.127,-0.0873,-0.2023,1.1031,0.3632
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,84,0.8613,1.1591,-0.0588,-0.1971,1.1191,0.3611
