Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Time Point (hr),Time Interval (hr),Normalized Growth Rate Inhibition Value
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,14.50,11.8,0.8840
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,16.47,11.8,0.8835
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,18.43,11.8,0.9425
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,20.40,11.8,0.9380
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,22.37,11.8,0.9614
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,24.34,11.8,1.0550
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,26.31,11.8,1.0681
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,28.28,11.8,1.0707
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,30.24,11.8,1.0384
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,32.22,11.8,1.0606
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,34.19,11.8,1.0570
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,36.16,11.8,0.9309
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,38.13,11.8,0.9070
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,40.10,11.8,0.8674
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,42.07,11.8,0.8509
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,44.04,11.8,0.9055
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,46.00,11.8,0.8913
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,47.98,11.8,0.8945
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,49.95,11.8,0.8527
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,51.92,11.8,0.9509
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,53.89,11.8,0.8557
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,56.36,12.8,0.7080
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,58.33,12.8,0.7361
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,60.30,12.8,0.8259
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,62.27,12.8,1.1041
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,64.24,12.8,1.1752
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,66.21,12.8,1.5044
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,68.68,11.8,1.3946
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,70.65,11.8,1.8353
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,72.62,11.8,2.0226
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,74.59,11.8,1.8159
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,76.56,11.8,1.7111
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,78.53,11.8,1.7650
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,80.50,11.8,1.9312
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,82.47,11.8,1.7880
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,84.44,11.8,2.0127
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,86.41,11.8,2.0521
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,88.39,11.8,2.6261
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,14.50,11.8,1.0536
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,16.47,11.8,1.0509
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,18.43,11.8,1.0056
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,20.40,11.8,0.9814
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,22.37,11.8,1.0043
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,24.34,11.8,0.9903
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,26.31,11.8,0.8992
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,28.28,11.8,0.9211
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,30.24,11.8,0.9477
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,32.22,11.8,1.0030
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,34.19,11.8,1.0304
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,36.16,11.8,0.9989
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,38.13,11.8,0.9981
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,40.10,11.8,0.9975
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,42.07,11.8,1.0264
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,44.04,11.8,0.9369
