Cell Line HMS LINCS ID,Cell Line Name,Cell Count,FI_GMCSF,FI_IFN-y,FI_IL-1B,FI_IL-2,FI_IL-4,FI_IL-6,FI_IL-8,FI_IL-10,FI_IL-12,FI_MCP-1,FI_RANTES,FI_TGF-a,FI_TNF-a,FI_TNF-b
50869-1,U-937,1,91,71,48,67,11,62,177,23,36,51,769,-45,398,48
50869-1,U-937,1,58,27,49,37,5,40,170,-3,-17,58,165,2,64,23
50869-1,U-937,1,62,76,-7,27,5,34,274,18,9,54,1495,37,698,-17
50869-1,U-937,1,-1,131,15,13,14,21,135,-5,-3,5,957,-15,1324,21
50869-1,U-937,1,24,18,-8,6,-1,25,169,17,-18,15,166,-9,48,11
50869-1,U-937,1,116,20,10,13,8,-2,276,6,40,15,875,16,231,10
50869-1,U-937,1,38,-20,15,37,30,15,151,36,8,16,588,-7,35,11
50869-1,U-937,1,-14,203,-11,24,-7,70,733,24,13,6,3701,-12,1749,38
50869-1,U-937,1,-14,130,30,46,50,75,165,5,17,-6,1103,-4,1685,43
50869-1,U-937,1,-18,1876,35,21,2,42,198,16,-12,6,812,-9,824,16
50869-1,U-937,1,-21,43,20,16,-13,4,151,-17,-4,39,538,-25,361,6
50869-1,U-937,1,0,7,31,26,0,-21,226,25,10,15,246,-9,15,22
50869-1,U-937,1,19,87,0,-15,6,12,60,-17,22,1,1427,-22,1079,-13
50869-1,U-937,1,-8,58,-27,13,16,18,158,-25,-38,-10,182,-25,287,14
50869-1,U-937,1,-5,61,10,1,-11,28,119,-31,-19,10,308,-14,71,8
50869-1,U-937,1,58,209,6,25,25,76,76,26,13,32,510,-37,1939,22
50869-1,U-937,1,23,-21,-19,48,24,32,94,17,8,14,375,-16,-17,-11
50869-1,U-937,1,11,296,-24,44,-13,18,52,51,0,9,1008,-49,3159,4
50869-1,U-937,1,60,336,24,46,-12,45,638,48,45,2,1028,-43,3003,-1
50869-1,U-937,1,73,82,20,1,25,53,307,22,20,-3,1163,-13,904,39
50869-1,U-937,1,83,49,17,6,12,38,177,33,49,48,389,-41,359,30
50869-1,U-937,1,41,70,36,33,-5,68,117,-19,40,19,268,-33,720,-6
50869-1,U-937,1,145,338,49,65,2,38,283,42,65,40,276,-5,2294,49
50869-1,U-937,1,37,17,15,17,-13,40,306,13,-9,29,257,-1,21,-22
50869-1,U-937,1,79,25,43,40,11,49,123,30,56,74,356,-19,36,-6
50869-1,U-937,1,113,152,25,1,-3,1,1956,37,30,56,1891,-21,1085,19
50869-1,U-937,1,82,99,1,34,24,14,948,36,47,112,1598,-41,142,31
50869-1,U-937,1,17,41,0,46,29,47,700,30,34,40,2261,20,92,16
50869-1,U-937,1,-3,36,28,1,13,22,289,16,26,35,1176,-17,184,15
50869-1,U-937,1,41,59,22,36,22,30,2734,52,30,42,3137,-43,244,21
50869-1,U-937,1,-18,43,42,9,-2,8,515,11,14,-12,1953,31,1170,49
50869-1,U-937,1,29,-6,-6,16,3,113,354,11,22,7,370,38,29,14
50869-1,U-937,1,1,34,25,21,-3,13,202,21,-4,-1,354,11,174,25
50869-1,U-937,1,65,1404,27,4,35,35,292,-12,-2,28,1443,38,1718,13
50869-1,U-937,1,17,44,26,38,6,21,2503,25,14,104,809,76,74,4
50869-1,U-937,1,45,6,4,33,4,22,3816,20,7,167,4833,5,30,34
50869-1,U-937,1,20,97,4,29,-9,21,359,53,12,34,2284,9,558,-2
50869-1,U-937,1,16,80,21,16,-2,-12,236,49,-12,29,2381,2,365,6
50869-1,U-937,1,-7,244,-21,16,26,86,2160,25,-23,419,3996,7,1057,-27
50869-1,U-937,1,-13,105,4,-1,-18,10,254,6,5,43,2858,15,577,62
50869-1,U-937,1,-9,133,5,27,0,3,13748,5,1,237,6395,67,1048,-15
50869-1,U-937,1,6,107,10,40,50,12,197,-15,46,-9,1645,-25,1231,-5
50869-1,U-937,1,-7,23,14,-3,12,-4,125,17,-25,-1,282,-4,-37,1
50869-1,U-937,1,27,73,4,47,6,29,2651,3,-1,35,1139,-3,625,18
50869-1,U-937,1,85,97,7,33,-8,26,733,3,30,34,900,-51,781,-30
50869-1,U-937,1,38,7,106,-7,-18,44,480,30,18,15,3269,-22,255,11
50869-1,U-937,1,34,4,152,16,-11,29,346,27,6,2,285,-16,42,54
50869-1,U-937,1,46,56,-101,43,-109,63,118,12,53,20,598,-10,799,-230
50869-1,U-937,1,16,88,-8,98,262,5,225,-4,23,-4,87,-16,-54,-5
50869-1,U-937,1,73,-19,52,358,27,251,330,28,69,55,749,3,291,40
50869-1,U-937,1,23,36,31,64,30,24,4973,1,7,76,2768,40,661,48
50869-1,U-937,1,15,16,11,17,14,10,281,-14,30,12,373,8,28,4
50869-1,U-937,1,32,5,6,-15,13,0,252,13,19,688,2352,-23,130,-7
50869-1,U-937,1,51,-11,19,0,9,20,592,12,-3,55,2023,-21,1306,12
50869-1,U-937,1,34,-20,18,17,28,14,300,-2,40,29,2535,-7,190,-2
50869-1,U-937,1,10,34,48,35,4,32,228,23,16,43,1567,-23,227,21
50869-1,U-937,1,16,3,29,19,-13,25,6926,59,52,29,1865,-27,217,-9
50869-1,U-937,1,36,8,18,43,-4,34,602,12,44,35,1958,9,72,-15
50869-1,U-937,1,40,0,10,-12,-1,19,215,12,7,4,4123,-36,156,-3
50869-1,U-937,1,27,12,11,25,-11,40,2138,29,0,31,1823,56,1681,31
50869-1,U-937,1,59,-47,-3,80,9,28,1737,9,18,40,334,-6,3262,14
50869-1,U-937,1,5,10,-4,61,21,39,416,8,9,15,357,16,80,5
50869-1,U-937,1,29,10,-1,46,-16,14,3874,7,45,49,4019,47,2032,-5
50869-1,U-937,1,65,5,54,21,26,50,7999,48,42,687,2848,-1,2035,-10
