Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,Drug Concentration,Conc Units,Timepoint,Timepoint Units,Measured pERK (Alexa 488),Measured p-Rb (Alexa 568),Alexa Fluor 647,Measured p-Akt/p-4EBP1/p-S6 (Alexa 647),Image
10098-101-2,Gefitinib,50091-2,AU565,0 (control),,6,hr,286.03,62.73,p-Akt,29.07,327931
10098-101-2,Gefitinib,50091-2,AU565,0 (control),,24,hr,659.08,130.41,p-Akt,134.35,341971
10345-999-1,Torkinib,50091-2,AU565,0 (control),,6,hr,228.66,55.93,p-Akt,26.38,329011
10345-999-1,Torkinib,50091-2,AU565,0 (control),,24,hr,522.19,120.45,p-Akt,94.97,342511
10172-101-2,GSK1059615,50091-2,AU565,0 (control),,6,hr,264.31,61.82,p-Akt,28.75,329551
10172-101-2,GSK1059615,50091-2,AU565,0 (control),,24,hr,452.11,110.23,p-Akt,88.09,343051
10057-102-1,MK2206,50091-2,AU565,0 (control),,6,hr,215.16,63.34,p-Akt,22.81,330091
10057-102-1,MK2206,50091-2,AU565,0 (control),,24,hr,427.04,124.23,p-Akt,78.88,343591
10280-999-2,Triciribine,50091-2,AU565,0 (control),,6,hr,231.71,61.01,p-Akt,21.54,330631
10280-999-2,Triciribine,50091-2,AU565,0 (control),,24,hr,511.74,118.54,p-Akt,102.35,340891
10232-101-2,Dactolisib,50091-2,AU565,0 (control),,6,hr,235.49,54.01,p-Akt,23.90,328471
10232-101-2,Dactolisib,50091-2,AU565,0 (control),,24,hr,496.14,121.03,p-Akt,137.91,341431
10098-101-2,Gefitinib,50213-2,HCC1954,0 (control),,6,hr,411.80,93.54,p-Akt,46.61,353851
10098-101-2,Gefitinib,50213-2,HCC1954,0 (control),,24,hr,342.49,120.54,p-Akt,84.26,345211
10345-999-1,Torkinib,50213-2,HCC1954,0 (control),,6,hr,182.67,40.88,p-Akt,23.74,354931
10345-999-1,Torkinib,50213-2,HCC1954,0 (control),,24,hr,309.60,109.35,p-Akt,76.75,345751
10172-101-2,GSK1059615,50213-2,HCC1954,0 (control),,6,hr,241.24,67.17,p-Akt,30.76,355471
10172-101-2,GSK1059615,50213-2,HCC1954,0 (control),,24,hr,302.50,106.62,p-Akt,73.55,346291
10057-102-1,MK2206,50213-2,HCC1954,0 (control),,6,hr,271.78,84.99,p-Akt,42.06,356011
10057-102-1,MK2206,50213-2,HCC1954,0 (control),,24,hr,288.09,111.00,p-Akt,78.02,346831
10280-999-2,Triciribine,50213-2,HCC1954,0 (control),,6,hr,225.27,70.45,p-Akt,36.85,356551
10280-999-2,Triciribine,50213-2,HCC1954,0 (control),,24,hr,282.25,98.69,p-Akt,60.55,344131
10232-101-2,Dactolisib,50213-2,HCC1954,0 (control),,6,hr,262.96,93.99,p-Akt,56.53,354391
10232-101-2,Dactolisib,50213-2,HCC1954,0 (control),,24,hr,357.28,117.27,p-Akt,79.92,344671
10098-101-2,Gefitinib,50583-5,MCF 10A,0 (control),,6,hr,488.10,165.19,p-Akt,54.11,334411
10098-101-2,Gefitinib,50583-5,MCF 10A,0 (control),,24,hr,295.80,110.01,p-Akt,55.06,348451
10345-999-1,Torkinib,50583-5,MCF 10A,0 (control),,6,hr,498.87,147.67,p-Akt,54.88,335491
10345-999-1,Torkinib,50583-5,MCF 10A,0 (control),,24,hr,335.16,114.92,p-Akt,54.49,348991
10172-101-2,GSK1059615,50583-5,MCF 10A,0 (control),,6,hr,450.57,164.32,p-Akt,55.84,336031
10172-101-2,GSK1059615,50583-5,MCF 10A,0 (control),,24,hr,372.12,121.72,p-Akt,53.36,349531
10057-102-1,MK2206,50583-5,MCF 10A,0 (control),,6,hr,475.25,162.73,p-Akt,59.87,336571
10057-102-1,MK2206,50583-5,MCF 10A,0 (control),,24,hr,334.53,120.26,p-Akt,52.16,350071
