Cell Line HMS LINCS ID,Cell Line Name,Protein HMS LINCS ID,Protein Name,Image,Protein Ligand Concentration,Conc unit,Time,Time unit,Measured Protein,Measured Protein Value
50576-2,184B5,200852,BTC,45180,1,ng/ml,10,minute,pAkt,656.747
50576-2,184B5,200852,BTC,45308,100,ng/ml,10,minute,pAkt,1116.411
50576-2,184B5,200852,BTC,45288,1,ng/ml,30,minute,pAkt,451.379
50576-2,184B5,200852,BTC,45120,100,ng/ml,30,minute,pAkt,806.302
50576-2,184B5,200852,BTC,45172,1,ng/ml,90,minute,pAkt,484.812
50576-2,184B5,200852,BTC,45140,100,ng/ml,90,minute,pAkt,599.148
50576-2,184B5,200852,BTC,44767,1,ng/ml,10,minute,pErk,3502.932
50576-2,184B5,200852,BTC,44632,100,ng/ml,10,minute,pErk,5317.281
50576-2,184B5,200852,BTC,44967,1,ng/ml,30,minute,pErk,3617.437
50576-2,184B5,200852,BTC,44939,100,ng/ml,30,minute,pErk,4370.673
50576-2,184B5,200852,BTC,44716,1,ng/ml,90,minute,pErk,3261.310
50576-2,184B5,200852,BTC,44803,100,ng/ml,90,minute,pErk,2059.907
50576-2,184B5,200852,BTC,46048,1,ng/ml,10,minute,pJnk,67.925
50576-2,184B5,200852,BTC,45888,100,ng/ml,10,minute,pJnk,75.243
50576-2,184B5,200852,BTC,45952,1,ng/ml,30,minute,pJnk,64.934
50576-2,184B5,200852,BTC,46024,100,ng/ml,30,minute,pJnk,53.592
50576-2,184B5,200852,BTC,45792,1,ng/ml,90,minute,pJnk,62.980
50576-2,184B5,200852,BTC,45880,100,ng/ml,90,minute,pJnk,68.809
50576-2,184B5,200852,BTC,45384,1,ng/ml,10,minute,pP38,216.384
50576-2,184B5,200852,BTC,45487,100,ng/ml,10,minute,pP38,272.647
50576-2,184B5,200852,BTC,45611,1,ng/ml,30,minute,pP38,220.172
50576-2,184B5,200852,BTC,45495,100,ng/ml,30,minute,pP38,233.598
50576-2,184B5,200852,BTC,45519,1,ng/ml,90,minute,pP38,198.019
50576-2,184B5,200852,BTC,45503,100,ng/ml,90,minute,pP38,215.754
50576-2,184B5,200863,EFNA1,45208,1,ng/ml,10,minute,pAkt,371.850
50576-2,184B5,200863,EFNA1,45184,100,ng/ml,10,minute,pAkt,358.148
50576-2,184B5,200863,EFNA1,45144,1,ng/ml,30,minute,pAkt,404.616
50576-2,184B5,200863,EFNA1,45320,100,ng/ml,30,minute,pAkt,368.404
50576-2,184B5,200863,EFNA1,45068,1,ng/ml,90,minute,pAkt,399.095
50576-2,184B5,200863,EFNA1,45363,100,ng/ml,90,minute,pAkt,415.743
50576-2,184B5,200863,EFNA1,44628,1,ng/ml,10,minute,pErk,1237.678
50576-2,184B5,200863,EFNA1,44791,100,ng/ml,10,minute,pErk,1187.590
50576-2,184B5,200863,EFNA1,44847,1,ng/ml,30,minute,pErk,1233.866
50576-2,184B5,200863,EFNA1,44799,100,ng/ml,30,minute,pErk,1093.286
50576-2,184B5,200863,EFNA1,44899,1,ng/ml,90,minute,pErk,1269.305
50576-2,184B5,200863,EFNA1,44851,100,ng/ml,90,minute,pErk,1402.010
