Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,Protein HMS LINCS ID,Protein Name
10188-101-1,BX795,51099-1,NGP,200633,"ABL,ARG"
10188-101-1,BX795,51099-1,NGP,200634,"ABL,ARG"
10188-101-1,BX795,51099-1,NGP,200635,ACK
10188-101-1,BX795,51099-1,NGP,200636,AGK
10188-101-1,BX795,51099-1,NGP,200639,"AMPKa1,AMPKa2"
10188-101-1,BX795,51099-1,NGP,200641,ARAF
10188-101-1,BX795,51099-1,NGP,200643,ATR
10188-101-1,BX795,51099-1,NGP,201080,AurA
10188-101-1,BX795,51099-1,NGP,201072,AurB
10188-101-1,BX795,51099-1,NGP,200877,BARK1
10188-101-1,BX795,51099-1,NGP,200647,BRAF
10188-101-1,BX795,51099-1,NGP,200882,CAMK1D
10188-101-1,BX795,51099-1,NGP,200650,CaMK2g
10188-101-1,BX795,51099-1,NGP,200886,CaMKK2
10188-101-1,BX795,51099-1,NGP,200653,CASK
10188-101-1,BX795,51099-1,NGP,200654,CDC2
10188-101-1,BX795,51099-1,NGP,200656,"CDK11,CDK8"
10188-101-1,BX795,51099-1,NGP,200658,CDK2
10188-101-1,BX795,51099-1,NGP,200659,CDK4
10188-101-1,BX795,51099-1,NGP,200890,CDK5
10188-101-1,BX795,51099-1,NGP,200662,CDK6
10188-101-1,BX795,51099-1,NGP,200663,CDK7
10188-101-1,BX795,51099-1,NGP,200664,CDK9
10188-101-1,BX795,51099-1,NGP,200896,CHK2
10188-101-1,BX795,51099-1,NGP,200667,KC1A
10188-101-1,BX795,51099-1,NGP,200668,"CK1d,CK1e"
10188-101-1,BX795,51099-1,NGP,201073,CLK2
10188-101-1,BX795,51099-1,NGP,200902,CLK3
10188-101-1,BX795,51099-1,NGP,200669,CSK
10188-101-1,BX795,51099-1,NGP,201083,DGKH
10188-101-1,BX795,51099-1,NGP,200674,DNAPK
10188-101-1,BX795,51099-1,NGP,200672,DNAPK
10188-101-1,BX795,51099-1,NGP,200677,eEF2K
10188-101-1,BX795,51099-1,NGP,201035,EGFR
10188-101-1,BX795,51099-1,NGP,201053,EphA7
10188-101-1,BX795,51099-1,NGP,201054,EPHB2
10188-101-1,BX795,51099-1,NGP,200681,MK03
10188-101-1,BX795,51099-1,NGP,200682,Erk5
10188-101-1,BX795,51099-1,NGP,200683,FAK
10188-101-1,BX795,51099-1,NGP,200686,FER
10188-101-1,BX795,51099-1,NGP,200921,FRAP1
10188-101-1,BX795,51099-1,NGP,200687,"FYN,SRC,YES"
10188-101-1,BX795,51099-1,NGP,200690,GCK
10188-101-1,BX795,51099-1,NGP,200691,GCN2_domain2
10188-101-1,BX795,51099-1,NGP,200693,GSK3A
10188-101-1,BX795,51099-1,NGP,200694,GSK3B
10188-101-1,BX795,51099-1,NGP,200695,IKKA
10188-101-1,BX795,51099-1,NGP,200696,IKKB
10188-101-1,BX795,51099-1,NGP,200699,ILK
10188-101-1,BX795,51099-1,NGP,200700,IRAK1
10188-101-1,BX795,51099-1,NGP,200701,IRAK4
10188-101-1,BX795,51099-1,NGP,200702,IRE1
10188-101-1,BX795,51099-1,NGP,200704,JAK1
10188-101-1,BX795,51099-1,NGP,200706,JAK1_domain2
10188-101-1,BX795,51099-1,NGP,200707,"JNK1,JNK2,JNK3"
10188-101-1,BX795,51099-1,NGP,200710,KHS1
10188-101-1,BX795,51099-1,NGP,201058,M4K3
10188-101-1,BX795,51099-1,NGP,200937,"KSR1,KSR2"
10188-101-1,BX795,51099-1,NGP,200711,LATS1
10188-101-1,BX795,51099-1,NGP,200712,LKB1
10188-101-1,BX795,51099-1,NGP,200714,LOK
10188-101-1,BX795,51099-1,NGP,200940,LYN
10188-101-1,BX795,51099-1,NGP,200718,MAP2K1
10188-101-1,BX795,51099-1,NGP,200719,"MAP2K1,MAP2K2"
10188-101-1,BX795,51099-1,NGP,200722,MAP2K3
10188-101-1,BX795,51099-1,NGP,200724,MAP2K4
10188-101-1,BX795,51099-1,NGP,200725,MAP2K5
10188-101-1,BX795,51099-1,NGP,200726,MAP2K6
10188-101-1,BX795,51099-1,NGP,200729,MP2K7
10188-101-1,BX795,51099-1,NGP,200730,MAP3K1
10188-101-1,BX795,51099-1,NGP,200731,M3K2
10188-101-1,BX795,51099-1,NGP,200732,"M3K2,MAP3K3"
10188-101-1,BX795,51099-1,NGP,200733,MAP3K3
10188-101-1,BX795,51099-1,NGP,200734,MAP3K4
10188-101-1,BX795,51099-1,NGP,200944,MAP3K5
10188-101-1,BX795,51099-1,NGP,200739,"MARK2,MARK3"
10188-101-1,BX795,51099-1,NGP,200740,MARK3
10188-101-1,BX795,51099-1,NGP,200949,"MARK3,MARK4"
10188-101-1,BX795,51099-1,NGP,200741,"MAST1,MAST2"
10188-101-1,BX795,51099-1,NGP,200743,MAST3
10188-101-1,BX795,51099-1,NGP,200744,MASTL
10188-101-1,BX795,51099-1,NGP,200950,MASTL
10188-101-1,BX795,51099-1,NGP,200951,MET
10188-101-1,BX795,51099-1,NGP,201087,"MLK1,MLKL"
10188-101-1,BX795,51099-1,NGP,200746,MLK3
10188-101-1,BX795,51099-1,NGP,201088,MLK4
10188-101-1,BX795,51099-1,NGP,200750,MSK1_domain1
10188-101-1,BX795,51099-1,NGP,201090,MSK2 domain1
10188-101-1,BX795,51099-1,NGP,200751,MST1
10188-101-1,BX795,51099-1,NGP,200755,MST2
10188-101-1,BX795,51099-1,NGP,200756,MST3
10188-101-1,BX795,51099-1,NGP,200958,MST4
10188-101-1,BX795,51099-1,NGP,200759,"MST4,YSK1"
