Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,Drug Concentration,Conc Unit,Time Point,Time Point Unit,Total Number of Cells (Nuclei),Number of Apoptotic Cells,Relative Viability,Mean Relative Viability,Apoptosis Fraction,Mean Apoptosis Fraction,Replicate
10046-101-1,SB590885,50112-1,C32,0.0032,uM,24,hr,2021,240,1.0297,1.0722,0.1188,0.0901,1
10046-101-1,SB590885,50112-1,C32,0.0032,uM,24,hr,2026,185,1.0644,1.0722,0.0913,0.0901,2
10046-101-1,SB590885,50112-1,C32,0.0032,uM,24,hr,2056,167,1.0921,1.0722,0.0812,0.0901,3
10046-101-1,SB590885,50112-1,C32,0.0032,uM,24,hr,2049,142,1.1026,1.0722,0.0693,0.0901,4
10046-101-1,SB590885,50112-1,C32,0.0032,uM,48,hr,2306,278,0.9868,1.2035,0.1206,0.0832,1
10046-101-1,SB590885,50112-1,C32,0.0032,uM,48,hr,2596,214,1.1590,1.2035,0.0824,0.0832,2
10046-101-1,SB590885,50112-1,C32,0.0032,uM,48,hr,2830,189,1.2850,1.2035,0.0668,0.0832,3
10046-101-1,SB590885,50112-1,C32,0.0032,uM,48,hr,3034,191,1.3833,1.2035,0.0630,0.0832,4
10046-101-1,SB590885,50112-1,C32,0.0032,uM,72,hr,2185,204,0.8649,1.0978,0.0934,0.0657,1
10046-101-1,SB590885,50112-1,C32,0.0032,uM,72,hr,2601,152,1.0692,1.0978,0.0584,0.0657,2
10046-101-1,SB590885,50112-1,C32,0.0032,uM,72,hr,2819,166,1.1583,1.0978,0.0589,0.0657,3
10046-101-1,SB590885,50112-1,C32,0.0032,uM,72,hr,3138,163,1.2989,1.0978,0.0519,0.0657,4
10046-101-1,SB590885,50112-1,C32,0.0100,uM,24,hr,1984,303,0.9719,1.0475,0.1527,0.1377,1
10046-101-1,SB590885,50112-1,C32,0.0100,uM,24,hr,2059,319,1.0060,1.0475,0.1549,0.1377,2
10046-101-1,SB590885,50112-1,C32,0.0100,uM,24,hr,2246,266,1.1448,1.0475,0.1184,0.1377,3
10046-101-1,SB590885,50112-1,C32,0.0100,uM,24,hr,2109,263,1.0673,1.0475,0.1247,0.1377,4
10046-101-1,SB590885,50112-1,C32,0.0100,uM,48,hr,2014,286,0.8408,1.0390,0.1420,0.1215,1
10046-101-1,SB590885,50112-1,C32,0.0100,uM,48,hr,2270,248,0.9839,1.0390,0.1093,0.1215,2
10046-101-1,SB590885,50112-1,C32,0.0100,uM,48,hr,2737,341,1.1658,1.0390,0.1246,0.1215,3
10046-101-1,SB590885,50112-1,C32,0.0100,uM,48,hr,2691,296,1.1653,1.0390,0.1100,0.1215,4
10046-101-1,SB590885,50112-1,C32,0.0100,uM,72,hr,2781,198,1.1277,1.1912,0.0712,0.0532,1
