Cell Line HMS LINCS ID,Cell Line Name,Time Point,Time Point Unit,Variable,PC1 Loading,PC2 Loading
50112,C32,1,hr,pMEK(S217/221),2.91970,-1.00720
50112,C32,1,hr,pERK(T202/Y204),7.43140,-1.21070
50112,C32,1,hr,p-p90RSK(S380),NaN,NaN
50112,C32,1,hr,p-p90RSK(T573),-0.05916,0.10315
50112,C32,1,hr,p-AKT(T308),0.07270,-0.43501
50112,C32,1,hr,p-AKT(S473),-0.22820,-0.58166
50112,C32,1,hr,p-mTOR(S2448),NaN,NaN
50112,C32,1,hr,p-p70S6K(T421/S424),0.45992,-0.41066
50112,C32,1,hr,p-p70S6K(T389),NaN,NaN
50112,C32,1,hr,p-S6(S235/236),1.41460,-0.44037
50112,C32,1,hr,p-AMPK(T172),-0.18447,-0.16975
50112,C32,1,hr,p-JNK(T183/Y185),0.37130,-0.99243
50112,C32,1,hr,Total c-Jun,0.54181,0.04245
50112,C32,1,hr,p-cJun(S63),NaN,NaN
50112,C32,1,hr,p-P38(T180/Y182),0.41981,-0.31632
50112,C32,1,hr,p-HSP27(S82),NaN,NaN
50112,C32,1,hr,p-NFKB(S536),0.49350,-0.08939
50112,C32,1,hr,Bim,-0.02802,-0.10082
50112,C32,1,hr,cPARP,0.35603,-0.28605
50112,C32,1,hr,p-Histone H3(S10),-0.59038,0.58833
50112,C32,1,hr,p27 Kip1,0.10111,-0.06938
50112,C32,5,hr,pMEK(S217/221),2.90920,-1.19320
50112,C32,5,hr,pERK(T202/Y204),6.85300,0.56211
50112,C32,5,hr,p-p90RSK(S380),NaN,NaN
50112,C32,5,hr,p-p90RSK(T573),-0.50929,-0.16568
50112,C32,5,hr,p-AKT(T308),-0.34603,-0.05805
50112,C32,5,hr,p-AKT(S473),-0.89262,0.16765
50112,C32,5,hr,p-mTOR(S2448),NaN,NaN
50112,C32,5,hr,p-p70S6K(T421/S424),0.48333,-0.35367
50112,C32,5,hr,p-p70S6K(T389),NaN,NaN
