Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,Protein HMS LINCS ID,Protein Name,Protein Concentration,Protein Conc Unit,Antibody Name,Antibody Concentration,Antibody Conc Unit,2nd Antibody Name,2nd Antibody Concentration,2nd Antibody Conc Unit,Replicate,Mean log10(k) (a.u.),Mean tau (min),Surviving Fraction,Classification Accuracy (theta_T),Classification Accuracy (fate boundary)
51102-1,HeLa ICRP,,,,,201284,TNF10,1.0,ng/ml,,,,,,,1,-6.60,379.1667,0.958,0.95833,1.00000
51102-1,HeLa ICRP,,,,,201284,TNF10,1.0,ng/ml,,,,,,,2,-6.34,245.6857,0.977,0.97714,0.86286
51102-1,HeLa ICRP,,,,,201284,TNF10,1.0,ng/ml,,,,,,,3,-6.59,286.3068,0.949,0.96591,0.89773
51102-1,HeLa ICRP,,,,,201284,TNF10,5.0,ng/ml,,,,,,,1,-5.80,282.0968,0.839,0.93548,0.80645
51102-1,HeLa ICRP,,,,,201284,TNF10,5.0,ng/ml,,,,,,,2,-5.94,296.5797,0.901,0.93913,0.91014
51102-1,HeLa ICRP,,,,,201284,TNF10,5.0,ng/ml,,,,,,,3,-6.20,283.4633,0.895,0.92202,0.90826
51102-1,HeLa ICRP,,,,,201284,TNF10,7.5,ng/ml,,,,,,,1,-5.81,277.9023,0.825,0.92241,0.85057
51102-1,HeLa ICRP,,,,,201284,TNF10,7.5,ng/ml,,,,,,,2,-6.16,268.7705,0.869,0.91148,0.86557
51102-1,HeLa ICRP,,,,,201284,TNF10,10.0,ng/ml,,,,,,,1,-5.50,258.7097,0.742,0.90323,0.83871
51102-1,HeLa ICRP,,,,,201284,TNF10,10.0,ng/ml,,,,,,,2,-5.56,267.0455,0.782,0.91818,0.81364
51102-1,HeLa ICRP,,,,,201284,TNF10,25.0,ng/ml,,,,,,,1,-5.14,214.7516,0.457,0.83540,0.65528
51102-1,HeLa ICRP,,,,,201284,TNF10,25.0,ng/ml,,,,,,,2,-5.12,218.2456,0.513,0.82895,0.67982
51102-1,HeLa ICRP,,,,,201284,TNF10,25.0,ng/ml,,,,,,,3,-5.47,227.5857,0.726,0.92000,0.80000
51102-1,HeLa ICRP,,,,,201284,TNF10,50.0,ng/ml,,,,,,,1,-4.71,138.0000,0.400,0.68889,0.60000
51102-1,HeLa ICRP,,,,,201284,TNF10,50.0,ng/ml,,,,,,,2,-4.86,168.6667,0.276,0.84286,0.74286
51102-1,HeLa ICRP,,,,,201284,TNF10,250.0,ng/ml,,,,,,,1,-4.43,88.9362,0.060,0.90780,0.91064
51102-1,HeLa ICRP,,,,,201284,TNF10,250.0,ng/ml,,,,,,,2,-4.42,90.1432,0.101,0.89648,0.87225
51102-1,HeLa ICRP,,,,,201284,TNF10,250.0,ng/ml,,,,,,,3,-4.34,68.5914,0.058,0.88387,0.88172
