Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,Protein Stimulus HMS LINCS ID,Protein Stimulus Name,Other Stimulus HMS LINCS ID,Other Stimulus Name,Stimulus Concentration,Stimulus Conc Unit,ExpPlate,Measured Protein,Measured Protein MFI (a.u.),Bead Count
,,,,,,,,,,,,0,MIP-1B,73.0,36
60006-1,RA2159,,,,,,,,,,,1,MIP-1B,70.0,66
60006-1,RA2159,10048-101-5,PD184352,0.1,uM,,,,,,,1,MIP-1B,66.0,60
60006-1,RA2159,10230-101-3,Lestaurtinib,0.3,uM,,,,,,,1,MIP-1B,70.0,74
60006-1,RA2159,10138-101-5,Ruxolitinib,0.3,uM,,,,,,,1,MIP-1B,68.0,67
60006-1,RA2159,10226-101-2,Tofacitinib,0.3,uM,,,,,,,1,MIP-1B,64.5,94
60006-1,RA2159,10228-102-3,IKK16,2.0,uM,,,,,,,1,MIP-1B,66.0,54
60006-1,RA2159,,,,,,,,,,,1,MIP-1B,71.0,59
60001-1,N2586,,,,,,,,,,,1,MIP-1B,69.0,66
60001-1,N2586,10048-101-5,PD184352,0.1,uM,,,,,,,1,MIP-1B,67.0,64
60001-1,N2586,10230-101-3,Lestaurtinib,0.3,uM,,,,,,,1,MIP-1B,74.0,56
60001-1,N2586,10138-101-5,Ruxolitinib,0.3,uM,,,,,,,1,MIP-1B,71.0,64
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,,,,,,,1,MIP-1B,70.0,91
60001-1,N2586,10228-102-3,IKK16,2.0,uM,,,,,,,1,MIP-1B,62.0,37
60001-1,N2586,,,,,,,,,,,1,MIP-1B,72.0,42
,,,,,,,,,,,,0,MIP-1B,66.0,71
,,,,,,,,,,,,0,MIP-1B,64.0,42
60006-1,RA2159,,,,,201285,TNF-a,,,100,ng/mL,1,MIP-1B,90.0,61
60006-1,RA2159,10048-101-5,PD184352,0.1,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,77.0,69
