Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Relative Growth Rate After Treatment
50105-3,BT-20,10133-101-1,Afatinib,0.04,uM,LJP6,1,G24,72,hr,1657,3973,5505,0.7216,0.6017
50105-3,BT-20,10133-101-1,Afatinib,0.04,uM,LJP6,2,G24,72,hr,1657,4132,5505,0.7505,0.6430
50105-3,BT-20,10133-101-1,Afatinib,0.04,uM,LJP6,3,G24,72,hr,1657,3836,5505,0.6967,0.5661
50105-3,BT-20,10035-101-1,Sigma A6730,0.04,uM,LJP5,1,B24,72,hr,1657,4934,5505,0.8962,0.8514
50105-3,BT-20,10035-101-1,Sigma A6730,0.04,uM,LJP5,2,B24,72,hr,1657,4829,5505,0.8771,0.8242
50105-3,BT-20,10035-101-1,Sigma A6730,0.04,uM,LJP5,3,B24,72,hr,1657,4967,5505,0.9022,0.8600
50105-3,BT-20,10011-101-1,Alvocidib,0.04,uM,LJP6,1,A18,72,hr,1657,2747,5505,0.4989,0.2831
50105-3,BT-20,10011-101-1,Alvocidib,0.04,uM,LJP6,2,A18,72,hr,1657,2746,5505,0.4988,0.2828
50105-3,BT-20,10011-101-1,Alvocidib,0.04,uM,LJP6,3,A18,72,hr,1657,2903,5505,0.5273,0.3236
50105-3,BT-20,10004-101-1,AT-7519,0.04,uM,LJP6,1,K06,72,hr,1657,5160,5505,0.9372,0.9102
50105-3,BT-20,10004-101-1,AT-7519,0.04,uM,LJP6,2,K06,72,hr,1657,5258,5505,0.9550,0.9356
50105-3,BT-20,10004-101-1,AT-7519,0.04,uM,LJP6,3,K06,72,hr,1657,4928,5505,0.8951,0.8499
50105-3,BT-20,10158-101-1,AZD 5438,0.04,uM,LJP6,1,J06,72,hr,1657,4978,5505,0.9042,0.8629
50105-3,BT-20,10158-101-1,AZD 5438,0.04,uM,LJP6,2,J06,72,hr,1657,5065,5505,0.9200,0.8855
50105-3,BT-20,10158-101-1,AZD 5438,0.04,uM,LJP6,3,J06,72,hr,1657,5098,5505,0.9260,0.8941
50105-3,BT-20,10059-101-1,AZD-6482,0.04,uM,LJP5,1,I06,72,hr,1657,5165,5505,0.9381,0.9115
50105-3,BT-20,10059-101-1,AZD-6482,0.04,uM,LJP5,2,I06,72,hr,1657,5508,5505,1.0004,1.0006
50105-3,BT-20,10059-101-1,AZD-6482,0.04,uM,LJP5,3,I06,72,hr,1657,5313,5505,0.9650,0.9499
50105-3,BT-20,10006-101-1,AZD7762,0.04,uM,LJP6,1,L06,72,hr,1657,5686,5505,1.0328,1.0469
50105-3,BT-20,10006-101-1,AZD7762,0.04,uM,LJP6,2,L06,72,hr,1657,6318,5505,1.1475,1.2111
50105-3,BT-20,10006-101-1,AZD7762,0.04,uM,LJP6,3,L06,72,hr,1657,5639,5505,1.0242,1.0347
50105-3,BT-20,10007-101-1,AZD8055,0.04,uM,LJP6,1,A12,72,hr,1657,2373,5505,0.4310,0.1859
50105-3,BT-20,10007-101-1,AZD8055,0.04,uM,LJP6,2,A12,72,hr,1657,2444,5505,0.4439,0.2043
50105-3,BT-20,10007-101-1,AZD8055,0.04,uM,LJP6,3,A12,72,hr,1657,2937,5505,0.5335,0.3325
50105-3,BT-20,10164-101-1,AZD8330,0.04,uM,LJP5,1,G24,72,hr,1657,4051,5505,0.7358,0.6220
50105-3,BT-20,10164-101-1,AZD8330,0.04,uM,LJP5,2,G24,72,hr,1657,3916,5505,0.7113,0.5869
50105-3,BT-20,10164-101-1,AZD8330,0.04,uM,LJP5,3,G24,72,hr,1657,4223,5505,0.7670,0.6667
50105-3,BT-20,10067-101-1,Barasertib,0.04,uM,LJP5,1,D12,72,hr,1657,5351,5505,0.9719,0.9598
50105-3,BT-20,10067-101-1,Barasertib,0.04,uM,LJP5,2,D12,72,hr,1657,5001,5505,0.9083,0.8689
50105-3,BT-20,10067-101-1,Barasertib,0.04,uM,LJP5,3,D12,72,hr,1657,5397,5505,0.9803,0.9718
50105-3,BT-20,10041-101-1,BI-2536,0.04,uM,LJP6,1,D18,72,hr,1657,1284,5505,0.2332,-0.0971
50105-3,BT-20,10041-101-1,BI-2536,0.04,uM,LJP6,2,D18,72,hr,1657,1636,5505,0.2972,-0.0056
50105-3,BT-20,10041-101-1,BI-2536,0.04,uM,LJP6,3,D18,72,hr,1657,1555,5505,0.2824,-0.0267
50105-3,BT-20,10028-102-1,BMS345541,0.04,uM,LJP6,1,D06,72,hr,1657,5578,5505,1.0131,1.0188
50105-3,BT-20,10028-102-1,BMS345541,0.04,uM,LJP6,2,D06,72,hr,1657,5332,5505,0.9685,0.9549
50105-3,BT-20,10028-102-1,BMS345541,0.04,uM,LJP6,3,D06,72,hr,1657,5396,5505,0.9801,0.9715
50105-3,BT-20,10132-101-1,SNS-032,0.04,uM,LJP6,1,H18,72,hr,1657,4703,5505,0.8542,0.7914
50105-3,BT-20,10132-101-1,SNS-032,0.04,uM,LJP6,2,H18,72,hr,1657,4549,5505,0.8262,0.7514
50105-3,BT-20,10132-101-1,SNS-032,0.04,uM,LJP6,3,H18,72,hr,1657,4703,5505,0.8542,0.7914
50105-3,BT-20,10234-101-1,GDC-0980,0.04,uM,LJP5,1,K24,72,hr,1657,3048,5505,0.5536,0.3613
50105-3,BT-20,10234-101-1,GDC-0980,0.04,uM,LJP5,2,K24,72,hr,1657,3100,5505,0.5631,0.3748
50105-3,BT-20,10234-101-1,GDC-0980,0.04,uM,LJP5,3,K24,72,hr,1657,3230,5505,0.5867,0.4086
50105-3,BT-20,10122-101-1,NVP-AEW541,0.04,uM,LJP5,1,E18,72,hr,1657,5706,5505,1.0364,1.0521
50105-3,BT-20,10122-101-1,NVP-AEW541,0.04,uM,LJP5,2,E18,72,hr,1657,5562,5505,1.0102,1.0146
50105-3,BT-20,10122-101-1,NVP-AEW541,0.04,uM,LJP5,3,E18,72,hr,1657,6152,5505,1.1174,1.1680
50105-3,BT-20,10046-101-1,SB590885,0.04,uM,LJP5,1,L18,72,hr,1657,5082,5505,0.9231,0.8899
50105-3,BT-20,10046-101-1,SB590885,0.04,uM,LJP5,2,L18,72,hr,1657,5293,5505,0.9614,0.9447
50105-3,BT-20,10046-101-1,SB590885,0.04,uM,LJP5,3,L18,72,hr,1657,5753,5505,1.0449,1.0643
50105-3,BT-20,10190-101-1,PIK-93,0.04,uM,LJP5,1,K18,72,hr,1657,5415,5505,0.9835,0.9764
50105-3,BT-20,10190-101-1,PIK-93,0.04,uM,LJP5,2,K18,72,hr,1657,5750,5505,1.0444,1.0635
50105-3,BT-20,10190-101-1,PIK-93,0.04,uM,LJP5,3,K18,72,hr,1657,5999,5505,1.0896,1.1282
50105-3,BT-20,10031-101-1,KIN001-043,0.04,uM,LJP6,1,C12,72,hr,1657,5341,5505,0.9701,0.9572
50105-3,BT-20,10031-101-1,KIN001-043,0.04,uM,LJP6,2,C12,72,hr,1657,5090,5505,0.9245,0.8920
50105-3,BT-20,10031-101-1,KIN001-043,0.04,uM,LJP6,3,C12,72,hr,1657,5455,5505,0.9908,0.9868
50105-3,BT-20,10233-101-1,Alpelisib,0.04,uM,LJP5,1,N06,72,hr,1657,5693,5505,1.0340,1.0487
50105-3,BT-20,10233-101-1,Alpelisib,0.04,uM,LJP5,2,N06,72,hr,1657,5931,5505,1.0773,1.1105
50105-3,BT-20,10233-101-1,Alpelisib,0.04,uM,LJP5,3,N06,72,hr,1657,5656,5505,1.0273,1.0391
50105-3,BT-20,10161-101-1,Luminespib,0.04,uM,LJP5,1,H18,72,hr,1657,1777,5505,0.3228,0.0310
50105-3,BT-20,10161-101-1,Luminespib,0.04,uM,LJP5,2,H18,72,hr,1657,1827,5505,0.3318,0.0440
50105-3,BT-20,10161-101-1,Luminespib,0.04,uM,LJP5,3,H18,72,hr,1657,1802,5505,0.3273,0.0375
50105-3,BT-20,10045-101-1,A443654,0.04,uM,LJP6,1,I24,72,hr,1657,2766,5505,0.5024,0.2880
50105-3,BT-20,10045-101-1,A443654,0.04,uM,LJP6,2,I24,72,hr,1657,2978,5505,0.5409,0.3431
50105-3,BT-20,10045-101-1,A443654,0.04,uM,LJP6,3,I24,72,hr,1657,2947,5505,0.5353,0.3351
50105-3,BT-20,10063-102-1,OSI-027,0.04,uM,LJP6,1,E12,72,hr,1657,5070,5505,0.9209,0.8868
50105-3,BT-20,10063-102-1,OSI-027,0.04,uM,LJP6,2,E12,72,hr,1657,5495,5505,0.9981,0.9972
50105-3,BT-20,10063-102-1,OSI-027,0.04,uM,LJP6,3,E12,72,hr,1657,6136,5505,1.1145,1.1638
50105-3,BT-20,10087-101-1,XMD11-85h,0.04,uM,LJP6,1,P24,72,hr,1657,4715,5505,0.8564,0.7945
50105-3,BT-20,10087-101-1,XMD11-85h,0.04,uM,LJP6,2,P24,72,hr,1657,4578,5505,0.8315,0.7589
50105-3,BT-20,10087-101-1,XMD11-85h,0.04,uM,LJP6,3,P24,72,hr,1657,4599,5505,0.8353,0.7644
50105-3,BT-20,10017-101-1,HG-6-64-01,0.04,uM,LJP6,1,M06,72,hr,1657,6210,5505,1.1279,1.1830
50105-3,BT-20,10017-101-1,HG-6-64-01,0.04,uM,LJP6,2,M06,72,hr,1657,5862,5505,1.0647,1.0926
50105-3,BT-20,10017-101-1,HG-6-64-01,0.04,uM,LJP6,3,M06,72,hr,1657,5400,5505,0.9808,0.9725
50105-3,BT-20,10039-101-1,WH-4-025,0.04,uM,LJP5,1,O12,72,hr,1657,5412,5505,0.9830,0.9757
50105-3,BT-20,10039-101-1,WH-4-025,0.04,uM,LJP5,2,O12,72,hr,1657,5629,5505,1.0224,1.0321
50105-3,BT-20,10039-101-1,WH-4-025,0.04,uM,LJP5,3,O12,72,hr,1657,5167,5505,0.9385,0.9120
50105-3,BT-20,10082-101-1,WZ-4-145,0.04,uM,LJP6,1,J24,72,hr,1657,4532,5505,0.8232,0.7470
50105-3,BT-20,10082-101-1,WZ-4-145,0.04,uM,LJP6,2,J24,72,hr,1657,5171,5505,0.9392,0.9130
50105-3,BT-20,10082-101-1,WZ-4-145,0.04,uM,LJP6,3,J24,72,hr,1657,4365,5505,0.7928,0.7036
50105-3,BT-20,10091-101-1,XMD16-144,0.04,uM,LJP5,1,M12,72,hr,1657,5505,5505,0.9999,0.9998
50105-3,BT-20,10091-101-1,XMD16-144,0.04,uM,LJP5,2,M12,72,hr,1657,5380,5505,0.9772,0.9673
