Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Timepoint,Timepoint Unit,Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Relative Cell Count,Mean Relative Growth Rate After Treatment
50105-3,BT-20,10133-101-1,Afatinib,0.04,uM,LJP6,72,hr,1657,3980,5505,0.7230,0.6036
50105-3,BT-20,10035-101-1,Sigma A6730,0.04,uM,LJP5,72,hr,1657,4910,5505,0.8918,0.8452
50105-3,BT-20,10011-101-1,Alvocidib,0.04,uM,LJP6,72,hr,1657,2798,5505,0.5083,0.2965
50105-3,BT-20,10004-101-1,AT-7519,0.04,uM,LJP6,72,hr,1657,5115,5505,0.9291,0.8986
50105-3,BT-20,10158-101-1,AZD 5438,0.04,uM,LJP6,72,hr,1657,5047,5505,0.9167,0.8808
50105-3,BT-20,10059-101-1,AZD-6482,0.04,uM,LJP5,72,hr,1657,5328,5505,0.9679,0.9540
50105-3,BT-20,10006-101-1,AZD7762,0.04,uM,LJP6,72,hr,1657,5881,5505,1.0682,1.0975
50105-3,BT-20,10007-101-1,AZD8055,0.04,uM,LJP6,72,hr,1657,2584,5505,0.4695,0.2409
50105-3,BT-20,10164-101-1,AZD8330,0.04,uM,LJP5,72,hr,1657,4063,5505,0.7380,0.6252
50105-3,BT-20,10067-101-1,Barasertib,0.04,uM,LJP5,72,hr,1657,5249,5505,0.9535,0.9335
50105-3,BT-20,10041-101-1,BI-2536,0.04,uM,LJP6,72,hr,1657,1491,5505,0.2709,-0.0432
50105-3,BT-20,10028-102-1,BMS345541,0.04,uM,LJP6,72,hr,1657,5435,5505,0.9872,0.9817
50105-3,BT-20,10132-101-1,SNS-032,0.04,uM,LJP6,72,hr,1657,4651,5505,0.8449,0.7781
50105-3,BT-20,10234-101-1,GDC-0980,0.04,uM,LJP5,72,hr,1657,3126,5505,0.5678,0.3816
50105-3,BT-20,10122-101-1,NVP-AEW541,0.04,uM,LJP5,72,hr,1657,5806,5505,1.0547,1.0782
50105-3,BT-20,10046-101-1,SB590885,0.04,uM,LJP5,72,hr,1657,5376,5505,0.9765,0.9663
50105-3,BT-20,10190-101-1,PIK-93,0.04,uM,LJP5,72,hr,1657,5721,5505,1.0392,1.0560
50105-3,BT-20,10031-101-1,KIN001-043,0.04,uM,LJP6,72,hr,1657,5295,5505,0.9618,0.9453
50105-3,BT-20,10233-101-1,Alpelisib,0.04,uM,LJP5,72,hr,1657,5760,5505,1.0462,1.0661
50105-3,BT-20,10161-101-1,Luminespib,0.04,uM,LJP5,72,hr,1657,1802,5505,0.3273,0.0375
50105-3,BT-20,10045-101-1,A443654,0.04,uM,LJP6,72,hr,1657,2897,5505,0.5262,0.3221
50105-3,BT-20,10063-102-1,OSI-027,0.04,uM,LJP6,72,hr,1657,5567,5505,1.0111,1.0159
