Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value
50029-3,MCF7,10001-101-1,Seliciclib,0.04,uM,LJP5,1,J06,72,hr,1209,4217,3980,1.0595,1.0684
50029-3,MCF7,10001-101-1,Seliciclib,0.04,uM,LJP5,2,J06,72,hr,1209,4768,4252,1.1211,1.1301
50029-3,MCF7,10001-101-1,Seliciclib,0.04,uM,LJP5,3,J06,72,hr,1209,4350,4376,0.9940,0.9936
50029-3,MCF7,10001-101-1,Seliciclib,0.12,uM,LJP5,1,J05,72,hr,1209,4156,3980,1.0442,1.0510
50029-3,MCF7,10001-101-1,Seliciclib,0.12,uM,LJP5,2,J05,72,hr,1209,4246,4252,0.9984,0.9982
50029-3,MCF7,10001-101-1,Seliciclib,0.12,uM,LJP5,3,J05,72,hr,1209,4167,4376,0.9522,0.9479
50029-3,MCF7,10001-101-1,Seliciclib,0.37,uM,LJP5,1,J04,72,hr,1209,3793,3980,0.9530,0.9447
50029-3,MCF7,10001-101-1,Seliciclib,0.37,uM,LJP5,2,J04,72,hr,1209,3832,4252,0.9011,0.8884
50029-3,MCF7,10001-101-1,Seliciclib,0.37,uM,LJP5,3,J04,72,hr,1209,4170,4376,0.9529,0.9487
50029-3,MCF7,10001-101-1,Seliciclib,1.11,uM,LJP5,1,J03,72,hr,1209,3265,3980,0.8203,0.7823
50029-3,MCF7,10001-101-1,Seliciclib,1.11,uM,LJP5,2,J03,72,hr,1209,3208,4252,0.7543,0.7121
50029-3,MCF7,10001-101-1,Seliciclib,1.11,uM,LJP5,3,J03,72,hr,1209,3577,4376,0.8174,0.7940
50029-3,MCF7,10001-101-1,Seliciclib,3.33,uM,LJP5,1,J02,72,hr,1209,2963,3980,0.7445,0.6844
50029-3,MCF7,10001-101-1,Seliciclib,3.33,uM,LJP5,2,J02,72,hr,1209,3003,4252,0.7061,0.6509
50029-3,MCF7,10001-101-1,Seliciclib,3.33,uM,LJP5,3,J02,72,hr,1209,3083,4376,0.7045,0.6559
50029-3,MCF7,10001-101-1,Seliciclib,10,uM,LJP5,1,J01,72,hr,1209,1119,3980,0.2812,-0.0443
50029-3,MCF7,10001-101-1,Seliciclib,10,uM,LJP5,2,J01,72,hr,1209,1273,4252,0.2993,0.0286
50029-3,MCF7,10001-101-1,Seliciclib,10,uM,LJP5,3,J01,72,hr,1209,1277,4376,0.2918,0.0297
50029-3,MCF7,10004-101-1,AT-7519,0.04,uM,LJP6,1,K06,72,hr,1209,1413,3823,0.3696,0.0982
