Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Mean Relative Cell Count,Standard Error of the Mean for Relative Cell Count,Mean Normalized Growth Rate Inhibition Value,Standard Error of the Mean for Normalized Growth Rate Inhibition Value
50029-3,MCF7,10001-101-1,Seliciclib,0.04,uM,LJP5,1.0688,0.0342,1.0746,0.0378
50029-3,MCF7,10001-101-1,Seliciclib,0.12,uM,LJP5,1.0173,0.0133,1.0183,0.0140
50029-3,MCF7,10001-101-1,Seliciclib,0.37,uM,LJP5,0.9303,0.0229,0.9217,0.0275
50029-3,MCF7,10001-101-1,Seliciclib,1.11,uM,LJP5,0.8388,0.0282,0.8177,0.0391
50029-3,MCF7,10001-101-1,Seliciclib,3.33,uM,LJP5,0.7546,0.0326,0.7171,0.0503
50029-3,MCF7,10001-101-1,Seliciclib,10,uM,LJP5,0.2242,0.0363,-0.1017,0.0845
50029-3,MCF7,10004-101-1,AT-7519,0.04,uM,LJP6,0.7674,0.1741,0.6901,0.2394
50029-3,MCF7,10004-101-1,AT-7519,0.12,uM,LJP6,0.3240,0.0882,0.0423,0.1908
50029-3,MCF7,10004-101-1,AT-7519,0.37,uM,LJP6,0.1651,0.0206,-0.2673,0.0365
50029-3,MCF7,10004-101-1,AT-7519,1.11,uM,LJP6,0.1537,0.0321,-0.3020,0.0570
50029-3,MCF7,10004-101-1,AT-7519,3.33,uM,LJP6,0.1446,0.0393,-0.3299,0.0790
50029-3,MCF7,10004-101-1,AT-7519,10,uM,LJP6,0.1184,0.0342,-0.4038,0.0733
50029-3,MCF7,10006-101-1,AZD7762,0.04,uM,LJP6,0.4415,0.0382,0.2697,0.0363
50029-3,MCF7,10006-101-1,AZD7762,0.12,uM,LJP6,0.3847,0.0369,0.1756,0.0355
50029-3,MCF7,10006-101-1,AZD7762,0.37,uM,LJP6,0.3407,0.0314,0.0985,0.0278
50029-3,MCF7,10006-101-1,AZD7762,1.11,uM,LJP6,0.2875,0.0230,-0.0004,0.0178
50029-3,MCF7,10006-101-1,AZD7762,3.33,uM,LJP6,0.2366,0.0180,-0.1033,0.0084
50029-3,MCF7,10006-101-1,AZD7762,10,uM,LJP6,0.1614,0.0142,-0.2757,0.0239
50029-3,MCF7,10007-101-1,AZD8055,0.04,uM,LJP6,0.3037,0.0098,0.0296,0.0199
50029-3,MCF7,10007-101-1,AZD8055,0.12,uM,LJP6,0.2860,0.0205,-0.0035,0.0256
50029-3,MCF7,10007-101-1,AZD8055,0.37,uM,LJP6,0.2802,0.0191,-0.0152,0.0369
50029-3,MCF7,10007-101-1,AZD8055,1.11,uM,LJP6,0.2836,0.0185,-0.0093,0.0417
50029-3,MCF7,10007-101-1,AZD8055,3.33,uM,LJP6,0.2704,0.0185,-0.0344,0.0389
50029-3,MCF7,10007-101-1,AZD8055,10,uM,LJP6,0.1925,0.0520,-0.2156,0.1340
50029-3,MCF7,10008-101-1,Sorafenib,0.04,uM,LJP6,0.9522,0.0111,0.9455,0.0131
50029-3,MCF7,10008-101-1,Sorafenib,0.12,uM,LJP6,0.9208,0.0268,0.9096,0.0326
50029-3,MCF7,10008-101-1,Sorafenib,0.37,uM,LJP6,0.9423,0.0170,0.9364,0.0162
50029-3,MCF7,10008-101-1,Sorafenib,1.11,uM,LJP6,0.9159,0.0386,0.9060,0.0419
50029-3,MCF7,10008-101-1,Sorafenib,3.33,uM,LJP6,0.8707,0.0463,0.8517,0.0516
50029-3,MCF7,10008-101-1,Sorafenib,10,uM,LJP6,0.4292,0.0545,0.2474,0.0712
50029-3,MCF7,10009-101-1,CP466722,0.04,uM,LJP5,1.0852,0.0263,1.0900,0.0295
50029-3,MCF7,10009-101-1,CP466722,0.12,uM,LJP5,1.0444,0.0259,1.0446,0.0263
50029-3,MCF7,10009-101-1,CP466722,0.37,uM,LJP5,1.0429,0.0442,1.0458,0.0477
50029-3,MCF7,10009-101-1,CP466722,1.11,uM,LJP5,1.0062,0.0540,1.0052,0.0603
50029-3,MCF7,10009-101-1,CP466722,3.33,uM,LJP5,0.9299,0.0669,0.9177,0.0780
50029-3,MCF7,10009-101-1,CP466722,10,uM,LJP5,0.6178,0.1799,0.4994,0.2388
