Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Replicate,Seeding Density,IC50,EC50,Emax,Einf,IC Hill Coefficient,IC_AUC,IC Curve Fit,IC r2,GR50,GEC50,GRmax,GRinf,GR Hill Coefficient,GR_AOC,GR Curve Fit,GR r2
50029-3,MCF7,10024-101-1,NVP-TAE684,1,156.25,0.1519,0.0644,0.3193,0.3262,1.2302,0.6033,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.6193,0.065,0.0749,-0.1298,-0.1020,1.3170,0.6318,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.6437
50029-3,MCF7,10024-101-1,NVP-TAE684,1,312.50,0.4509,0.2457,0.2754,0.2733,1.3021,0.6976,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9794,0.2018,0.2687,-0.2296,-0.2307,1.3254,0.5092,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9843
50029-3,MCF7,10024-101-1,NVP-TAE684,1,625.00,0.2192,0.099,0.2678,0.2470,0.8569,0.5936,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.938,0.0695,0.1098,-0.2274,-0.2493,0.8837,0.6602,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9391
50029-3,MCF7,10024-101-1,NVP-TAE684,1,1250.00,0.1798,0.1022,0.2463,0.2465,1.2012,0.6100,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.993,0.0842,0.1223,-0.2788,-0.2814,1.1945,0.6383,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9948
50029-3,MCF7,10024-101-1,NVP-TAE684,1,2500.00,0.1816,0.1092,0.2284,0.2285,1.2011,0.6053,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9869,0.0998,0.1392,-0.2196,-0.2296,1.1347,0.5990,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9911
50029-3,MCF7,10024-101-1,NVP-TAE684,1,5000.00,0.2805,0.1563,0.2443,0.2404,1.1203,0.6418,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9951,0.1732,0.2149,-0.1027,-0.1268,1.0475,0.4927,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9959
50029-3,MCF7,10049-101-1,PLX-4720,1,156.25,inf,inf,1.0500,1.0500,0.0000,0.9608,flat fit: x = Einf,0.0284,inf,inf,1.0500,1.0500,0.0000,0.0701,flat fit: x = Einf,0.0392
50029-3,MCF7,10049-101-1,PLX-4720,1,312.50,inf,inf,1.0407,1.0407,0.0000,1.0433,flat fit: x = Einf,-7.967,inf,inf,1.0277,1.0277,0.0000,-0.0417,flat fit: x = Einf,-5.0111
50029-3,MCF7,10049-101-1,PLX-4720,1,625.00,inf,inf,0.9301,0.9301,0.0000,1.0366,flat fit: x = Einf,-0.2052,inf,inf,0.9279,0.9279,0.0000,-0.0383,flat fit: x = Einf,-0.2419
50029-3,MCF7,10049-101-1,PLX-4720,1,1250.00,inf,inf,0.8833,0.8833,0.0000,1.0273,flat fit: x = Einf,0.3821,25.8741,32.2082,0.8293,-0.9944,5.0000,-0.0278,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.5901
50029-3,MCF7,10049-101-1,PLX-4720,1,2500.00,inf,inf,0.8932,0.8932,0.0000,1.0260,flat fit: x = Einf,0.3153,26.6745,33.1721,0.8514,-0.9872,5.0000,-0.0235,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.5115
50029-3,MCF7,10049-101-1,PLX-4720,1,5000.00,30.4154,27.315,0.8616,0.2079,5.0000,1.0058,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.6868,27.4593,28.3756,0.8377,-0.0892,5.0000,-0.0042,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.7273
50029-3,MCF7,10071-101-1,Palbociclib,1,156.25,inf,inf,1.0500,1.0500,0.0000,0.7330,flat fit: x = Einf,0.1891,inf,inf,0.9981,0.9981,0.0000,0.4897,flat fit: x = Einf,0.2058
50029-3,MCF7,10071-101-1,Palbociclib,1,312.50,inf,0.0296,0.6310,0.6406,4.9997,0.7245,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.8126,0.0478,0.0293,0.4426,0.4563,4.9581,0.4225,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.7762
50029-3,MCF7,10071-101-1,Palbociclib,1,625.00,inf,0.0495,0.7935,0.7081,1.6495,0.7940,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.7228,0.0363,0.0274,0.6326,0.3767,4.9999,0.5066,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.5767
50029-3,MCF7,10071-101-1,Palbociclib,1,1250.00,inf,0.1193,0.5921,0.5754,2.4314,0.7296,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9432,0.0996,0.0981,0.0619,0.0138,1.9095,0.6527,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9143
50029-3,MCF7,10071-101-1,Palbociclib,1,2500.00,inf,0.1215,0.5333,0.5268,1.3859,0.7213,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9651,0.1255,0.111,0.0927,0.0729,1.2862,0.5605,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9546
50029-3,MCF7,10071-101-1,Palbociclib,1,5000.00,16.6145,0.0839,0.4902,0.4728,0.5507,0.6828,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9227,0.4297,0.103,0.2967,0.2700,0.5435,0.4250,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9285
50029-3,MCF7,10099-101-1,Nilotinib,1,156.25,inf,inf,1.0500,1.0500,0.0000,0.9881,flat fit: x = Einf,-0.0071,inf,inf,1.0500,1.0500,0.0000,0.0329,flat fit: x = Einf,-0.0116
50029-3,MCF7,10099-101-1,Nilotinib,1,312.50,inf,inf,1.0500,1.0500,0.0000,1.0475,flat fit: x = Einf,-65.5018,inf,inf,1.0500,1.0500,0.0000,-0.0500,flat fit: x = Einf,-inf
50029-3,MCF7,10099-101-1,Nilotinib,1,625.00,inf,inf,1.0500,1.0500,0.0000,1.0086,flat fit: x = Einf,-0.0479,inf,inf,1.0500,1.0500,0.0000,-0.0024,flat fit: x = Einf,0.0561
50029-3,MCF7,10099-101-1,Nilotinib,1,1250.00,inf,inf,0.8215,0.8215,0.0000,0.9811,flat fit: x = Einf,0.361,inf,inf,0.7629,0.7629,0.0000,0.0364,flat fit: x = Einf,0.4077
50029-3,MCF7,10099-101-1,Nilotinib,1,2500.00,inf,2.847,0.4409,0.6468,5.0000,0.9187,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.7033,6.6534,2.945,0.1877,0.4915,5.0000,0.1226,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.6917
