Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol 1 Concentration,Small Mol 1 Conc Unit,Small Molecule 2 HMS LINCS ID,Small Molecule 2 Name,Small Mol 2 Concentration,Small Mol 2 Conc Unit,Biological Replicate,Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Normalized Growth Rate Inhibition Value
50105-3,BT-20,10056-101-1,Selumetinib,0.1235,uM,,,0,uM,1,2751,4553,4801,0.8711
50105-3,BT-20,10056-101-1,Selumetinib,0.3704,uM,,,0,uM,1,2751,4909,4801,1.0587
50105-3,BT-20,10056-101-1,Selumetinib,1.1111,uM,,,0,uM,1,2751,3748,4801,0.4564
50105-3,BT-20,10056-101-1,Selumetinib,3.3333,uM,,,0,uM,1,2751,4567,4801,0.8932
50105-3,BT-20,10056-101-1,Selumetinib,10,uM,,,0,uM,1,2751,4311,4801,0.7642
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,,,0,uM,1,2751,4816,4801,1.0168
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10056-101-1,Selumetinib,0.1235,uM,1,2751,4338,4801,0.7778
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10056-101-1,Selumetinib,0.3704,uM,1,2751,4081,4801,0.6289
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10056-101-1,Selumetinib,1.1111,uM,1,2751,3780,4801,0.4962
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10056-101-1,Selumetinib,3.3333,uM,1,2751,3605,4801,0.4057
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10056-101-1,Selumetinib,10,uM,1,2751,3090,4801,0.1513
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10051-104-1,Lapatinib,1.1111,uM,1,2751,4845,4801,1.0303
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10051-104-1,Lapatinib,1.9245,uM,1,2751,5357,4801,1.3062
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10051-104-1,Lapatinib,3.3333,uM,1,2751,5404,4801,1.3260
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10051-104-1,Lapatinib,5.7735,uM,1,2751,5100,4801,1.1576
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10051-104-1,Lapatinib,10,uM,1,2751,3882,4801,0.5424
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,2751,5971,4801,1.6687
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10024-101-1,NVP-TAE684,1.1111,uM,1,2751,5091,4801,1.1808
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,2751,2023,4801,-0.3149
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10018-101-1,Neratinib,0.1235,uM,1,2751,4209,4801,0.7136
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10018-101-1,Neratinib,0.2138,uM,1,2751,3932,4801,0.5761
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10018-101-1,Neratinib,0.3704,uM,1,2751,3694,4801,0.4474
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10018-101-1,Neratinib,0.6415,uM,1,2751,3260,4801,0.2364
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10018-101-1,Neratinib,1.1111,uM,1,2751,3076,4801,0.1505
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10018-101-1,Neratinib,1.9245,uM,1,2751,2860,4801,0.0520
