Small Molecule HMS LINCS ID,Small Molecule Name,Antibody HMS LINCS ID,Antibody Name,Perturbagen Target,Perturbagen Class,GR50 lower quartile,GR50 median,GR50 upper quartile,GRmax lower quartile,GRmax median,GRmax upper quartile,GRinf lower quartile,GRinf median,GRinf upper quartile,Hill Coefficient lower quartile,Hill Coefficient median,Hill Coefficient upper quartile,GR_AOC lower quartile,GR_AOC median,GR_AOC upper quartile,GEC50 lower quartile,GEC50 median,GEC50 upper quartile
10035-109-2,Sigma A6730,,,AKT,AKT,2.0327,6.5660,11.2198,-0.9178,-0.8320,-0.6777,-1.0000,-1.0000,-0.9546,0.9310,1.3794,2.0044,0.2439,0.2875,0.4042,6.3004,13.6236,19.0461
10280-101-1,Triciribine,,,AKT,AKT,0.1497,1.0069,10.2321,-0.2208,0.0730,0.3595,-0.6783,-0.3270,0.0049,0.3693,0.5173,0.9769,0.1961,0.3180,0.4712,0.2958,1.3169,18.2553
10223-101-2,AG1478,,,EGFR,ErbB,8.7673,51.6075,100.0000,-0.0710,0.2684,0.6341,-0.3109,-0.0273,0.4206,0.8939,1.7205,2.6373,0.0902,0.1531,0.2936,3.7212,36.6666,94.4655
,,80078-1,Cetuximab,EGFR,ErbB,100.0000,100.0000,100.0000,0.7284,0.8755,0.9754,0.5964,0.8555,0.9754,0.0000,0.0000,0.7916,-0.0099,0.0234,0.0674,3.7461,100.0000,100.0000
10097-102-3,Erlotinib,,,EGFR,ErbB,6.4716,35.2468,100.0000,0.0317,0.4006,0.6354,-0.8374,-0.1704,0.3788,0.3155,0.7139,1.8126,0.0351,0.1228,0.2396,13.2839,41.2968,100.0000
10098-101-2,Gefitinib,,,EGFR,ErbB,6.6704,12.9191,28.3915,-0.2671,0.0424,0.3018,-0.8465,-0.5620,-0.2259,0.9170,1.3719,2.5436,0.0767,0.1382,0.2408,9.0805,26.2291,41.5832
10133-101-2,Afatinib,,,EGFR/HER2,ErbB,0.1253,1.5517,2.4757,-0.9553,-0.9200,-0.8460,-1.0000,-1.0000,-0.9391,0.5080,1.0283,1.7263,0.4620,0.5435,0.6679,1.1116,3.3143,4.9447
10051-999-3,Lapatinib,,,EGFR/HER2,ErbB,31.2806,100.0000,100.0000,0.4954,0.7950,0.9113,0.2428,0.7519,0.9066,0.0000,0.2457,1.3492,0.0247,0.0703,0.1302,1.5972,63.5403,100.0000
10263-101-1,LBH589,,,HDAC,HDAC,0.0792,0.1432,0.2719,-0.9159,-0.8072,-0.7128,-0.9155,-0.7955,-0.6832,1.1720,1.5004,2.1649,0.5471,0.6739,0.7846,0.1472,0.2600,0.4626
10270-101-1,Oxamflatin,,,HDAC,HDAC,0.6664,0.9513,1.6592,-0.9525,-0.8858,-0.8199,-1.0000,-0.9857,-0.8929,1.0334,1.2610,1.4776,0.4375,0.5175,0.6006,1.6681,2.6703,3.8183
