Cell HMS LINCS ID,Cell Name,Small Molecule 1 HMS LINCS ID,Small Molecule 1 Name,Small Molecule 2 HMS LINCS ID,Small Molecule 2 Name,Small Mol 1 Concentration,Small Mol 2 Concentration,Small Mol Conc Unit,Time Point,Time Point Unit,Replicate,Total Number of Cells (Nuclei),Number of Apoptotic Cells,Relative Viability,Mean Relative Viability,Apoptosis Fraction,Mean Apoptosis Fraction
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.000,0.000,uM,72,hr,1,19971,929,0.9642,1.0000,0.0465,0.0504
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.000,0.000,uM,72,hr,2,20940,1098,1.0048,1.0000,0.0524,0.0504
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.000,0.000,uM,72,hr,3,21481,1121,1.0310,1.0000,0.0522,0.0504
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.000,0.316,uM,72,hr,1,5949,318,0.2851,0.2714,0.0535,0.0654
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.000,0.316,uM,72,hr,2,5334,374,0.2512,0.2714,0.0701,0.0654
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.000,0.316,uM,72,hr,3,5915,430,0.2777,0.2714,0.0727,0.0654
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.000,1.000,uM,72,hr,1,3016,167,0.1443,0.1539,0.0554,0.0544
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.000,1.000,uM,72,hr,2,3284,186,0.1569,0.1539,0.0566,0.0544
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.000,1.000,uM,72,hr,3,3339,171,0.1604,0.1539,0.0512,0.0544
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.000,3.160,uM,72,hr,1,4220,165,0.2053,0.1658,0.0391,0.0359
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.000,3.160,uM,72,hr,2,3068,107,0.1499,0.1658,0.0349,0.0359
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.000,3.160,uM,72,hr,3,2902,98,0.1420,0.1658,0.0338,0.0359
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.100,0.000,uM,72,hr,1,7790,111,0.3888,0.4180,0.0142,0.0173
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.100,0.000,uM,72,hr,2,8744,163,0.4345,0.4180,0.0186,0.0173
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.100,0.000,uM,72,hr,3,8666,164,0.4305,0.4180,0.0189,0.0173
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.100,0.316,uM,72,hr,1,3389,65,0.1683,0.1709,0.0192,0.0246
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.100,0.316,uM,72,hr,2,3458,92,0.1704,0.1709,0.0266,0.0246
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.100,0.316,uM,72,hr,3,3533,99,0.1739,0.1709,0.0280,0.0246
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.100,1.000,uM,72,hr,1,2680,77,0.1318,0.1200,0.0287,0.0313
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.100,1.000,uM,72,hr,2,2276,92,0.1106,0.1200,0.0404,0.0313
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.100,1.000,uM,72,hr,3,2383,59,0.1177,0.1200,0.0248,0.0313
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.100,3.160,uM,72,hr,1,2327,89,0.1133,0.0917,0.0382,0.0407
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.100,3.160,uM,72,hr,2,1659,68,0.0806,0.0917,0.0410,0.0407
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.100,3.160,uM,72,hr,3,1677,72,0.0813,0.0917,0.0429,0.0407
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.316,0.000,uM,72,hr,1,5034,110,0.2493,0.2652,0.0219,0.0225
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.316,0.000,uM,72,hr,2,5304,139,0.2615,0.2652,0.0262,0.0225
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.316,0.000,uM,72,hr,3,5737,112,0.2848,0.2652,0.0195,0.0225
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.316,0.316,uM,72,hr,1,1112,52,0.0537,0.0545,0.0468,0.0467
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.316,0.316,uM,72,hr,2,1221,62,0.0587,0.0545,0.0508,0.0467
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.316,0.316,uM,72,hr,3,1056,45,0.0512,0.0545,0.0426,0.0467
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.316,1.000,uM,72,hr,1,1292,66,0.0621,0.0577,0.0511,0.0487
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.316,1.000,uM,72,hr,2,1173,45,0.0571,0.0577,0.0384,0.0487
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.316,1.000,uM,72,hr,3,1130,64,0.0540,0.0577,0.0566,0.0487
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.316,3.160,uM,72,hr,1,1388,90,0.0657,0.0636,0.0648,0.0545
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.316,3.160,uM,72,hr,2,1396,73,0.0670,0.0636,0.0523,0.0545
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.316,3.160,uM,72,hr,3,1204,56,0.0581,0.0636,0.0465,0.0545
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,1.000,0.000,uM,72,hr,1,3774,124,0.1848,0.1953,0.0329,0.0349
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,1.000,0.000,uM,72,hr,2,3957,137,0.1934,0.1953,0.0346,0.0349
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,1.000,0.000,uM,72,hr,3,4259,158,0.2077,0.1953,0.0371,0.0349
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,1.000,0.316,uM,72,hr,1,982,130,0.0431,0.0433,0.1324,0.1382
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,1.000,0.316,uM,72,hr,2,1035,135,0.0456,0.0433,0.1304,0.1382
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,1.000,0.316,uM,72,hr,3,962,146,0.0413,0.0433,0.1518,0.1382
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,1.000,1.000,uM,72,hr,1,1021,134,0.0449,0.0398,0.1312,0.1218
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,1.000,1.000,uM,72,hr,2,954,137,0.0414,0.0398,0.1436,0.1218
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,1.000,1.000,uM,72,hr,3,717,65,0.0330,0.0398,0.0907,0.1218
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,1.000,3.160,uM,72,hr,1,1188,84,0.0559,0.0490,0.0707,0.0884
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,1.000,3.160,uM,72,hr,2,967,88,0.0445,0.0490,0.0910,0.0884
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,1.000,3.160,uM,72,hr,3,1023,106,0.0464,0.0490,0.1036,0.0884
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,3.160,0.000,uM,72,hr,1,3477,209,0.1655,0.1621,0.0601,0.0672
