Cell HMS LINCS ID,Cell Name,Small Molecule 1 HMS LINCS ID,Small Molecule 1 Name,Small Molecule 2 HMS LINCS ID,Small Molecule 2 Name,Small Molecule 3 HMS LINCS ID,Small Molecule 3 Name,Small Mol 1 Concentration,Small Mol 2 Concentration,Small Mol 3 Concentration,Small Mol Conc Unit,Time Point,Time Point Unit,Replicate,Total Number of Cells (Nuclei),Number of Apoptotic Cells,Relative Viability,Mean Relative Viability,Apoptosis Fraction,Mean Apoptosis Fraction
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.0000,0.0000,0.0000,uM,72,hr,1,15785,755,0.9659,1.0000,0.0478,0.0508
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.0000,0.0000,0.0000,uM,72,hr,2,15978,849,0.9722,1.0000,0.0531,0.0508
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.0000,0.0000,0.0000,uM,72,hr,3,17422,897,1.0619,1.0000,0.0515,0.0508
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.0000,0.0000,0.3160,uM,72,hr,1,3999,254,0.2407,0.2809,0.0635,0.0601
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.0000,0.0000,0.3160,uM,72,hr,2,4717,279,0.2852,0.2809,0.0591,0.0601
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.0000,0.0000,0.3160,uM,72,hr,3,5232,302,0.3168,0.2809,0.0577,0.0601
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.0000,0.0000,1.0000,uM,72,hr,1,2100,97,0.1287,0.1268,0.0462,0.0491
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.0000,0.0000,1.0000,uM,72,hr,2,2015,111,0.1224,0.1268,0.0551,0.0491
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.0000,0.0000,1.0000,uM,72,hr,3,2110,97,0.1294,0.1268,0.0460,0.0491
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.0000,0.0000,3.1600,uM,72,hr,1,3039,126,0.1872,0.1595,0.0415,0.0410
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.0000,0.0000,3.1600,uM,72,hr,2,2717,113,0.1673,0.1595,0.0416,0.0410
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.0000,0.0000,3.1600,uM,72,hr,3,2009,80,0.1240,0.1595,0.0398,0.0410
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.1000,0.0100,0.0000,uM,72,hr,1,2248,244,0.1288,0.1325,0.1085,0.1040
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.1000,0.0100,0.0000,uM,72,hr,2,2377,236,0.1376,0.1325,0.0993,0.1040
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.1000,0.0100,0.0000,uM,72,hr,3,2277,237,0.1311,0.1325,0.1041,0.1040
