Cell HMS LINCS ID,Cell Name,Small Molecule 1 HMS LINCS ID,Small Molecule 1 Name,Small Molecule 2 HMS LINCS ID,Small Molecule 2 Name,Small Mol 1 Concentration,Small Mol 2 Concentration,Small Mol Conc Unit,Time Point,Time Point Unit,Replicate,Primary Antibody (488) HMS LINCS ID,Primary Antibody (488) Name,Secondary Antibody (488) HMS LINCS ID,Secondary Antibody (488) Name,Protein Detected (488) HMS LINCS ID,Protein Detected (488) Name,Mean Fluorescence Intensity (488),Primary Antibody (568) HMS LINCS ID,Primary Antibody (568) Name,Secondary Antibody (568) HMS LINCS ID,Secondary Antibody (568) Name,Protein Detected (568) HMS LINCS ID,Protein Detected (568) Name,Mean Fluorescence Intensity (568),Primary Antibody (647) HMS LINCS ID,Primary Antibody (647) Name,Secondary Antibody (647) HMS LINCS ID,Secondary Antibody (647) Name,Protein Detected (647) HMS LINCS ID,Protein Detected (647) Name,Mean Fluorescence Intensity (647),Plate Name,Plate Well
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,2722.08,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),510.86,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,141.68,A375-P1,B10
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.000,3.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,2000.92,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),389.89,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,116.46,A375-P1,B11
50060-2,A-375,10068-101-1,Vemurafenib,,,0.000,,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,3094.28,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),552.89,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,593.97,A375-P1,B2
50060-2,A-375,10068-101-1,Vemurafenib,,,0.000,,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,2981.15,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),513.45,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,573.44,A375-P1,B3
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,0.000,0.200,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,521.55,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),174.42,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,1215.18,A375-P1,B4
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,0.000,0.600,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,496.87,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),163.74,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,1256.19,A375-P1,B5
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,2523.19,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),469.18,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,305.98,A375-P1,B6
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.000,3.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,1985.46,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),359.03,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,315.78,A375-P1,B7
50060-2,A-375,10068-101-1,Vemurafenib,10072-101-2,PF562271,0.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,2497.37,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),448.69,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,257.39,A375-P1,B8
50060-2,A-375,10068-101-1,Vemurafenib,10072-101-2,PF562271,0.000,3.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,1339.47,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),253.18,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,154.21,A375-P1,B9
