Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Normalized Growth Rate Inhibition Value,Assay Plate,Assay Well,Biological Replicate
50583-4,MCF 10A,10233-101-4,Alpelisib,0.0033333,636,10248,10885,0.9708,1,H18,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.0033333,636,11935,10885,1.0454,1,M07,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.01,636,10843,10885,0.9981,1,H19,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.01,636,10932,10885,1.0021,1,J03,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.031667,636,10906,10885,1.0009,1,D11,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.031667,636,10971,10885,1.0038,1,K22,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.1,636,10275,10885,0.9720,1,F06,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.1,636,10286,10885,0.9725,1,M16,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.31623,636,10106,10885,0.9641,1,I07,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.31623,636,9653,10885,0.9422,1,N11,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.56234,636,8150,10885,0.8636,1,L14,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.56234,636,9118,10885,0.9153,1,M04,3
50583-4,MCF 10A,10233-101-4,Alpelisib,1,636,8172,10885,0.8648,1,I03,3
50583-4,MCF 10A,10233-101-4,Alpelisib,1,636,7629,10885,0.8338,1,J17,3
50583-4,MCF 10A,10233-101-4,Alpelisib,1.7783,636,6874,10885,0.7877,1,F10,3
50583-4,MCF 10A,10233-101-4,Alpelisib,1.7783,636,7065,10885,0.7997,1,G17,3
50583-4,MCF 10A,10233-101-4,Alpelisib,3.1623,636,5723,10885,0.7095,1,G10,3
50583-4,MCF 10A,10233-101-4,Alpelisib,3.1623,636,5799,10885,0.7150,1,K12,3
50583-4,MCF 10A,10233-101-4,Alpelisib,5.6234,636,4142,10885,0.5798,1,H16,3
50583-4,MCF 10A,10233-101-4,Alpelisib,5.6234,636,4991,10885,0.6534,1,J14,3
50583-4,MCF 10A,10233-101-4,Alpelisib,10,636,3923,10885,0.5590,1,C05,3
50583-4,MCF 10A,10233-101-4,Alpelisib,10,636,2677,10885,0.4202,1,C20,3
50583-4,MCF 10A,10233-101-4,Alpelisib,10,636,2376,10885,0.3794,1,F22,3
50583-4,MCF 10A,10233-101-4,Alpelisib,10,636,3017,10885,0.4622,1,H04,3
50583-4,MCF 10A,10233-101-4,Alpelisib,10,636,3773,10885,0.5442,1,I04,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0010833,636,10444,10885,0.9799,1,D09,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0010833,636,9525,10885,0.9359,1,K18,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0033333,636,9643,10885,0.9417,1,L18,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0033333,636,10971,10885,1.0038,1,M15,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.01,636,10626,10885,0.9883,1,E09,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.01,636,10721,10885,0.9926,1,J07,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.018333,636,9354,10885,0.9273,1,C22,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.018333,636,9381,10885,0.9287,1,G16,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.031667,636,9919,10885,0.9551,1,I15,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.031667,636,8248,10885,0.8690,1,M03,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.056667,636,7384,10885,0.8192,1,D14,3
