Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Time Point (hr),Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value,Assay Plate,Assay Well
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,876,867,1.0095,1.1150,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,877,867,1.0107,1.1293,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,896,867,1.0326,1.4166,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,975,867,1.1236,2.9808,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,835,867,0.9623,0.5935,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,901,867,1.0383,1.4974,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,823,867,0.9484,0.4629,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,739,867,0.8516,-0.2255,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,835,867,0.9623,0.5935,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,763,867,0.8793,-0.0646,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,837,867,0.9646,0.6161,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,885,867,1.0199,1.2466,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,952,867,1.0971,2.4572,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,940,867,1.0833,2.2077,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,965,956,1.0090,1.0588,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,976,956,1.0205,1.1356,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,968,956,1.0122,1.0796,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,1111,956,1.1617,2.2453,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,901,956,0.9421,0.6495,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,983,956,1.0278,1.1855,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,942,956,0.9850,0.9045,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,818,956,0.8553,0.2072,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,902,956,0.9431,0.6555,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,874,956,0.9139,0.4951,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,946,956,0.9892,0.9308,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,969,956,1.0132,1.0865,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,1080,956,1.1293,1.9618,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,1053,956,1.1010,1.7293,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1096,1045,1.0487,1.2295,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1063,1045,1.0171,1.0790,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1053,1045,1.0075,1.0346,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1185,1045,1.1338,1.6649,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,988,1045,0.9453,0.7589,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1058,1045,1.0123,1.0567,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1006,1045,0.9626,0.8330,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,897,1045,0.8583,0.4105,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,993,1045,0.9501,0.7793,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,958,1045,0.9166,0.6393,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1020,1045,0.9760,0.8918,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1072,1045,1.0257,1.1195,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1191,1045,1.1396,1.6958,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1159,1045,1.1090,1.5332,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1189,1138,1.0444,1.1608,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1154,1138,1.0136,1.0488,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1126,1138,0.9890,0.9610,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1262,1138,1.1085,1.4029,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1089,1138,0.9565,0.8477,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1159,1138,1.0180,1.0646,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1112,1138,0.9767,0.9178,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,989,1138,0.8687,0.5562,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1081,1138,0.9495,0.8235,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1032,1138,0.9065,0.6788,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1108,1138,0.9732,0.9055,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1171,1138,1.0285,1.1029,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1289,1138,1.1322,1.4953,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1265,1138,1.1111,1.4131,MN20160304_L01,K16
