Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Time Point (hr),Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Relative Cell Count,Mean Normalized Growth Rate Inhibition Value
51124-1,MCF 10A-H2B-mCherry,,,0,2.30,56.33,289,255,1.1363,0.5556
51124-1,MCF 10A-H2B-mCherry,,,0,4.00,56.33,332,303,1.0950,0.5104
51124-1,MCF 10A-H2B-mCherry,,,0,5.70,56.33,374,342,1.0928,0.4933
51124-1,MCF 10A-H2B-mCherry,,,0,7.40,56.33,419,385,1.0888,0.4805
51124-1,MCF 10A-H2B-mCherry,,,0,9.10,56.33,461,424,1.0884,0.4847
51124-1,MCF 10A-H2B-mCherry,,,0,10.80,56.33,500,465,1.0744,0.5066
51124-1,MCF 10A-H2B-mCherry,,,0,12.50,56.33,542,510,1.0621,0.5620
51124-1,MCF 10A-H2B-mCherry,,,0,14.20,56.33,625,634,0.9857,0.6573
51124-1,MCF 10A-H2B-mCherry,,,0,15.90,56.33,692,726,0.9536,0.6789
51124-1,MCF 10A-H2B-mCherry,,,0,17.60,56.33,796,868,0.9158,0.7069
51124-1,MCF 10A-H2B-mCherry,,,0,19.30,56.33,959,1090,0.8812,0.7299
51124-1,MCF 10A-H2B-mCherry,,,0,21.00,56.33,1107,1286,0.8614,0.7525
51124-1,MCF 10A-H2B-mCherry,,,0,22.80,56.33,1239,1460,0.8481,0.7653
51124-1,MCF 10A-H2B-mCherry,,,0,24.50,56.33,1367,1615,0.8452,0.7770
51124-1,MCF 10A-H2B-mCherry,,,0,26.20,56.33,1489,1764,0.8428,0.7848
51124-1,MCF 10A-H2B-mCherry,,,0,27.90,56.33,1609,1907,0.8422,0.7978
51124-1,MCF 10A-H2B-mCherry,,,0,29.60,56.33,1734,2050,0.8442,0.8053
51124-1,MCF 10A-H2B-mCherry,,,0,31.30,56.33,1902,2241,0.8473,0.8174
51124-1,MCF 10A-H2B-mCherry,,,0,33.00,56.33,2105,2479,0.8476,0.8278
51124-1,MCF 10A-H2B-mCherry,,,0,34.70,56.33,2306,2720,0.8463,0.8351
51124-1,MCF 10A-H2B-mCherry,,,0,36.40,56.33,2505,2958,0.8453,0.8396
51124-1,MCF 10A-H2B-mCherry,,,0,38.10,56.33,2686,3168,0.8461,0.8464
51124-1,MCF 10A-H2B-mCherry,,,0,39.80,56.33,2868,3393,0.8436,0.8496
51124-1,MCF 10A-H2B-mCherry,,,0,41.50,56.33,3091,3667,0.8413,0.8530
51124-1,MCF 10A-H2B-mCherry,,,0,43.20,56.33,3321,3942,0.8407,0.8572
51124-1,MCF 10A-H2B-mCherry,,,0,44.90,56.33,3562,4212,0.8439,0.8637
51124-1,MCF 10A-H2B-mCherry,,,0,46.60,56.33,3835,4538,0.8434,0.8645
51124-1,MCF 10A-H2B-mCherry,,,0,48.30,56.33,4128,4875,0.8453,0.8688
51124-1,MCF 10A-H2B-mCherry,,,0,50.00,56.33,4403,5234,0.8396,0.8691
51124-1,MCF 10A-H2B-mCherry,,,0,51.70,56.33,4668,5553,0.8389,0.8698
51124-1,MCF 10A-H2B-mCherry,,,0,53.40,56.33,4892,5809,0.8405,0.8734
51124-1,MCF 10A-H2B-mCherry,,,0,55.10,56.33,5132,6087,0.8414,0.8742
51124-1,MCF 10A-H2B-mCherry,,,0,56.80,56.33,5365,6354,0.8430,0.8743
51124-1,MCF 10A-H2B-mCherry,,,0,58.50,56.33,5583,6599,0.8448,0.8739
51124-1,MCF 10A-H2B-mCherry,,,0,60.20,56.33,5823,6852,0.8490,0.8748
51124-1,MCF 10A-H2B-mCherry,,,0,61.90,56.33,6033,7075,0.8518,0.8715
51124-1,MCF 10A-H2B-mCherry,,,0,63.60,56.33,6263,7339,0.8525,0.8659
51124-1,MCF 10A-H2B-mCherry,,,0,65.30,56.33,6476,7570,0.8547,0.8595
51124-1,MCF 10A-H2B-mCherry,,,0,67.00,56.33,6647,7731,0.8599,0.8618
51124-1,MCF 10A-H2B-mCherry,,,0,68.70,56.33,6802,7933,0.8579,0.8613
51124-1,MCF 10A-H2B-mCherry,,,0,70.50,56.33,6856,7990,0.8593,0.8459
51124-1,MCF 10A-H2B-mCherry,,,0,72.20,56.33,6924,8053,0.8615,0.8409
51124-1,MCF 10A-H2B-mCherry,,,0,73.90,56.33,7010,8150,0.8628,0.8540
51124-1,MCF 10A-H2B-mCherry,,,0,75.60,56.33,6957,7992,0.8718,0.8504
51124-1,MCF 10A-H2B-mCherry,,,0,77.30,56.33,7061,8135,0.8703,0.8386
51124-1,MCF 10A-H2B-mCherry,,,0,79.00,56.33,7033,8048,0.8758,0.8331
51124-1,MCF 10A-H2B-mCherry,,,0,80.70,56.33,7005,7920,0.8863,0.8302
51124-1,MCF 10A-H2B-mCherry,,,0,82.40,56.33,6989,7810,0.8961,0.8248
51124-1,MCF 10A-H2B-mCherry,,,0,84.10,56.33,6938,7655,0.9066,0.8253
51124-1,MCF 10A-H2B-mCherry,,,0,85.80,56.33,6932,7583,0.9146,0.8231
51124-1,MCF 10A-H2B-mCherry,,,0,87.50,56.33,6823,7334,0.9303,0.8189
51124-1,MCF 10A-H2B-mCherry,,,0,89.20,56.33,6825,7229,0.9439,0.8119
51124-1,MCF 10A-H2B-mCherry,,,0,90.90,56.33,6843,7174,0.9538,0.7976
51124-1,MCF 10A-H2B-mCherry,,,0,92.60,56.33,6855,7065,0.9702,0.7980
51124-1,MCF 10A-H2B-mCherry,,,0,94.30,56.33,6846,6924,0.9886,0.7945
51124-1,MCF 10A-H2B-mCherry,,,0,95.70,27.76,6674,6712,0.9942,0.7806
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,2.30,56.33,283,255,1.1029,0.6051
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,4.00,56.33,335,303,1.1039,0.5792
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,5.70,56.33,391,342,1.1408,0.5916
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,7.40,56.33,422,385,1.0940,0.5681
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,9.10,56.33,466,424,1.1007,0.5899
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,10.80,56.33,509,465,1.0977,0.6318
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,12.50,56.33,565,510,1.1116,0.7006
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,14.20,56.33,676,634,1.0712,0.7627
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,15.90,56.33,745,726,1.0320,0.7724
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,17.60,56.33,860,868,0.9933,0.7879
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,19.30,56.33,1020,1090,0.9523,0.7903
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,21.00,56.33,1152,1286,0.9072,0.7835
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,22.80,56.33,1223,1460,0.8424,0.7726
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,24.50,56.33,1405,1615,0.8758,0.7945
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,26.20,56.33,1522,1764,0.8679,0.8011
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,27.90,56.33,1633,1907,0.8620,0.8048
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,29.60,56.33,1771,2050,0.8677,0.8195
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,31.30,56.33,1934,2241,0.8668,0.8236
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,33.00,56.33,2140,2479,0.8669,0.8390
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,34.70,56.33,2333,2720,0.8616,0.8444
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,36.40,56.33,2508,2958,0.8518,0.8398
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,38.10,56.33,2698,3168,0.8553,0.8483
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,39.80,56.33,2892,3393,0.8552,0.8510
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,41.50,56.33,3071,3667,0.8410,0.8448
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,43.20,56.33,3295,3942,0.8382,0.8499
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,44.90,56.33,3561,4212,0.8468,0.8610
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,46.60,56.33,3856,4538,0.8518,0.8662
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,48.30,56.33,4123,4875,0.8487,0.8639
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,50.00,56.33,4353,5234,0.8334,0.8556
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,51.70,56.33,4637,5553,0.8363,0.8631
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,53.40,56.33,4904,5809,0.8458,0.8698
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,55.10,56.33,5061,6087,0.8330,0.8642
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,56.80,56.33,5250,6354,0.8285,0.8634
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,58.50,56.33,5471,6599,0.8314,0.8601
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,60.20,56.33,5670,6852,0.8308,0.8612
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,61.90,56.33,5848,7075,0.8296,0.8587
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,63.60,56.33,6018,7339,0.8214,0.8582
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,65.30,56.33,6143,7570,0.8126,0.8543
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,67.00,56.33,6343,7731,0.8218,0.8564
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,68.70,56.33,6386,7933,0.8050,0.8460
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,70.50,56.33,6445,7990,0.8058,0.8385
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,72.20,56.33,6525,8053,0.8084,0.8378
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,73.90,56.33,6619,8150,0.8101,0.8361
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,75.60,56.33,6681,7992,0.8324,0.8452
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,77.30,56.33,6678,8135,0.8160,0.8240
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,79.00,56.33,6747,8048,0.8319,0.8272
