Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Time Point (hr),Time Interval (hr),GR50,GEC50,GRmax,GRinf,GR Hill Coefficient,GR_AOC
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,15.08,11.9,Inf,Inf,0.4895,0.4895,0.0000,0.1563
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,16.79,11.9,Inf,Inf,0.4687,0.5844,2.5000,0.1607
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,18.49,11.9,Inf,Inf,0.4464,0.5217,2.5000,0.1547
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,20.19,11.9,Inf,Inf,0.4666,0.4567,2.5000,0.1534
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,21.90,11.9,Inf,Inf,0.4426,0.4238,2.5000,0.1686
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,23.60,11.9,Inf,Inf,0.5168,0.4975,2.5000,0.1285
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,25.30,11.9,Inf,2.7919,0.5162,0.5717,4.5032,0.1028
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,27.00,11.9,Inf,Inf,0.6407,0.6557,0.5188,0.0807
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,28.71,11.9,Inf,14.3094,0.6464,-0.1118,1.3594,0.0750
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,30.41,11.9,Inf,15.4577,0.6412,-0.1329,1.0881,0.0751
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,32.11,11.9,Inf,17.6088,0.6518,-0.2106,0.9909,0.0628
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,33.82,11.9,17.7359,26.237,0.6412,-0.5037,1.1924,0.0475
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,35.52,11.9,17.5986,36.6414,0.6041,-0.0856,2.8588,0.0554
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,37.23,11.9,Inf,26.561,0.6750,-0.1747,3.0317,0.0360
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,38.93,11.9,Inf,6.4483,0.6837,0.6427,5.0000,0.0115
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,40.63,11.9,Inf,7.2456,0.7345,0.6596,5.0000,0.0088
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,42.33,11.9,Inf,10.3523,0.7387,0.3591,3.2502,0.0201
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,44.03,11.9,Inf,Inf,0.8013,-0.0883,0.3719,0.0392
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,45.74,11.9,Inf,Inf,0.8089,0.1521,0.3040,0.0556
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,47.45,11.9,Inf,Inf,0.7990,0.8167,0.9724,0.0230
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,49.15,11.9,Inf,Inf,0.8148,0.8290,2.4998,0.0068
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,50.86,11.9,Inf,Inf,0.8643,0.8641,2.5000,0.0066
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,52.56,11.9,Inf,Inf,0.8858,0.8764,2.5000,-0.0107
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,54.25,11.9,Inf,Inf,0.9331,0.9259,2.5000,-0.0161
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,55.97,11.9,Inf,Inf,0.9301,0.9223,2.5000,-0.0036
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,57.67,11.9,Inf,Inf,0.9066,0.8952,2.5000,0.0030
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,59.37,11.9,Inf,Inf,0.9024,0.9024,0.0000,0.0172
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,61.08,11.9,Inf,Inf,0.9110,0.9110,0.0000,0.0261
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,62.78,11.9,Inf,Inf,0.9043,0.9043,0.0000,0.0082
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,64.49,11.9,Inf,Inf,0.9987,0.9987,0.0000,0.0154
