HMS LINCS Batch ID,HMS LINCS ID,Name,Alternative Names,LINCS ID,PubChem CID,ChEBI ID,ChEMBL ID,Molecular Mass,InChi,InChi Key,SMILES,Relevant Citations,Comments,Provider,Provider Batch ID,Molecular Weight,Purity,Purification Method,Chemical Synthesis Reference,Date Publicly Available,Most Recent Update
10001-101-1,10001,Seliciclib,(R)-Roscovitine; CYC202,LSM-1001,160355,,14762,354.22,"InChI=1S/C19H26N6O/c1-4-15(11-26)22-19-23-17(20-10-14-8-6-5-7-9-14)16-18(24-19)25(12-21-16)13(2)3/h5-9,12-13,15,26H,4,10-11H2,1-3H3,(H2,20,22,23,24)/t15-/m1/s1",BTIHMVBBUGXLCJ-OAHLLOKOSA-N,CC[C@H](CO)NC1=NC2=C(C(=N1)NCC3=CC=CC=C3)N=CN2C(C)C,,,Haoyuan chemexpress,HM-001_TM-20090805,354.450000,,,,,2016-07-12
10004-101-1,10004,AT-7519,,LSM-1004,11338033,,445813,381.08,"InChI=1S/C16H17Cl2N5O2/c17-10-2-1-3-11(18)13(10)15(24)22-12-8-20-23-14(12)16(25)21-9-4-6-19-7-5-9/h1-3,8-9,19H,4-7H2,(H,20,23)(H,21,25)(H,22,24)",OVPNQJVDAFNBDN-UHFFFAOYSA-N,C1CNCCC1NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl,,,Haoyuan chemexpress,HY-999-20100925,382.240000,,,,,2016-04-04
10006-101-1,10006,AZD7762,,LSM-1006,67077825,,,362.12,"InChI=1S/C17H19FN4O2S/c18-11-4-1-3-10(7-11)14-8-13(22-17(19)24)15(25-14)16(23)21-12-5-2-6-20-9-12/h1,3-4,7-8,12,20H,2,5-6,9H2,(H,21,23)(H3,19,22,24)/t12-/m1/s1",IAYGCINLNONXHY-GFCCVEGCSA-N,C1C[C@H](CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N,,,Haoyuan chemexpress,HY-999-20101012,362.420000,,,,,2016-04-04
10007-101-1,10007,AZD8055,,LSM-1007,25262965,,,465.24,"InChI=1S/C25H31N5O4/c1-16-14-33-10-8-29(16)24-20-5-6-21(18-4-7-22(32-3)19(12-18)13-31)26-23(20)27-25(28-24)30-9-11-34-15-17(30)2/h4-7,12,16-17,31H,8-11,13-15H2,1-3H3/t16-,17-/m0/s1",KVLFRAWTRWDEDF-IRXDYDNUSA-N,C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCOC[C@@H]5C,,,Nathanael Gray (DFCI),QL-X-57-1,465.540000,,,,,2016-04-04
10008-101-1,10008,Sorafenib,BAY-439006,LSM-1008,216239,,1336,464.09,"InChI=1S/C21H16ClF3N4O3/c1-26-19(30)18-11-15(8-9-27-18)32-14-5-2-12(3-6-14)28-20(31)29-13-4-7-17(22)16(10-13)21(23,24)25/h2-11H,1H3,(H,26,30)(H2,28,29,31)",MLDQJTXFUGDVEO-UHFFFAOYSA-N,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,,,LC Laboratories,SFB-102,464.820000,,,,,2016-04-04
10009-101-1,10009,CP466722,,LSM-1009,44551660,,,349.13,"InChI=1S/C17H15N7O2/c1-25-13-7-10-12(8-14(13)26-2)20-9-21-16(10)24-17(18)22-15(23-24)11-5-3-4-6-19-11/h3-9H,1-2H3,(H2,18,22,23)",ILBRKJBKDGCSCB-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)C(=NC=N2)N3C(=NC(=N3)C4=CC=CC=N4)N)OC,,,Axon Medchem,2,349.350000,,,,,2016-04-04
10010-101-1,10010,CP724714,,LSM-42777,53401057,,,469.21,"InChI=1S/C27H27N5O3/c1-18-13-21(8-11-25(18)35-22-9-6-19(2)29-15-22)32-27-23-14-20(7-10-24(23)30-17-31-27)5-4-12-28-26(33)16-34-3/h4-11,13-15,17H,12,16H2,1-3H3,(H,28,33)(H,30,31,32)",LLVZBTWPGQVVLW-UHFFFAOYSA-N,CC1=NC=C(C=C1)OC2=C(C=C(C=C2)NC3=NC=NC4=C3C=C(C=C4)C=CCNC(=O)COC)C,,,Haoyuan chemexpress,HY-999-20101223,,,,,,2018-03-30
10011-101-1,10011,Alvocidib,Flavopiridol; HMR-1275; L868275,LSM-1011,5287969,,428690,401.10,"InChI=1S/C21H20ClNO5/c1-23-7-6-12(17(27)10-23)19-14(24)8-15(25)20-16(26)9-18(28-21(19)20)11-4-2-3-5-13(11)22/h2-5,8-9,12,17,24-25,27H,6-7,10H2,1H3/t12-,17+/m0/s1",BIIVYFLTOXDAOV-YVEFUNNKSA-N,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,,,Haoyuan chemexpress,HY-009_TM-20090429,401.840000,,,,,2016-07-12
10014-101-1,10014,GW843682X,GW843682,LSM-1014,9826308,,,477.10,"InChI=1S/C22H18F3N3O4S/c1-30-16-7-14-15(8-17(16)31-2)28(11-27-14)19-9-18(20(33-19)21(26)29)32-10-12-5-3-4-6-13(12)22(23,24)25/h3-9,11H,10H2,1-2H3,(H2,26,29)",JSKUWFIZUALZLX-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4C(F)(F)F)OC,,,Haoyuan chemexpress,HY-999-20101020,477.460000,,,,,2016-05-09
10015-101-1,10015,HG-5-113-01,,LSM-5982,25226483,,,464.16,"InChI=1S/C23H24N6O3S/c1-14(2)33(31,32)19-7-5-4-6-17(19)27-18-12-21(29-22-16(18)10-11-25-22)28-20-9-8-15(13-26-20)23(30)24-3/h4-14H,1-3H3,(H,24,30)(H3,25,26,27,28,29)",INAFQGYNNQIERK-UHFFFAOYSA-N,CC(C)S(=O)(=O)C1=CC=CC=C1NC2=CC(=NC3=C2C=CN3)NC4=NC=C(C=C4)C(=O)NC,,,Nathanael Gray (DFCI),HG-5-113-01-1,464.540000,,,,,2016-04-04
