tree cladeSize nAboveminActiveN nAboveminInactiveN meanActives stdActives meanInactives stdInactives
provided 1 68 249 0.6800205638228244 0.28288256686615015 0.9632796500921716 0.1325650234458388
provided 2 40 162 0.6225380576723551 0.2540088956566583 0.9435594621787082 0.1609288040755174
provided 3 27 114 0.5817521270689314 0.24938600333124097 0.9197950252013224 0.18680607228143467
provided 4 18 91 0.5194563203860725 0.2389316273380347 0.899523438164294 0.20415603337232274
provided 5 17 76 0.528500663977086 0.2428457461943306 0.8796925378019836 0.21799113393664085
provided 6 15 69 0.5079205872181078 0.22321753117783907 0.867487432941315 0.2252191996839564
provided 7 12 57 0.4830658265059091 0.19894445500069427 0.8514273359241408 0.22934240997088862
provided 8 10 52 0.47935431648241567 0.20908640679626786 0.8371415028399234 0.2352208877469965
provided 9 9 47 0.4841514647988477 0.21987373098426236 0.8198161308016175 0.2410252332044212
provided 10 7 41 0.37703902748176654 0.06965389269357344 0.8177671259700009 0.24175448341913205
provided 11 5 36 0.34697560015741835 0.02522765917540767 0.8043839665039074 0.24697582913094013
provided 12 5 33 0.34697560015741835 0.02522765917540767 0.8025033066341514 0.24685249573172346
provided 13 5 30 0.34697560015741835 0.02522765917540767 0.8037450902890197 0.24124673230311441
provided 14 5 27 0.34697560015741835 0.02522765917540767 0.8013755197576634 0.24043811124876585
provided 15 4 24 0.34229388036206215 0.026190665954248172 0.8046610128409242 0.22867814921103538
provided 16 4 22 0.34229388036206215 0.026190665954248172 0.8107568469531139 0.22437168147016684
provided 17 4 21 0.34229388036206215 0.026190665954248172 0.8017452682365955 0.22572844845301648
provided 18 3 19 0.3344910140364685 0.025904872500278547 0.7808763491036057 0.22747300360333841
provided 19 3 19 0.3344910140364685 0.025904872500278547 0.7808763491036057 0.22747300360333841
provided 20 3 18 0.3344910140364685 0.025904872500278547 0.7687028129426949 0.2276025649054974
provided 21 3 17 0.3344910140364685 0.025904872500278547 0.7550970960569711 0.22697594367788287
provided 22 2 16 0.31888528138528127 0.01661255411255408 0.7397906645605317 0.22528888694042665
provided 23 2 16 0.31888528138528127 0.01661255411255408 0.7397906645605317 0.22528888694042665
provided 24 2 16 0.31888528138528127 0.01661255411255408 0.7397906645605317 0.22528888694042665
provided 25 2 16 0.31888528138528127 0.01661255411255408 0.7397906645605317 0.22528888694042665
provided 26 2 13 0.31888528138528127 0.01661255411255408 0.725156557565625 0.20844917608508254
provided 27 2 13 0.31888528138528127 0.01661255411255408 0.725156557565625 0.20844917608508254
provided 28 2 13 0.31888528138528127 0.01661255411255408 0.725156557565625 0.20844917608508254
provided 29 1 13 0.33549783549783535 0.0 0.725156557565625 0.20844917608508254
provided 30 0 11 0.0 0.0 0.7288563512488854 0.1881991315444337
provided 31 0 11 0.0 0.0 0.7288563512488854 0.1881991315444337
provided 32 0 11 0.0 0.0 0.7288563512488854 0.1881991315444337
provided 33 0 10 0.0 0.0 0.7017419863737738 0.17570921380821075
provided 34 0 10 0.0 0.0 0.7017419863737738 0.17570921380821075
provided 35 0 10 0.0 0.0 0.7017419863737738 0.17570921380821075
provided 36 0 9 0.0 0.0 0.6994719908929312 0.18507461528845334
provided 37 0 9 0.0 0.0 0.6994719908929312 0.18507461528845334
provided 38 0 9 0.0 0.0 0.6994719908929312 0.18507461528845334
provided 39 0 9 0.0 0.0 0.6994719908929312 0.18507461528845334
provided 40 0 8 0.0 0.0 0.7275042803528382 0.17737504504837773
