tree cladeSize nAboveminActiveN nAboveminInactiveN meanActives stdActives meanInactives stdInactives
provided 1 33 373 0.6323292927758637 0.2250426427511776 0.9954515112017849 0.03617269402217527
provided 2 23 243 0.5577763028563945 0.16786708342175055 0.9930181632850442 0.04462595389493617
provided 3 19 174 0.5303891040733145 0.14780295972753546 0.990249503898079 0.05248050214212265
provided 4 15 134 0.5193115786098242 0.10144449402736959 0.9873389080467593 0.05949371365111396
provided 5 13 111 0.5029843450896083 0.07687951380061403 0.9847154385429346 0.0650600776206409
provided 6 11 99 0.49044880336746366 0.07722486599106007 0.9828627644269267 0.06865953913704084
provided 7 10 82 0.5006465659097238 0.0735942249807642 0.9793099229056798 0.07495294432853387
provided 8 8 74 0.48664780638464844 0.07570917167053039 0.977073157814402 0.07857485084812199
provided 9 7 69 0.48125942562032786 0.07948862376256825 0.975411792438634 0.0811205831720179
provided 10 6 62 0.48398394977342346 0.08555438992780777 0.9726357044881572 0.0851325351108589
provided 11 4 56 0.4865705931495405 0.09488657619576368 0.9697038156833168 0.08908000083089064
provided 12 3 52 0.4683096630465051 0.10329942005303894 0.9673733399666489 0.09203050847260152
provided 13 2 50 0.4317878028404344 0.1095655806182122 0.9660682735653148 0.09361685699277365
provided 14 1 48 0.3222222222222222 0.0 0.9646544516305363 0.0952854401155154
provided 15 1 43 0.3222222222222222 0.0 0.9605445041457151 0.09986435498104702
provided 16 1 40 0.3222222222222222 0.0 0.9575853419566436 0.10293368859668744
provided 17 1 36 0.3222222222222222 0.0 0.9528726021740483 0.10747327834186776
provided 18 1 32 0.3222222222222222 0.0 0.9469816774458044 0.11261434990647343
provided 19 1 32 0.3222222222222222 0.0 0.9469816774458044 0.11261434990647343
provided 20 1 30 0.3222222222222222 0.0 0.9434471226088579 0.11544508945319146
provided 21 1 30 0.3222222222222222 0.0 0.9434471226088579 0.11544508945319146
provided 22 1 29 0.3222222222222222 0.0 0.9414970233884739 0.11693183229355777
provided 23 1 29 0.3222222222222222 0.0 0.9414970233884739 0.11693183229355777
provided 24 1 29 0.3222222222222222 0.0 0.9414970233884739 0.11693183229355777
provided 25 1 29 0.3222222222222222 0.0 0.9414970233884739 0.11693183229355777
provided 26 1 26 0.3222222222222222 0.0 0.9347466799332976 0.12169729286055386
provided 27 1 25 0.3222222222222222 0.0 0.9321365471306295 0.12339168411499314
provided 28 1 25 0.3222222222222222 0.0 0.9321365471306295 0.12339168411499314
provided 29 1 24 0.3222222222222222 0.0 0.9293089032610725 0.12513998009005253
provided 30 1 21 0.3222222222222222 0.0 0.9192101751555113 0.13069539045970718
provided 31 1 21 0.3222222222222222 0.0 0.9192101751555113 0.13069539045970718
