yourlist:M20190701216DA2B77BFBD2E6699CA9B6D1C41EB22597F0Y	Entry	Entry name	Status	Protein names	Gene names	Organism	Gene names  (primary )	Gene names  (synonym )
P00519	P00519	ABL1_HUMAN	reviewed	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	Homo sapiens (Human)	ABL1	ABL JTK7
Q07912	Q07912	ACK1_HUMAN	reviewed	Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2)	TNK2 ACK1	Homo sapiens (Human)	TNK2	ACK1
P27037	P27037	AVR2A_HUMAN	reviewed	Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA)	ACVR2A ACVR2	Homo sapiens (Human)	ACVR2A	ACVR2
Q13705	Q13705	AVR2B_HUMAN	reviewed	Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB)	ACVR2B	Homo sapiens (Human)	ACVR2B	
Q96D53	Q96D53	COQ8B_HUMAN	reviewed	Atypical kinase COQ8B, mitochondrial (EC 2.7.-.-) (AarF domain-containing protein kinase 4) (Coenzyme Q protein 8B)	COQ8B ADCK4	Homo sapiens (Human)	COQ8B	ADCK4
Q96RU8	Q96RU8	TRIB1_HUMAN	reviewed	Tribbles homolog 1 (TRB-1) (G-protein-coupled receptor-induced gene 2 protein) (GIG-2) (SKIP1)	TRIB1 C8FW GIG2 TRB1	Homo sapiens (Human)	TRIB1	C8FW GIG2 TRB1
Q8IWQ3	Q8IWQ3	BRSK2_HUMAN	reviewed	Serine/threonine-protein kinase BRSK2 (EC 2.7.11.1) (Brain-selective kinase 2) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 2) (BR serine/threonine-protein kinase 2) (Serine/threonine-protein kinase 29) (Serine/threonine-protein kinase SAD-A)	BRSK2 C11orf7 PEN11B SADA STK29 HUSSY-12	Homo sapiens (Human)	BRSK2	C11orf7 PEN11B SADA STK29
Q9Y3S1	Q9Y3S1	WNK2_HUMAN	reviewed	Serine/threonine-protein kinase WNK2 (EC 2.7.11.1) (Antigen NY-CO-43) (Protein kinase lysine-deficient 2) (Protein kinase with no lysine 2) (Serologically defined colon cancer antigen 43)	WNK2 KIAA1760 PRKWNK2 SDCCAG43 P/OKcl.13	Homo sapiens (Human)	WNK2	KIAA1760 PRKWNK2 SDCCAG43
P31749	P31749	AKT1_HUMAN	reviewed	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	AKT1 PKB RAC	Homo sapiens (Human)	AKT1	PKB RAC
P31751	P31751	AKT2_HUMAN	reviewed	RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta)	AKT2	Homo sapiens (Human)	AKT2	
Q9Y243	Q9Y243	AKT3_HUMAN	reviewed	RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2)	AKT3 PKBG	Homo sapiens (Human)	AKT3	PKBG
Q96NX5	Q96NX5	KCC1G_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type 1G (EC 2.7.11.17) (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III)	CAMK1G CLICK3 VWS1	Homo sapiens (Human)	CAMK1G	CLICK3 VWS1
Q9UM73	Q9UM73	ALK_HUMAN	reviewed	ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246)	ALK	Homo sapiens (Human)	ALK	
P37023	P37023	ACVL1_HUMAN	reviewed	Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I)	ACVRL1 ACVRLK1 ALK1	Homo sapiens (Human)	ACVRL1	ACVRLK1 ALK1
Q04771	Q04771	ACVR1_HUMAN	reviewed	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)	ACVR1 ACVRLK2	Homo sapiens (Human)	ACVR1	ACVRLK2
