	hms	smiles 	pdbCode	aC_helix	front	gate	back	fp_I	fp_II	bp_I_A	bp_I_B	bp_II_in	bp_II_A_in	bp_II_B_in	bp_II_out	bp_II_B	bp_III	bp_IV	bp_V
0	20162	CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5	3cs9	out	True	True	True	False	False	True	True	False	False	False	True	False	True	False	True
1	20162	CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5	3gp0	out	True	True	True	False	False	True	True	False	False	False	True	False	True	False	True
2	20162	CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5	5mo4	out	True	True	True	False	False	True	True	False	False	False	True	False	True	False	True
3	20165	CN1C=C(C=N1)C2=NN3C(=NN=C3SC4=CC5=C(C=C4)N=CC=C5)C=C2	3dkf	out	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False
4	20165	CN1C=C(C=N1)C2=NN3C(=NN=C3SC4=CC5=C(C=C4)N=CC=C5)C=C2	3dkg	out	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False
5	20125	CC(C)CC(=O)NC1=NNC2=C1CN(C2(C)C)C(=O)C3CCN(CC3)C	2w1uid																
6	20125	CC(C)CC(=O)NC1=NNC2=C1CN(C2(C)C)C(=O)C3CCN(CC3)C	2wpa	in	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False
7	20125	CC(C)CC(=O)NC1=NNC2=C1CN(C2(C)C)C(=O)C3CCN(CC3)C	z2p0l3																
8	20052	CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC(=C2Cl)N)NC3=C(C=C(C=C3)N4CCC(CC4)C(=O)N)OC	2xb7	in	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False
9	20052	CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC(=C2Cl)N)NC3=C(C=C(C=C3)N4CCC(CC4)C(=O)N)OC	4e93	in	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False
10	20052	CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC(=C2Cl)N)NC3=C(C=C(C=C3)N4CCC(CC4)C(=O)N)OC	5gtz	in	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False
11	20052	CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC(=C2Cl)N)NC3=C(C=C(C=C3)N4CCC(CC4)C(=O)N)OC	5jzn	in	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False
12	20052	CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC(=C2Cl)N)NC3=C(C=C(C=C3)N4CCC(CC4)C(=O)N)OC	7hs9g1																
13	20052	CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC(=C2Cl)N)NC3=C(C=C(C=C3)N4CCC(CC4)C(=O)N)OC	8cas9u																
14	20177	CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F	1a9u	out-like	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False
15	20177	CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F	1ian																
16	20177	CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F	1pme	in	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False
17	20177	CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F	3gcp	out	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False
18	20177	CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F	3mpa	na	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False
19	20177	CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F	3obg	na	True	True	False	False	False	True	True	False	False	False	False	False	False	False	False
20	20177	CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F	3zs5	out	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False
21	20177	CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F	5ar4	out-like	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False
22	20188	C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N	3eyg																
23	20188	C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N	3fup	in	True	False	False	True	True	False	False	False	False	False	False	False	False	False	False
24	20188	C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N	3lxk	in	True	False	False	True	True	False	False	False	False	False	False	False	False	False	False
25	20188	C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N	3lxn																
26	20188	C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N	4oti	out-like	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False
27	20055	CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C	2fgi	out-like	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False
28	20055	CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C	5a4c	out-like	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False
29	20114	C1COC[C@@H]1N2C3=NC(=NC=C3N=C2NC4=C(C=C(C=C4F)F)F)NC5CCC(CC5)O	3tti	in	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False
30	20036	O=C(OC1=C(C)C=CC=C1C)N(C2=CC=C(OC)C=C2OC)C3=NC(NC4=CC=C(N5CCN(C)CC5)C=C4)=NC=C3	2ofu	in	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False
31	20113	CC(=O)N1CCN(CC1)C2CCC(CC2)N3C4=C(C(=N3)C5=CC(=C(C=C5)NC(=O)C6=CC7=CC=CC=C7N6C)OC)C(=NC=N4)N	0u712c																
32	20113	CC(=O)N1CCN(CC1)C2CCC(CC2)N3C4=C(C(=N3)C5=CC(=C(C=C5)NC(=O)C6=CC7=CC=CC=C7N6C)OC)C(=NC=N4)N	2c0i	out	True	True	True	False	False	True	True	True	False	False	False	False	False	False	False
33	20113	CC(=O)N1CCN(CC1)C2CCC(CC2)N3C4=C(C(=N3)C5=CC(=C(C=C5)NC(=O)C6=CC7=CC=CC=C7N6C)OC)C(=NC=N4)N	2c0o	out	True	True	True	False	False	True	True	True	False	False	False	False	False	False	False
34	20113	CC(=O)N1CCN(CC1)C2CCC(CC2)N3C4=C(C(=N3)C5=CC(=C(C=C5)NC(=O)C6=CC7=CC=CC=C7N6C)OC)C(=NC=N4)N	2c0t	out	True	True	True	False	False	True	True	True	False	False	False	False	False	False	False
35	20113	CC(=O)N1CCN(CC1)C2CCC(CC2)N3C4=C(C(=N3)C5=CC(=C(C=C5)NC(=O)C6=CC7=CC=CC=C7N6C)OC)C(=NC=N4)N	3lwbll																
36	20113	CC(=O)N1CCN(CC1)C2CCC(CC2)N3C4=C(C(=N3)C5=CC(=C(C=C5)NC(=O)C6=CC7=CC=CC=C7N6C)OC)C(=NC=N4)N	izbgi4																
37	20113	CC(=O)N1CCN(CC1)C2CCC(CC2)N3C4=C(C(=N3)C5=CC(=C(C=C5)NC(=O)C6=CC7=CC=CC=C7N6C)OC)C(=NC=N4)N	na2q6q																
38	20113	CC(=O)N1CCN(CC1)C2CCC(CC2)N3C4=C(C(=N3)C5=CC(=C(C=C5)NC(=O)C6=CC7=CC=CC=C7N6C)OC)C(=NC=N4)N	vqiewn																
39	20113	CC(=O)N1CCN(CC1)C2CCC(CC2)N3C4=C(C(=N3)C5=CC(=C(C=C5)NC(=O)C6=CC7=CC=CC=C7N6C)OC)C(=NC=N4)N	xffzip																
40	20031	C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)CN5CCN(CC5)C)C(=O)N	2xnm	out	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False
41	20031	C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)CN5CCN(CC5)C)C(=O)N	2xnn	out	True	True	False	False	True	False	True	False	False	False	False	False	False	False	False
42	20031	C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)CN5CCN(CC5)C)C(=O)N	2xno	out	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False
43	20296	C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O	1s9j	out	True	True	True	False	False	False	False	True	False	False	False	False	False	False	False
44	20296	C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O	3eqc	out	True	True	True	False	False	False	False	True	False	False	False	False	False	False	False
45	20296	C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O	3eqg	out	True	True	True	False	False	False	False	True	False	False	False	False	False	False	False
46	20296	C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O	3vvh	out	True	True	True	False	False	False	False	True	False	False	False	False	False	False	False
47	20296	C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O	4an3	out	True	True	True	False	False	False	True	True	False	False	False	False	False	False	False
48	20296	C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O	vwurwq																
49	20296	C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O	x3mniz																
50	20296	C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O	zrjtxk																
51	20024	CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=NC=C(C=C23)Cl)F	09a7qi																
